county,administered_date,total_doses,california_flag
Stanislaus,3/16/2021,2,California
Alameda,3/15/2021,6028,California
Alpine,3/15/2021,19,California
Amador,3/15/2021,15,California
Butte,3/15/2021,881,California
Calaveras,3/15/2021,46,California
Colusa,3/15/2021,25,California
Contra Costa,3/15/2021,2993,California
Del Norte,3/15/2021,30,California
El Dorado,3/15/2021,168,California
Fresno,3/15/2021,1892,California
Glenn,3/15/2021,36,California
Humboldt,3/15/2021,53,California
Imperial,3/15/2021,107,California
Inyo,3/15/2021,35,California
Kern,3/15/2021,2149,California
Kings,3/15/2021,215,California
Lake,3/15/2021,23,California
Lassen,3/15/2021,20,California
Los Angeles,3/15/2021,29850,California
Madera,3/15/2021,303,California
Marin,3/15/2021,1109,California
Mariposa,3/15/2021,24,California
Mendocino,3/15/2021,30,California
Merced,3/15/2021,523,California
Modoc,3/15/2021,9,California
Mono,3/15/2021,1,California
Monterey,3/15/2021,1353,California
Napa,3/15/2021,278,California
Nevada,3/15/2021,223,California
Orange,3/15/2021,11660,California
Outside California,3/15/2021,2024,Not in California
Placer,3/15/2021,594,California
Plumas,3/15/2021,9,California
Riverside,3/15/2021,10840,California
Sacramento,3/15/2021,2415,California
San Benito,3/15/2021,142,California
San Bernardino,3/15/2021,5083,California
San Diego,3/15/2021,7368,California
San Francisco,3/15/2021,6248,California
San Joaquin,3/15/2021,1633,California
San Luis Obispo,3/15/2021,1799,California
San Mateo,3/15/2021,2381,California
Santa Barbara,3/15/2021,1036,California
Santa Clara,3/15/2021,6316,California
Santa Cruz,3/15/2021,404,California
Shasta,3/15/2021,102,California
Siskiyou,3/15/2021,302,California
Solano,3/15/2021,596,California
Sonoma,3/15/2021,1478,California
Stanislaus,3/15/2021,1817,California
Sutter,3/15/2021,85,California
Tehama,3/15/2021,61,California
Trinity,3/15/2021,1,California
Tulare,3/15/2021,1226,California
Tuolumne,3/15/2021,80,California
Ventura,3/15/2021,1216,California
Yolo,3/15/2021,409,California
Yuba,3/15/2021,33,California
Alameda,3/14/2021,9641,California
Amador,3/14/2021,59,California
Butte,3/14/2021,112,California
Calaveras,3/14/2021,84,California
Colusa,3/14/2021,11,California
Contra Costa,3/14/2021,3736,California
Del Norte,3/14/2021,1,California
El Dorado,3/14/2021,546,California
Fresno,3/14/2021,1088,California
Glenn,3/14/2021,3,California
Humboldt,3/14/2021,83,California
Imperial,3/14/2021,137,California
Inyo,3/14/2021,430,California
Kern,3/14/2021,1770,California
Kings,3/14/2021,141,California
Lake,3/14/2021,11,California
Lassen,3/14/2021,7,California
Los Angeles,3/14/2021,29238,California
Madera,3/14/2021,109,California
Marin,3/14/2021,2012,California
Mariposa,3/14/2021,14,California
Mendocino,3/14/2021,61,California
Merced,3/14/2021,160,California
Modoc,3/14/2021,1,California
Mono,3/14/2021,4,California
Monterey,3/14/2021,515,California
Napa,3/14/2021,386,California
Nevada,3/14/2021,93,California
Orange,3/14/2021,15702,California
Outside California,3/14/2021,1915,Not in California
Placer,3/14/2021,1147,California
Plumas,3/14/2021,11,California
Riverside,3/14/2021,3022,California
Sacramento,3/14/2021,4633,California
San Benito,3/14/2021,75,California
San Bernardino,3/14/2021,1971,California
San Diego,3/14/2021,10692,California
San Francisco,3/14/2021,7132,California
San Joaquin,3/14/2021,1565,California
San Luis Obispo,3/14/2021,320,California
San Mateo,3/14/2021,4393,California
Santa Barbara,3/14/2021,433,California
Santa Clara,3/14/2021,4529,California
Santa Cruz,3/14/2021,631,California
Shasta,3/14/2021,179,California
Siskiyou,3/14/2021,17,California
Solano,3/14/2021,991,California
Sonoma,3/14/2021,997,California
Stanislaus,3/14/2021,685,California
Sutter,3/14/2021,74,California
Tehama,3/14/2021,25,California
Tulare,3/14/2021,1548,California
Tuolumne,3/14/2021,81,California
Unknown,3/14/2021,118,Not in California
Ventura,3/14/2021,1164,California
Yolo,3/14/2021,490,California
Yuba,3/14/2021,66,California
Alameda,3/13/2021,12046,California
Amador,3/13/2021,63,California
Butte,3/13/2021,146,California
Calaveras,3/13/2021,85,California
Colusa,3/13/2021,26,California
Contra Costa,3/13/2021,6031,California
Del Norte,3/13/2021,91,California
El Dorado,3/13/2021,743,California
Fresno,3/13/2021,5959,California
Glenn,3/13/2021,10,California
Humboldt,3/13/2021,771,California
Imperial,3/13/2021,896,California
Inyo,3/13/2021,502,California
Kern,3/13/2021,3417,California
Kings,3/13/2021,274,California
Lake,3/13/2021,161,California
Lassen,3/13/2021,12,California
Los Angeles,3/13/2021,42561,California
Madera,3/13/2021,731,California
Marin,3/13/2021,2547,California
Mariposa,3/13/2021,20,California
Mendocino,3/13/2021,559,California
Merced,3/13/2021,553,California
Modoc,3/13/2021,4,California
Mono,3/13/2021,6,California
Monterey,3/13/2021,1940,California
Napa,3/13/2021,414,California
Nevada,3/13/2021,174,California
Orange,3/13/2021,17988,California
Outside California,3/13/2021,2987,Not in California
Placer,3/13/2021,1461,California
Plumas,3/13/2021,20,California
Riverside,3/13/2021,5496,California
Sacramento,3/13/2021,6421,California
San Benito,3/13/2021,138,California
San Bernardino,3/13/2021,4399,California
San Diego,3/13/2021,22583,California
San Francisco,3/13/2021,5426,California
San Joaquin,3/13/2021,2489,California
San Luis Obispo,3/13/2021,542,California
San Mateo,3/13/2021,5493,California
Santa Barbara,3/13/2021,2236,California
Santa Clara,3/13/2021,7817,California
Santa Cruz,3/13/2021,1244,California
Shasta,3/13/2021,170,California
Sierra,3/13/2021,13,California
Siskiyou,3/13/2021,327,California
Solano,3/13/2021,1311,California
Sonoma,3/13/2021,1972,California
Stanislaus,3/13/2021,3213,California
Sutter,3/13/2021,203,California
Tehama,3/13/2021,19,California
Trinity,3/13/2021,5,California
Tulare,3/13/2021,2518,California
Tuolumne,3/13/2021,58,California
Unknown,3/13/2021,93,Not in California
Ventura,3/13/2021,2005,California
Yolo,3/13/2021,868,California
Yuba,3/13/2021,100,California
Alameda,3/12/2021,16913,California
Alpine,3/12/2021,20,California
Amador,3/12/2021,252,California
Butte,3/12/2021,933,California
Calaveras,3/12/2021,325,California
Colusa,3/12/2021,69,California
Contra Costa,3/12/2021,10440,California
Del Norte,3/12/2021,158,California
El Dorado,3/12/2021,1069,California
Fresno,3/12/2021,7391,California
Glenn,3/12/2021,395,California
Humboldt,3/12/2021,638,California
Imperial,3/12/2021,967,California
Inyo,3/12/2021,96,California
Kern,3/12/2021,5345,California
Kings,3/12/2021,826,California
Lake,3/12/2021,236,California
Lassen,3/12/2021,29,California
Los Angeles,3/12/2021,57052,California
Madera,3/12/2021,848,California
Marin,3/12/2021,2451,California
Mariposa,3/12/2021,62,California
Mendocino,3/12/2021,799,California
Merced,3/12/2021,1891,California
Modoc,3/12/2021,7,California
Mono,3/12/2021,7,California
Monterey,3/12/2021,2604,California
Napa,3/12/2021,858,California
Nevada,3/12/2021,848,California
Orange,3/12/2021,22445,California
Outside California,3/12/2021,5211,Not in California
Oxford,3/12/2021,2,California
Placer,3/12/2021,2298,California
Plumas,3/12/2021,521,California
Riverside,3/12/2021,14230,California
Sacramento,3/12/2021,9977,California
San Benito,3/12/2021,393,California
San Bernardino,3/12/2021,8943,California
San Diego,3/12/2021,23693,California
San Francisco,3/12/2021,8772,California
San Joaquin,3/12/2021,5010,California
San Luis Obispo,3/12/2021,2551,California
San Mateo,3/12/2021,6995,California
Santa Barbara,3/12/2021,2729,California
Santa Clara,3/12/2021,12886,California
Santa Cruz,3/12/2021,2332,California
Shasta,3/12/2021,477,California
Sierra,3/12/2021,20,California
Siskiyou,3/12/2021,410,California
Skagit,3/12/2021,1,California
Solano,3/12/2021,2616,California
Sonoma,3/12/2021,4321,California
Stanislaus,3/12/2021,5297,California
Sutter,3/12/2021,334,California
Tehama,3/12/2021,228,California
Trinity,3/12/2021,319,California
Tulare,3/12/2021,3052,California
Tuolumne,3/12/2021,177,California
Unknown,3/12/2021,120,Not in California
Ventura,3/12/2021,2245,California
Yolo,3/12/2021,1255,California
Yuba,3/12/2021,203,California
Alameda,3/11/2021,16860,California
Alpine,3/11/2021,35,California
Amador,3/11/2021,152,California
Butte,3/11/2021,1550,California
Calaveras,3/11/2021,590,California
Colusa,3/11/2021,255,California
Contra Costa,3/11/2021,10467,California
Del Norte,3/11/2021,119,California
El Dorado,3/11/2021,1095,California
Fresno,3/11/2021,8721,California
Glenn,3/11/2021,482,California
Humboldt,3/11/2021,623,California
Imperial,3/11/2021,519,California
Inyo,3/11/2021,178,California
Kern,3/11/2021,4945,California
Kings,3/11/2021,564,California
Lake,3/11/2021,105,California
Lassen,3/11/2021,143,California
Los Angeles,3/11/2021,63798,California
Madera,3/11/2021,803,California
Marin,3/11/2021,2948,California
Mariposa,3/11/2021,24,California
Mendocino,3/11/2021,660,California
Merced,3/11/2021,1504,California
Modoc,3/11/2021,164,California
Mono,3/11/2021,12,California
Monterey,3/11/2021,2140,California
Napa,3/11/2021,991,California
Nevada,3/11/2021,827,California
Orange,3/11/2021,24830,California
Outside California,3/11/2021,5750,Not in California
Placer,3/11/2021,2176,California
Plumas,3/11/2021,150,California
Riverside,3/11/2021,11709,California
Sacramento,3/11/2021,9262,California
San Benito,3/11/2021,345,California
San Bernardino,3/11/2021,7811,California
San Diego,3/11/2021,27041,California
San Francisco,3/11/2021,8417,California
San Joaquin,3/11/2021,3573,California
San Luis Obispo,3/11/2021,2554,California
San Mateo,3/11/2021,6748,California
Santa Barbara,3/11/2021,4046,California
Santa Clara,3/11/2021,13538,California
Santa Cruz,3/11/2021,2389,California
Shasta,3/11/2021,755,California
Sierra,3/11/2021,148,California
Siskiyou,3/11/2021,332,California
Solano,3/11/2021,2771,California
Sonoma,3/11/2021,4626,California
Stanislaus,3/11/2021,5370,California
Sutter,3/11/2021,355,California
Tehama,3/11/2021,420,California
Trinity,3/11/2021,10,California
Tulare,3/11/2021,2785,California
Tuolumne,3/11/2021,1195,California
Unknown,3/11/2021,158,Not in California
Ventura,3/11/2021,2494,California
Yolo,3/11/2021,1271,California
Yuba,3/11/2021,175,California
Alameda,3/10/2021,15101,California
Alpine,3/10/2021,72,California
Amador,3/10/2021,135,California
Butte,3/10/2021,1370,California
Calaveras,3/10/2021,389,California
Colusa,3/10/2021,192,California
Contra Costa,3/10/2021,9820,California
Cottonwood,3/10/2021,1,California
Del Norte,3/10/2021,92,California
El Dorado,3/10/2021,682,California
Fresno,3/10/2021,4858,California
Glenn,3/10/2021,99,California
Humboldt,3/10/2021,573,California
Imperial,3/10/2021,301,California
Inyo,3/10/2021,48,California
Kern,3/10/2021,5128,California
Kings,3/10/2021,351,California
Lake,3/10/2021,157,California
Lassen,3/10/2021,150,California
Los Angeles,3/10/2021,55307,California
Madera,3/10/2021,797,California
Marin,3/10/2021,2919,California
Mariposa,3/10/2021,16,California
Mendocino,3/10/2021,816,California
Merced,3/10/2021,1783,California
Modoc,3/10/2021,5,California
Mono,3/10/2021,4,California
Monterey,3/10/2021,1871,California
Napa,3/10/2021,841,California
Nevada,3/10/2021,651,California
Orange,3/10/2021,17673,California
Outside California,3/10/2021,4401,Not in California
Placer,3/10/2021,1991,California
Plumas,3/10/2021,195,California
Riverside,3/10/2021,9540,California
Sacramento,3/10/2021,8342,California
San Benito,3/10/2021,338,California
San Bernardino,3/10/2021,8047,California
San Diego,3/10/2021,24019,California
San Francisco,3/10/2021,9003,California
San Joaquin,3/10/2021,4256,California
San Luis Obispo,3/10/2021,2509,California
San Mateo,3/10/2021,4826,California
Santa Barbara,3/10/2021,1195,California
Santa Clara,3/10/2021,11110,California
Santa Cruz,3/10/2021,2304,California
Shasta,3/10/2021,531,California
Sierra,3/10/2021,4,California
Siskiyou,3/10/2021,145,California
Solano,3/10/2021,1823,California
Sonoma,3/10/2021,3934,California
Stanislaus,3/10/2021,5115,California
Sutter,3/10/2021,174,California
Tarrant,3/10/2021,3,California
Tehama,3/10/2021,301,California
Trinity,3/10/2021,107,California
Tulare,3/10/2021,2078,California
Tuolumne,3/10/2021,76,California
Unknown,3/10/2021,192,Not in California
Ventura,3/10/2021,1971,California
Windham,3/10/2021,1,California
Yolo,3/10/2021,952,California
Yuba,3/10/2021,145,California
Alameda,3/9/2021,10509,California
Alpine,3/9/2021,1,California
Amador,3/9/2021,92,California
Butte,3/9/2021,1651,California
Calaveras,3/9/2021,184,California
Clallam,3/9/2021,1,California
Colusa,3/9/2021,196,California
Contra Costa,3/9/2021,7923,California
Del Norte,3/9/2021,100,California
El Dorado,3/9/2021,735,California
Fresno,3/9/2021,5460,California
Glenn,3/9/2021,55,California
Humboldt,3/9/2021,399,California
Imperial,3/9/2021,402,California
Inyo,3/9/2021,176,California
Kern,3/9/2021,3026,California
Kings,3/9/2021,316,California
Lake,3/9/2021,169,California
Lassen,3/9/2021,110,California
Los Angeles,3/9/2021,46127,California
Madera,3/9/2021,366,California
Marin,3/9/2021,1395,California
Mariposa,3/9/2021,22,California
Mendocino,3/9/2021,321,California
Merced,3/9/2021,1166,California
Modoc,3/9/2021,113,California
Mono,3/9/2021,5,California
Monterey,3/9/2021,1478,California
Napa,3/9/2021,496,California
Nevada,3/9/2021,434,California
Orange,3/9/2021,17542,California
Outside California,3/9/2021,3812,Not in California
Placer,3/9/2021,1798,California
Plumas,3/9/2021,123,California
Riverside,3/9/2021,8874,California
Sacramento,3/9/2021,6748,California
San Benito,3/9/2021,223,California
San Bernardino,3/9/2021,7917,California
San Diego,3/9/2021,24711,California
San Francisco,3/9/2021,6374,California
San Joaquin,3/9/2021,3672,California
San Luis Obispo,3/9/2021,2671,California
San Mateo,3/9/2021,4222,California
Santa Barbara,3/9/2021,1249,California
Santa Clara,3/9/2021,10359,California
Santa Cruz,3/9/2021,1339,California
Shasta,3/9/2021,448,California
Sierra,3/9/2021,53,California
Siskiyou,3/9/2021,70,California
Snohomish,3/9/2021,1,California
Solano,3/9/2021,1656,California
Sonoma,3/9/2021,3838,California
Stanislaus,3/9/2021,2365,California
Sutter,3/9/2021,214,California
Tehama,3/9/2021,266,California
Trinity,3/9/2021,92,California
Tulare,3/9/2021,1694,California
Tuolumne,3/9/2021,857,California
Unknown,3/9/2021,177,Not in California
Ventura,3/9/2021,2338,California
Yolo,3/9/2021,749,California
Yuba,3/9/2021,127,California
Alameda,3/8/2021,10405,California
Alpine,3/8/2021,27,California
Amador,3/8/2021,128,California
Butte,3/8/2021,1105,California
Calaveras,3/8/2021,84,California
Colusa,3/8/2021,77,California
Contra Costa,3/8/2021,7056,California
Del Norte,3/8/2021,23,California
El Dorado,3/8/2021,1029,California
Fresno,3/8/2021,3912,California
Glenn,3/8/2021,19,California
Humboldt,3/8/2021,161,California
Imperial,3/8/2021,272,California
Inyo,3/8/2021,109,California
Kern,3/8/2021,2330,California
Kings,3/8/2021,262,California
Lake,3/8/2021,198,California
Lassen,3/8/2021,85,California
Los Angeles,3/8/2021,37363,California
Madera,3/8/2021,484,California
Marin,3/8/2021,1299,California
Mariposa,3/8/2021,34,California
Mendocino,3/8/2021,108,California
Merced,3/8/2021,973,California
Modoc,3/8/2021,5,California
Mono,3/8/2021,9,California
Monterey,3/8/2021,1216,California
Napa,3/8/2021,595,California
Nevada,3/8/2021,659,California
Orange,3/8/2021,11031,California
Outside California,3/8/2021,2749,Not in California
Placer,3/8/2021,2398,California
Plumas,3/8/2021,31,California
Riverside,3/8/2021,6060,California
Sacramento,3/8/2021,7283,California
San Benito,3/8/2021,246,California
San Bernardino,3/8/2021,5884,California
San Diego,3/8/2021,21985,California
San Francisco,3/8/2021,6479,California
San Joaquin,3/8/2021,2505,California
San Luis Obispo,3/8/2021,2314,California
San Mateo,3/8/2021,3733,California
Santa Barbara,3/8/2021,960,California
Santa Clara,3/8/2021,11611,California
Santa Cruz,3/8/2021,843,California
Shasta,3/8/2021,449,California
Sierra,3/8/2021,3,California
Siskiyou,3/8/2021,317,California
Solano,3/8/2021,1249,California
Sonoma,3/8/2021,3160,California
Stanislaus,3/8/2021,1671,California
Sutter,3/8/2021,137,California
Tehama,3/8/2021,45,California
Trinity,3/8/2021,3,California
Tulare,3/8/2021,1106,California
Tuolumne,3/8/2021,166,California
Unknown,3/8/2021,142,Not in California
Ventura,3/8/2021,4844,California
Yolo,3/8/2021,825,California
Yuba,3/8/2021,106,California
Alameda,3/7/2021,9084,California
Amador,3/7/2021,62,California
Butte,3/7/2021,57,California
Calaveras,3/7/2021,62,California
Colusa,3/7/2021,7,California
Contra Costa,3/7/2021,3443,California
Del Norte,3/7/2021,3,California
El Dorado,3/7/2021,390,California
Fresno,3/7/2021,1061,California
Glenn,3/7/2021,1,California
Humboldt,3/7/2021,343,California
Imperial,3/7/2021,76,California
Inyo,3/7/2021,6,California
Kern,3/7/2021,1914,California
Kings,3/7/2021,211,California
Lake,3/7/2021,6,California
Lassen,3/7/2021,55,California
Los Angeles,3/7/2021,22741,California
Madera,3/7/2021,127,California
Marin,3/7/2021,1332,California
Mariposa,3/7/2021,1,California
Mendocino,3/7/2021,482,California
Merced,3/7/2021,197,California
Modoc,3/7/2021,6,California
Mono,3/7/2021,1,California
Monterey,3/7/2021,451,California
Napa,3/7/2021,426,California
Nevada,3/7/2021,187,California
Orange,3/7/2021,13588,California
Outside California,3/7/2021,2072,Not in California
Placer,3/7/2021,1203,California
Plumas,3/7/2021,10,California
Riverside,3/7/2021,3478,California
Sacramento,3/7/2021,7208,California
San Benito,3/7/2021,620,California
San Bernardino,3/7/2021,1386,California
San Diego,3/7/2021,17133,California
San Francisco,3/7/2021,4902,California
San Joaquin,3/7/2021,1117,California
San Luis Obispo,3/7/2021,194,California
San Mateo,3/7/2021,3351,California
Santa Barbara,3/7/2021,494,California
Santa Clara,3/7/2021,6124,California
Santa Cruz,3/7/2021,1321,California
Shasta,3/7/2021,76,California
Siskiyou,3/7/2021,10,California
Solano,3/7/2021,2640,California
Sonoma,3/7/2021,1574,California
Stanislaus,3/7/2021,804,California
Sutter,3/7/2021,56,California
Tehama,3/7/2021,5,California
Trinity,3/7/2021,3,California
Tulare,3/7/2021,1002,California
Tuolumne,3/7/2021,29,California
Unknown,3/7/2021,56,Not in California
Ventura,3/7/2021,1483,California
Yolo,3/7/2021,445,California
Yuba,3/7/2021,45,California
Alameda,3/6/2021,11491,California
Amador,3/6/2021,72,California
Butte,3/6/2021,141,California
Calaveras,3/6/2021,81,California
Colusa,3/6/2021,235,California
Contra Costa,3/6/2021,6350,California
Del Norte,3/6/2021,425,California
El Dorado,3/6/2021,521,California
Fresno,3/6/2021,5438,California
Glenn,3/6/2021,24,California
Humboldt,3/6/2021,1174,California
Imperial,3/6/2021,642,California
Inyo,3/6/2021,29,California
Kern,3/6/2021,3801,California
Kings,3/6/2021,442,California
Lake,3/6/2021,28,California
Lassen,3/6/2021,45,California
Los Angeles,3/6/2021,52638,California
Madera,3/6/2021,618,California
Marin,3/6/2021,2242,California
Mariposa,3/6/2021,5,California
Mendocino,3/6/2021,224,California
Merced,3/6/2021,820,California
Modoc,3/6/2021,8,California
Mono,3/6/2021,319,California
Monterey,3/6/2021,2479,California
Napa,3/6/2021,497,California
Nevada,3/6/2021,293,California
Orange,3/6/2021,16025,California
Outside California,3/6/2021,4749,Not in California
Placer,3/6/2021,2063,California
Plumas,3/6/2021,10,California
Riverside,3/6/2021,6711,California
Sacramento,3/6/2021,5390,California
San Benito,3/6/2021,147,California
San Bernardino,3/6/2021,7100,California
San Diego,3/6/2021,22241,California
San Francisco,3/6/2021,5909,California
San Joaquin,3/6/2021,2772,California
San Luis Obispo,3/6/2021,666,California
San Mateo,3/6/2021,7142,California
Santa Barbara,3/6/2021,1870,California
Santa Clara,3/6/2021,8089,California
Santa Cruz,3/6/2021,3539,California
Shasta,3/6/2021,713,California
Siskiyou,3/6/2021,22,California
Solano,3/6/2021,3330,California
Sonoma,3/6/2021,2340,California
Stanislaus,3/6/2021,3307,California
Sutter,3/6/2021,535,California
Tehama,3/6/2021,269,California
Trinity,3/6/2021,181,California
Tulare,3/6/2021,2244,California
Tuolumne,3/6/2021,1024,California
Unknown,3/6/2021,120,Not in California
Ventura,3/6/2021,4802,California
Yolo,3/6/2021,532,California
Yuba,3/6/2021,260,California
Alameda,3/5/2021,13464,California
Alpine,3/5/2021,29,California
Amador,3/5/2021,476,California
Butte,3/5/2021,1253,California
Calaveras,3/5/2021,442,California
Colusa,3/5/2021,84,California
Contra Costa,3/5/2021,9494,California
Del Norte,3/5/2021,68,California
El Dorado,3/5/2021,1090,California
Fresno,3/5/2021,6650,California
Glenn,3/5/2021,329,California
Humboldt,3/5/2021,857,California
Imperial,3/5/2021,2539,California
Inyo,3/5/2021,149,California
Kern,3/5/2021,5680,California
Kings,3/5/2021,845,California
Lake,3/5/2021,790,California
Lassen,3/5/2021,44,California
Los Angeles,3/5/2021,72948,California
Madera,3/5/2021,1093,California
Marin,3/5/2021,2478,California
Mariposa,3/5/2021,32,California
Mendocino,3/5/2021,165,California
Merced,3/5/2021,1925,California
Modoc,3/5/2021,3,California
Mono,3/5/2021,30,California
Monterey,3/5/2021,2677,California
Morgan,3/5/2021,1,California
Napa,3/5/2021,1583,California
Nevada,3/5/2021,680,California
Orange,3/5/2021,16723,California
Outside California,3/5/2021,5562,Not in California
Placer,3/5/2021,2482,California
Plumas,3/5/2021,370,California
Riverside,3/5/2021,13804,California
Sacramento,3/5/2021,7722,California
San Benito,3/5/2021,404,California
San Bernardino,3/5/2021,11219,California
San Diego,3/5/2021,27800,California
San Francisco,3/5/2021,7569,California
San Joaquin,3/5/2021,3989,California
San Luis Obispo,3/5/2021,2067,California
San Mateo,3/5/2021,7934,California
Santa Barbara,3/5/2021,3684,California
Santa Clara,3/5/2021,12995,California
Santa Cruz,3/5/2021,2223,California
Shasta,3/5/2021,899,California
Sierra,3/5/2021,12,California
Siskiyou,3/5/2021,193,California
Solano,3/5/2021,3421,California
Sonoma,3/5/2021,4946,California
Stanislaus,3/5/2021,3785,California
Sutter,3/5/2021,255,California
Tehama,3/5/2021,340,California
Trinity,3/5/2021,282,California
Tulare,3/5/2021,2890,California
Tuolumne,3/5/2021,74,California
Unknown,3/5/2021,184,Not in California
Ventura,3/5/2021,8848,California
Yolo,3/5/2021,1278,California
Yuba,3/5/2021,260,California
Alameda,3/4/2021,14930,California
Alpine,3/4/2021,11,California
Amador,3/4/2021,466,California
Butte,3/4/2021,2609,California
Calaveras,3/4/2021,529,California
Colusa,3/4/2021,109,California
Contra Costa,3/4/2021,10433,California
Del Norte,3/4/2021,120,California
El Dorado,3/4/2021,2100,California
Fresno,3/4/2021,7384,California
Glenn,3/4/2021,382,California
Hamilton,3/4/2021,1,Not in California
Humboldt,3/4/2021,827,California
Imperial,3/4/2021,683,California
Inyo,3/4/2021,120,California
Kern,3/4/2021,4620,California
Kings,3/4/2021,546,California
La Paz,3/4/2021,2,California
Lake,3/4/2021,505,California
Lassen,3/4/2021,139,California
Los Angeles,3/4/2021,79018,California
Madera,3/4/2021,1080,California
Marin,3/4/2021,2681,California
Mariposa,3/4/2021,16,California
Mendocino,3/4/2021,1071,California
Merced,3/4/2021,2668,California
Modoc,3/4/2021,155,California
Mono,3/4/2021,7,California
Monterey,3/4/2021,4040,California
Napa,3/4/2021,1274,California
Nevada,3/4/2021,975,California
Orange,3/4/2021,18638,California
Outside California,3/4/2021,7248,Not in California
Placer,3/4/2021,3031,California
Plumas,3/4/2021,211,California
Riverside,3/4/2021,14437,California
Sacramento,3/4/2021,9334,California
San Benito,3/4/2021,286,California
San Bernardino,3/4/2021,10634,California
San Diego,3/4/2021,27329,California
San Francisco,3/4/2021,7521,California
San Joaquin,3/4/2021,4594,California
San Luis Obispo,3/4/2021,1940,California
San Mateo,3/4/2021,7170,California
Santa Barbara,3/4/2021,3092,California
Santa Clara,3/4/2021,12911,California
Santa Cruz,3/4/2021,2508,California
Shasta,3/4/2021,992,California
Sierra,3/4/2021,100,California
Siskiyou,3/4/2021,659,California
Solano,3/4/2021,2554,California
Sonoma,3/4/2021,4754,California
Stanislaus,3/4/2021,5193,California
Sutter,3/4/2021,1154,California
Tehama,3/4/2021,511,California
Trinity,3/4/2021,15,California
Tulare,3/4/2021,2608,California
Tuolumne,3/4/2021,1132,California
Unknown,3/4/2021,58,Not in California
Ventura,3/4/2021,7718,California
Walla Walla,3/4/2021,1,California
Yolo,3/4/2021,1588,California
Yuba,3/4/2021,444,California
Alameda,3/3/2021,13687,California
Alpine,3/3/2021,30,California
Amador,3/3/2021,211,California
Bennington,3/3/2021,1,California
Butte,3/3/2021,2318,California
Calaveras,3/3/2021,477,California
Clallam,3/3/2021,1,California
Colusa,3/3/2021,211,California
Contra Costa,3/3/2021,9786,California
Del Norte,3/3/2021,150,California
El Dorado,3/3/2021,1301,California
Fresno,3/3/2021,5209,California
Glenn,3/3/2021,169,California
Humboldt,3/3/2021,1429,California
Imperial,3/3/2021,847,California
Inyo,3/3/2021,82,California
