county,date,deaths,cumulative_deaths,reported_deaths,cumulative_reported_deaths
Alameda,3/16/2021,0,1177,10,1177
Alpine,3/16/2021,0,0,0,0
Amador,3/16/2021,0,44,0,44
Butte,3/16/2021,0,184,-1,184
Calaveras,3/16/2021,0,49,0,49
California,3/16/2021,0,55577,205,55577
Colusa,3/16/2021,0,12,0,12
Contra Costa,3/16/2021,0,736,4,736
Del Norte,3/16/2021,0,6,0,6
El Dorado,3/16/2021,0,105,2,105
Fresno,3/16/2021,0,1498,2,1498
Glenn,3/16/2021,0,17,2,17
Humboldt,3/16/2021,0,33,1,33
Imperial,3/16/2021,0,689,5,689
Inyo,3/16/2021,0,35,0,35
Kern,3/16/2021,0,1144,3,1144
Kings,3/16/2021,0,233,0,233
Lake,3/16/2021,0,43,0,43
Lassen,3/16/2021,0,1,0,1
Los Angeles,3/16/2021,0,22527,50,22527
Madera,3/16/2021,0,214,0,214
Marin,3/16/2021,0,218,0,218
Mariposa,3/16/2021,0,5,0,5
Mendocino,3/16/2021,0,44,0,44
Merced,3/16/2021,0,407,0,407
Modoc,3/16/2021,0,3,0,3
Mono,3/16/2021,0,3,0,3
Monterey,3/16/2021,0,334,1,334
Napa,3/16/2021,0,75,0,75
Nevada,3/16/2021,0,67,1,67
Orange,3/16/2021,0,4479,-2,4479
Placer,3/16/2021,0,240,2,240
Plumas,3/16/2021,0,4,0,4
Riverside,3/16/2021,0,3893,37,3893
Sacramento,3/16/2021,0,1466,3,1466
San Benito,3/16/2021,0,61,0,61
San Bernardino,3/16/2021,0,4032,28,4032
San Diego,3/16/2021,0,3462,10,3462
San Francisco,3/16/2021,0,456,0,456
San Joaquin,3/16/2021,0,1163,23,1163
San Luis Obispo,3/16/2021,0,248,1,248
San Mateo,3/16/2021,0,344,0,344
Santa Barbara,3/16/2021,0,433,2,433
Santa Clara,3/16/2021,0,1797,-1,1797
Santa Cruz,3/16/2021,0,199,-1,199
Shasta,3/16/2021,0,100,8,100
Sierra,3/16/2021,0,0,0,0
Siskiyou,3/16/2021,0,5,0,5
Solano,3/16/2021,0,171,0,171
Sonoma,3/16/2021,0,291,6,291
Stanislaus,3/16/2021,0,683,0,683
Sutter,3/16/2021,0,102,0,102
Tehama,3/16/2021,0,34,0,34
Trinity,3/16/2021,0,3,0,3
Tulare,3/16/2021,0,803,3,803
Tuolumne,3/16/2021,0,57,0,57
Ventura,3/16/2021,0,916,6,916
Yolo,3/16/2021,0,190,0,190
Yuba,3/16/2021,0,42,0,42
Alameda,3/15/2021,0,1177,-1,1167
Alpine,3/15/2021,0,0,0,0
Amador,3/15/2021,0,44,0,44
Butte,3/15/2021,0,184,0,185
Calaveras,3/15/2021,0,49,0,49
California,3/15/2021,0,55577,42,55372
Colusa,3/15/2021,0,12,0,12
Contra Costa,3/15/2021,0,736,1,732
Del Norte,3/15/2021,0,6,0,6
El Dorado,3/15/2021,0,105,0,103
Fresno,3/15/2021,0,1498,0,1496
Glenn,3/15/2021,0,17,0,15
Humboldt,3/15/2021,0,33,0,32
Imperial,3/15/2021,0,689,-1,684
Inyo,3/15/2021,0,35,0,35
Kern,3/15/2021,0,1144,0,1141
Kings,3/15/2021,0,233,1,233
