county,date,all_hospital_beds,icu_available_beds
Madera,3/29/2020,0,8
Calaveras,3/29/2020,0,0
Sonoma,3/29/2020,0,12
Tulare,3/29/2020,0,7
San Bernardino,3/29/2020,0,65
Yuba,3/29/2020,0,2
Tehama,3/29/2020,0,2
San Mateo,3/29/2020,0,28
Shasta,3/29/2020,0,0
Tuolumne,3/29/2020,0,0
El Dorado,3/29/2020,0,3
Sutter,3/29/2020,0,0
San Diego,3/29/2020,0,205
Los Angeles,3/29/2020,0,345
Modoc,3/29/2020,0,0
Santa Cruz,3/29/2020,0,0
Merced,3/29/2020,0,3
San Luis Obispo,3/29/2020,0,948
Lassen,3/29/2020,0,0
Stanislaus,3/29/2020,0,25
Riverside,3/29/2020,0,46
Santa Clara,3/29/2020,0,70
Mendocino,3/29/2020,0,1
Trinity,3/29/2020,0,0
Del Norte,3/29/2020,0,3
Placer,3/29/2020,0,10
Siskiyou,3/29/2020,0,2
Alameda,3/29/2020,0,119
Orange,3/29/2020,0,131
San Joaquin,3/29/2020,0,7
Kings,3/29/2020,0,2
Mono,3/29/2020,0,2
Amador,3/29/2020,0,2
Sacramento,3/29/2020,0,50
Humboldt,3/29/2020,0,18
Monterey,3/29/2020,0,10
Imperial,3/29/2020,0,2
Fresno,3/29/2020,0,22
Solano,3/29/2020,0,28
Butte,3/29/2020,0,0
Marin,3/29/2020,0,11
San Benito,3/29/2020,0,1
Santa Barbara,3/29/2020,0,47
Napa,3/29/2020,0,5
Kern,3/29/2020,0,39
Nevada,3/29/2020,0,3
Inyo,3/29/2020,0,0
Plumas,3/29/2020,0,0
Contra Costa,3/29/2020,0,62
Yolo,3/29/2020,0,0
Ventura,3/29/2020,0,14
Glenn,3/29/2020,0,0
San Francisco,3/29/2020,0,61
Colusa,3/29/2020,0,0
Lake,3/29/2020,0,2
Lassen,3/30/2020,0,0
Modoc,3/30/2020,0,0
San Diego,3/30/2020,0,228
Yolo,3/30/2020,0,0
San Bernardino,3/30/2020,0,66
Shasta,3/30/2020,0,13
Orange,3/30/2020,0,131
Butte,3/30/2020,0,5
San Luis Obispo,3/30/2020,0,957
Trinity,3/30/2020,0,0
Placer,3/30/2020,0,29
Imperial,3/30/2020,0,4
Marin,3/30/2020,0,16
Nevada,3/30/2020,0,3
Sutter,3/30/2020,0,0
Merced,3/30/2020,0,11
Siskiyou,3/30/2020,0,3
Mono,3/30/2020,0,2
Tulare,3/30/2020,0,7
Monterey,3/30/2020,0,17
Santa Clara,3/30/2020,0,103
Kern,3/30/2020,0,51
Colusa,3/30/2020,0,5
Santa Cruz,3/30/2020,0,4
Alameda,3/30/2020,0,146
Kings,3/30/2020,0,0
San Francisco,3/30/2020,0,90
Riverside,3/30/2020,0,77
Stanislaus,3/30/2020,0,29
Los Angeles,3/30/2020,0,456
Napa,3/30/2020,0,9
Lake,3/30/2020,0,3
Yuba,3/30/2020,0,10
Mendocino,3/30/2020,0,8
Ventura,3/30/2020,0,15
San Joaquin,3/30/2020,0,53
Santa Barbara,3/30/2020,0,48
Sonoma,3/30/2020,0,29
Plumas,3/30/2020,0,0
Calaveras,3/30/2020,0,5
Humboldt,3/30/2020,0,10
Amador,3/30/2020,0,4
Madera,3/30/2020,0,4
Tuolumne,3/30/2020,0,3
Solano,3/30/2020,0,47
El Dorado,3/30/2020,0,9
Fresno,3/30/2020,0,24
Contra Costa,3/30/2020,0,90
Del Norte,3/30/2020,0,5
Glenn,3/30/2020,0,0
San Benito,3/30/2020,0,1
Sacramento,3/30/2020,0,58
Inyo,3/30/2020,0,0
San Mateo,3/30/2020,0,47
Tehama,3/30/2020,0,2
Kings,3/31/2020,0,4
Solano,3/31/2020,0,42
Sacramento,3/31/2020,0,66
Sonoma,3/31/2020,0,21
Kern,3/31/2020,0,46
Santa Barbara,3/31/2020,0,48
San Diego,3/31/2020,0,208
Stanislaus,3/31/2020,0,34
Fresno,3/31/2020,0,23
Plumas,3/31/2020,0,0
Sutter,3/31/2020,0,0
Nevada,3/31/2020,0,6
Contra Costa,3/31/2020,0,68
Mendocino,3/31/2020,0,7
Placer,3/31/2020,0,28
El Dorado,3/31/2020,0,12
Siskiyou,3/31/2020,0,4
Calaveras,3/31/2020,0,4
Colusa,3/31/2020,0,5
Imperial,3/31/2020,0,4
San Joaquin,3/31/2020,0,28
Amador,3/31/2020,0,4
San Francisco,3/31/2020,0,77
Los Angeles,3/31/2020,0,445
San Mateo,3/31/2020,0,37
Tulare,3/31/2020,0,9
Merced,3/31/2020,0,10
Butte,3/31/2020,0,2
Marin,3/31/2020,0,15
Santa Clara,3/31/2020,0,92
Glenn,3/31/2020,0,0
San Luis Obispo,3/31/2020,0,955
Shasta,3/31/2020,0,4
Trinity,3/31/2020,0,0
Lassen,3/31/2020,0,0
Napa,3/31/2020,0,12
Alameda,3/31/2020,0,77
San Bernardino,3/31/2020,0,63
Tuolumne,3/31/2020,0,4
Ventura,3/31/2020,0,12
Riverside,3/31/2020,0,75
Del Norte,3/31/2020,0,3
San Benito,3/31/2020,0,1
Inyo,3/31/2020,0,6
Mono,3/31/2020,0,2
Santa Cruz,3/31/2020,0,7
Humboldt,3/31/2020,0,8
Yolo,3/31/2020,0,1
Orange,3/31/2020,0,131
Monterey,3/31/2020,0,17
Tehama,3/31/2020,0,4
Madera,3/31/2020,0,5
Modoc,3/31/2020,0,0
Yuba,3/31/2020,0,6
Lake,3/31/2020,0,3
Tehama,4/1/2020,0,4
Placer,4/1/2020,0,7
Imperial,4/1/2020,0,7
Madera,4/1/2020,0,4
Lassen,4/1/2020,0,0
Napa,4/1/2020,0,9
Siskiyou,4/1/2020,0,3
San Benito,4/1/2020,0,0
Colusa,4/1/2020,0,5
San Bernardino,4/1/2020,0,34
Stanislaus,4/1/2020,0,31
Amador,4/1/2020,0,2
Kings,4/1/2020,0,1
Inyo,4/1/2020,0,6
Glenn,4/1/2020,0,0
Calaveras,4/1/2020,0,5
Mariposa,4/1/2020,0,0
Lake,4/1/2020,0,2
Shasta,4/1/2020,0,13
Del Norte,4/1/2020,0,3
Humboldt,4/1/2020,0,7
Tulare,4/1/2020,0,9
Los Angeles,4/1/2020,0,492
Plumas,4/1/2020,0,0
San Diego,4/1/2020,0,215
Orange,4/1/2020,0,118
Contra Costa,4/1/2020,0,61
Modoc,4/1/2020,0,0
Riverside,4/1/2020,0,76
El Dorado,4/1/2020,0,9
San Mateo,4/1/2020,0,36
Kern,4/1/2020,0,32
San Francisco,4/1/2020,0,64
Mono,4/1/2020,0,2
Trinity,4/1/2020,0,0
Marin,4/1/2020,0,14
Merced,4/1/2020,0,9
Butte,4/1/2020,0,9
San Luis Obispo,4/1/2020,0,968
Yolo,4/1/2020,0,2
Santa Barbara,4/1/2020,0,51
Ventura,4/1/2020,0,27
Sonoma,4/1/2020,0,22
Sutter,4/1/2020,0,0
Alameda,4/1/2020,0,106
Santa Cruz,4/1/2020,0,3
Monterey,4/1/2020,0,15
Yuba,4/1/2020,0,6
Santa Clara,4/1/2020,0,91
Nevada,4/1/2020,0,3
Solano,4/1/2020,0,31
Sacramento,4/1/2020,0,74
Tuolumne,4/1/2020,0,2
San Joaquin,4/1/2020,0,21
Mendocino,4/1/2020,0,8
Fresno,4/1/2020,0,53
Placer,4/2/2020,0,11
Solano,4/2/2020,0,27
Fresno,4/2/2020,0,33
Marin,4/2/2020,0,16
Riverside,4/2/2020,0,104
Santa Barbara,4/2/2020,0,47
