county,date,confirmed_patients,suspected_patients,total_covid_patients
Madera,3/29/2020,1,6,7
Calaveras,3/29/2020,0,0,0
Sonoma,3/29/2020,7,20,27
Tulare,3/29/2020,6,13,19
San Bernardino,3/29/2020,33,123,156
Yuba,3/29/2020,2,12,14
Tehama,3/29/2020,0,0,0
San Mateo,3/29/2020,46,27,73
Shasta,3/29/2020,0,0,0
Tuolumne,3/29/2020,1,5,6
El Dorado,3/29/2020,0,6,6
Sutter,3/29/2020,0,0,0
San Diego,3/29/2020,121,211,332
Los Angeles,3/29/2020,489,1132,1621
Modoc,3/29/2020,0,0,0
Santa Cruz,3/29/2020,0,0,0
Merced,3/29/2020,1,7,8
San Luis Obispo,3/29/2020,7,12,19
Lassen,3/29/2020,0,2,2
Stanislaus,3/29/2020,20,48,68
Riverside,3/29/2020,44,78,122
Santa Clara,3/29/2020,141,72,213
Mendocino,3/29/2020,1,11,12
Trinity,3/29/2020,0,0,0
Del Norte,3/29/2020,1,2,3
Placer,3/29/2020,18,14,32
Siskiyou,3/29/2020,0,0,0
Alameda,3/29/2020,36,91,127
Orange,3/29/2020,74,167,241
San Joaquin,3/29/2020,34,35,69
Kings,3/29/2020,2,5,7
Mono,3/29/2020,0,1,1
Amador,3/29/2020,1,0,1
Sacramento,3/29/2020,36,27,63
Humboldt,3/29/2020,1,10,11
Monterey,3/29/2020,2,16,18
Imperial,3/29/2020,5,100,105
Fresno,3/29/2020,8,116,124
Solano,3/29/2020,7,27,34
Butte,3/29/2020,0,0,0
Marin,3/29/2020,7,13,20
San Benito,3/29/2020,1,1,2
Santa Barbara,3/29/2020,15,21,36
Napa,3/29/2020,0,26,26
Kern,3/29/2020,16,57,73
Nevada,3/29/2020,23,0,0
Inyo,3/29/2020,0,0,0
Plumas,3/29/2020,0,1,1
Contra Costa,3/29/2020,23,62,85
Yolo,3/29/2020,2,3,5
Ventura,3/29/2020,24,85,109
Glenn,3/29/2020,0,0,0
San Francisco,3/29/2020,50,73,123
Colusa,3/29/2020,0,0,0
Lake,3/29/2020,0,1,1
Lassen,3/30/2020,0,4,4
Modoc,3/30/2020,0,31,31
San Diego,3/30/2020,146,446,592
Yolo,3/30/2020,2,2,4
San Bernardino,3/30/2020,67,179,246
Shasta,3/30/2020,1,4,5
Orange,3/30/2020,98,251,349
Butte,3/30/2020,4,12,16
San Luis Obispo,3/30/2020,5,11,16
Trinity,3/30/2020,0,0,0
Placer,3/30/2020,19,19,38
Imperial,3/30/2020,19,109,128
Marin,3/30/2020,10,9,19
Nevada,3/30/2020,26,17,43
Sutter,3/30/2020,0,0,0
Merced,3/30/2020,1,9,10
Siskiyou,3/30/2020,0,0,0
Mono,3/30/2020,0,1,1
Tulare,3/30/2020,5,21,26
Monterey,3/30/2020,11,16,27
Santa Clara,3/30/2020,153,93,246
Kern,3/30/2020,18,123,141
Colusa,3/30/2020,0,1,1
Santa Cruz,3/30/2020,0,2,2
Alameda,3/30/2020,59,89,148
Kings,3/30/2020,2,12,14
San Francisco,3/30/2020,58,92,150
Riverside,3/30/2020,60,133,193
Stanislaus,3/30/2020,17,51,68
Los Angeles,3/30/2020,601,1277,1878
Napa,3/30/2020,3,8,11
Lake,3/30/2020,0,1,1
Yuba,3/30/2020,3,17,20
Mendocino,3/30/2020,2,11,13
Ventura,3/30/2020,25,82,107
San Joaquin,3/30/2020,28,30,58
Santa Barbara,3/30/2020,19,25,44
Sonoma,3/30/2020,7,22,29
Plumas,3/30/2020,0,1,1
Calaveras,3/30/2020,0,3,3
Humboldt,3/30/2020,1,8,9
Amador,3/30/2020,0,1,1
Madera,3/30/2020,1,5,6
Tuolumne,3/30/2020,1,2,3
Solano,3/30/2020,15,16,31
El Dorado,3/30/2020,0,9,9
Fresno,3/30/2020,10,88,98
Contra Costa,3/30/2020,25,54,79
Del Norte,3/30/2020,0,2,2
Glenn,3/30/2020,0,0,0
San Benito,3/30/2020,1,1,2
Sacramento,3/30/2020,45,86,131
Inyo,3/30/2020,0,0,0
San Mateo,3/30/2020,56,40,96
Tehama,3/30/2020,0,2,2
Kings,3/31/2020,1,3,4
Solano,3/31/2020,15,15,30
Sacramento,3/31/2020,53,110,163
Sonoma,3/31/2020,8,18,26
Kern,3/31/2020,14,63,77
Santa Barbara,3/31/2020,19,29,48
San Diego,3/31/2020,158,408,566
Stanislaus,3/31/2020,20,31,51
Fresno,3/31/2020,30,274,304
Plumas,3/31/2020,0,0,0
Sutter,3/31/2020,0,0,0
Nevada,3/31/2020,36,40,76
Contra Costa,3/31/2020,27,54,81
Mendocino,3/31/2020,0,1,1
Placer,3/31/2020,18,27,45
El Dorado,3/31/2020,10,9,19
Siskiyou,3/31/2020,0,0,0
Calaveras,3/31/2020,0,1,1
Colusa,3/31/2020,0,1,1
Imperial,3/31/2020,12,100,112
San Joaquin,3/31/2020,44,54,98
Amador,3/31/2020,0,0,0
San Francisco,3/31/2020,67,69,136
Los Angeles,3/31/2020,713,1239,1952
San Mateo,3/31/2020,60,23,83
Tulare,3/31/2020,6,14,20
Merced,3/31/2020,3,11,14
Butte,3/31/2020,4,20,24
Marin,3/31/2020,9,14,23
Santa Clara,3/31/2020,155,98,253
Glenn,3/31/2020,0,0,0
San Luis Obispo,3/31/2020,7,15,22
Shasta,3/31/2020,1,5,6
Trinity,3/31/2020,0,0,0
Lassen,3/31/2020,0,7,7
Napa,3/31/2020,1,5,6
Alameda,3/31/2020,56,94,150
San Bernardino,3/31/2020,82,231,313
Tuolumne,3/31/2020,0,37,37
Ventura,3/31/2020,21,90,111
Riverside,3/31/2020,80,155,235
Del Norte,3/31/2020,0,4,4
San Benito,3/31/2020,1,0,1
Inyo,3/31/2020,0,83,0
Mono,3/31/2020,0,1,1
Santa Cruz,3/31/2020,1,10,11
Humboldt,3/31/2020,1,11,12
Yolo,3/31/2020,3,2,5
Orange,3/31/2020,105,233,338
Monterey,3/31/2020,11,15,26
Tehama,3/31/2020,0,2,2
Madera,3/31/2020,1,3,4
Modoc,3/31/2020,0,19,19
Yuba,3/31/2020,2,21,23
Lake,3/31/2020,0,4,4
Tehama,4/1/2020,0,1,1
Placer,4/1/2020,25,28,53
Imperial,4/1/2020,4,15,19
Madera,4/1/2020,1,3,4
Lassen,4/1/2020,0,7,7
Napa,4/1/2020,2,2,4
Siskiyou,4/1/2020,0,5,5
