,date,county,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
0,3/16/2021,Alameda,County,1685886.0,0.0,82259.0,0.0,1177.0,,2108264.0,,95660.0,100.0,82259.0,10.0,1177.0,2290.0,1492209.0
1,3/16/2021,Alpine,County,1117.0,0.0,82.0,0.0,0.0,,1842.0,,30.0,0.0,82.0,0.0,0.0,1.0,736.0
2,3/16/2021,Amador,County,38531.0,0.0,3510.0,0.0,44.0,,96792.0,,4015.0,4.0,3510.0,0.0,44.0,35.0,32130.0
3,3/16/2021,Butte,County,217769.0,0.0,11154.0,0.0,184.0,,188353.0,,11740.0,13.0,11154.0,-1.0,184.0,170.0,153145.0
4,3/16/2021,Calaveras,County,44289.0,0.0,1945.0,0.0,49.0,,35204.0,,2188.0,4.0,1945.0,0.0,49.0,27.0,24406.0
5,3/16/2021,California,State,40129160.0,0.0,3532496.0,0.0,55577.0,,51460324.0,,4208643.0,2441.0,3532496.0,205.0,55577.0,88299.0,50687603.0
6,3/16/2021,Colusa,County,22593.0,0.0,1882.0,0.0,12.0,,15214.0,,1735.0,-1.0,1882.0,0.0,12.0,15.0,13675.0
7,3/16/2021,Contra Costa,County,1160099.0,0.0,63951.0,0.0,736.0,,1274591.0,,70615.0,104.0,63951.0,4.0,736.0,1600.0,990151.0
8,3/16/2021,Del Norte,County,27558.0,0.0,1048.0,0.0,6.0,,67883.0,,1141.0,0.0,1048.0,0.0,6.0,50.0,24244.0
9,3/16/2021,El Dorado,County,193098.0,0.0,9249.0,0.0,105.0,,147385.0,,9073.0,14.0,9249.0,2.0,105.0,224.0,127952.0
10,3/16/2021,Fresno,County,1032227.0,0.0,97638.0,0.0,1498.0,,1031564.0,,114256.0,118.0,97638.0,2.0,1498.0,1121.0,819065.0
11,3/16/2021,Glenn,County,29348.0,0.0,2267.0,0.0,17.0,,21397.0,,2324.0,6.0,2267.0,2.0,17.0,17.0,16384.0
12,3/16/2021,Humboldt,County,134098.0,0.0,3351.0,0.0,33.0,,114807.0,,3521.0,14.0,3351.0,1.0,33.0,164.0,86770.0
13,3/16/2021,Imperial,County,191649.0,0.0,27143.0,0.0,689.0,,254674.0,,31000.0,21.0,27143.0,5.0,689.0,84.0,162730.0
14,3/16/2021,Inyo,County,18453.0,0.0,1346.0,0.0,35.0,,16387.0,,1135.0,0.0,1346.0,0.0,35.0,18.0,14012.0
15,3/16/2021,Kern,County,927251.0,0.0,93340.0,0.0,1144.0,,879917.0,,106164.0,74.0,93340.0,3.0,1144.0,533.0,674448.0
16,3/16/2021,Kings,County,156444.0,0.0,22320.0,0.0,233.0,,310396.0,,25840.0,26.0,22320.0,0.0,233.0,97.0,146867.0
17,3/16/2021,Lake,County,64871.0,0.0,3246.0,0.0,43.0,,58720.0,,3775.0,9.0,3246.0,0.0,43.0,40.0,48405.0
18,3/16/2021,Lassen,County,30065.0,0.0,5126.0,0.0,1.0,,112896.0,,5872.0,1.0,5126.0,0.0,1.0,17.0,43659.0
19,3/16/2021,Los Angeles,County,10257557.0,0.0,1172676.0,0.0,22527.0,,16764205.0,,1499919.0,231.0,1172676.0,50.0,22527.0,59894.0,23343769.0
20,3/16/2021,Madera,County,160089.0,0.0,15822.0,0.0,214.0,,208375.0,,17801.0,16.0,15822.0,0.0,214.0,119.0,117537.0
21,3/16/2021,Marin,County,260800.0,0.0,13419.0,0.0,218.0,,430764.0,,14828.0,11.0,13419.0,0.0,218.0,425.0,274704.0
22,3/16/2021,Mariposa,County,17795.0,0.0,379.0,0.0,5.0,,18837.0,,421.0,3.0,379.0,0.0,5.0,5.0,7912.0
23,3/16/2021,Mendocino,County,88439.0,0.0,3623.0,0.0,44.0,,88218.0,,3990.0,8.0,3623.0,0.0,44.0,48.0,57246.0
24,3/16/2021,Merced,County,287420.0,0.0,29198.0,0.0,407.0,,304471.0,,30823.0,29.0,29198.0,0.0,407.0,256.0,217112.0
25,3/16/2021,Modoc,County,9475.0,0.0,341.0,0.0,3.0,,5345.0,,158.0,1.0,341.0,0.0,3.0,2.0,3601.0
26,3/16/2021,Mono,County,13961.0,0.0,1207.0,0.0,3.0,,14478.0,,1307.0,1.0,1207.0,0.0,3.0,1.0,12733.0
