county,date,all_hospital_beds,icu_available_beds
Madera,2020-03-29,0,8
Calaveras,2020-03-29,0,0
Sonoma,2020-03-29,0,12
Tulare,2020-03-29,0,7
San Bernardino,2020-03-29,0,65
Yuba,2020-03-29,0,2
Tehama,2020-03-29,0,2
San Mateo,2020-03-29,0,28
Shasta,2020-03-29,0,0
Tuolumne,2020-03-29,0,0
El Dorado,2020-03-29,0,3
Sutter,2020-03-29,0,0
San Diego,2020-03-29,0,205
Los Angeles,2020-03-29,0,345
Modoc,2020-03-29,0,0
Santa Cruz,2020-03-29,0,0
Merced,2020-03-29,0,3
San Luis Obispo,2020-03-29,0,948
Lassen,2020-03-29,0,0
Stanislaus,2020-03-29,0,25
Riverside,2020-03-29,0,46
Santa Clara,2020-03-29,0,70
Mendocino,2020-03-29,0,1
Trinity,2020-03-29,0,0
Del Norte,2020-03-29,0,3
Placer,2020-03-29,0,10
Siskiyou,2020-03-29,0,2
Alameda,2020-03-29,0,119
Orange,2020-03-29,0,131
San Joaquin,2020-03-29,0,7
Kings,2020-03-29,0,2
Mono,2020-03-29,0,2
Amador,2020-03-29,0,2
Sacramento,2020-03-29,0,50
Humboldt,2020-03-29,0,18
Monterey,2020-03-29,0,10
Imperial,2020-03-29,0,2
Fresno,2020-03-29,0,22
Solano,2020-03-29,0,28
Butte,2020-03-29,0,0
Marin,2020-03-29,0,11
San Benito,2020-03-29,0,1
Santa Barbara,2020-03-29,0,47
Napa,2020-03-29,0,5
Kern,2020-03-29,0,39
Nevada,2020-03-29,0,3
Inyo,2020-03-29,0,0
Plumas,2020-03-29,0,0
Contra Costa,2020-03-29,0,62
Yolo,2020-03-29,0,0
Ventura,2020-03-29,0,14
Glenn,2020-03-29,0,0
San Francisco,2020-03-29,0,61
Colusa,2020-03-29,0,0
Lake,2020-03-29,0,2
Lassen,2020-03-30,0,0
Modoc,2020-03-30,0,0
San Diego,2020-03-30,0,228
Yolo,2020-03-30,0,0
San Bernardino,2020-03-30,0,66
Shasta,2020-03-30,0,13
Orange,2020-03-30,0,131
Butte,2020-03-30,0,5
San Luis Obispo,2020-03-30,0,957
Trinity,2020-03-30,0,0
Placer,2020-03-30,0,29
Imperial,2020-03-30,0,4
Marin,2020-03-30,0,16
Nevada,2020-03-30,0,3
Sutter,2020-03-30,0,0
Merced,2020-03-30,0,11
Siskiyou,2020-03-30,0,3
Mono,2020-03-30,0,2
Tulare,2020-03-30,0,7
Monterey,2020-03-30,0,17
Santa Clara,2020-03-30,0,103
Kern,2020-03-30,0,51
Colusa,2020-03-30,0,5
Santa Cruz,2020-03-30,0,4
