county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Madera,3/29/2020,1,6,,,1,1,8
Calaveras,3/29/2020,,,,,,,
Sonoma,3/29/2020,7,20,,,2,5,12
Tulare,3/29/2020,6,13,,,5,3,7
San Bernardino,3/29/2020,33,123,,,19,20,65
Yuba,3/29/2020,2,12,,,2,4,2
Tehama,3/29/2020,0,0,,,0,0,2
San Mateo,3/29/2020,46,27,,,16,10,28
Shasta,3/29/2020,0,0,,,0,0,
Tuolumne,3/29/2020,1,5,,,0,0,0
El Dorado,3/29/2020,0,6,,,0,3,3
Sutter,3/29/2020,0,0,,,0,0,
San Diego,3/29/2020,121,211,,,77,39,205
Los Angeles,3/29/2020,489,1132,,,191,182,345
Modoc,3/29/2020,0,0,,,0,0,
Santa Cruz,3/29/2020,0,0,,,0,0,
Merced,3/29/2020,1,7,,,0,0,3
San Luis Obispo,3/29/2020,7,12,,,3,4,948
Lassen,3/29/2020,0,2,,,0,0,
Stanislaus,3/29/2020,20,48,,,9,8,25
Riverside,3/29/2020,44,78,,,13,20,46
Santa Clara,3/29/2020,141,72,,,65,15,70
Mendocino,3/29/2020,1,11,,,0,0,1
Trinity,3/29/2020,0,0,,,0,0,
Del Norte,3/29/2020,1,2,,,0,0,3
Placer,3/29/2020,18,14,,,4,1,10
Siskiyou,3/29/2020,0,0,,,0,0,2
Alameda,3/29/2020,36,91,,,20,16,119
Orange,3/29/2020,74,167,,,31,40,131
San Joaquin,3/29/2020,34,35,,,5,2,7
Kings,3/29/2020,2,5,,,1,0,2
Mono,3/29/2020,0,1,,,0,0,2
Amador,3/29/2020,1,0,,,0,0,2
Sacramento,3/29/2020,36,27,,,12,18,50
Humboldt,3/29/2020,1,10,,,0,0,18
Monterey,3/29/2020,2,16,,,1,2,10
Imperial,3/29/2020,5,100,,,1,2,2
Fresno,3/29/2020,8,116,,,3,14,22
Solano,3/29/2020,7,27,,,4,1,28
Butte,3/29/2020,,,,,,,
Marin,3/29/2020,7,13,,,2,6,11
San Benito,3/29/2020,1,1,,,1,0,1
Santa Barbara,3/29/2020,15,21,,,9,3,47
Napa,3/29/2020,0,26,,,,,5
Kern,3/29/2020,16,57,,,8,8,39
Nevada,3/29/2020,23,,,,1,0,3
Inyo,3/29/2020,,,,,,,
Plumas,3/29/2020,0,1,,,0,1,
Contra Costa,3/29/2020,23,62,,,8,15,62
Yolo,3/29/2020,2,3,,,1,1,0
Ventura,3/29/2020,24,85,,,5,19,14
Glenn,3/29/2020,,,,,,,
San Francisco,3/29/2020,50,73,,,24,10,61
Colusa,3/29/2020,,,,,,,
Lake,3/29/2020,0,1,,,0,1,2
Lassen,3/30/2020,0,4,,,0,0,
Modoc,3/30/2020,0,31,,,0,0,
San Diego,3/30/2020,146,446,,,72,23,228
Yolo,3/30/2020,2,2,,,1,2,0
San Bernardino,3/30/2020,67,179,,,27,33,66
Shasta,3/30/2020,1,4,,,0,0,13
Orange,3/30/2020,98,251,,,42,58,131
Butte,3/30/2020,4,12,,,2,1,5
San Luis Obispo,3/30/2020,5,11,,,3,4,957
Trinity,3/30/2020,0,0,,,0,0,
Placer,3/30/2020,19,19,,,5,1,29
Imperial,3/30/2020,19,109,,,3,3,4
Marin,3/30/2020,10,9,,,4,2,16
Nevada,3/30/2020,26,17,,,2,5,3
Sutter,3/30/2020,0,0,,,0,0,
Merced,3/30/2020,1,9,,,0,2,11
Siskiyou,3/30/2020,0,0,,,0,0,3
Mono,3/30/2020,0,1,,,0,0,2
Tulare,3/30/2020,5,21,,,4,6,7
Monterey,3/30/2020,11,16,,,4,0,17
Santa Clara,3/30/2020,153,93,,,74,23,103
Kern,3/30/2020,18,123,,,6,8,51
Colusa,3/30/2020,0,1,,,0,1,5
Santa Cruz,3/30/2020,0,2,,,0,0,4
Alameda,3/30/2020,59,89,,,27,18,146
Kings,3/30/2020,2,12,,,1,2,0
San Francisco,3/30/2020,58,92,,,18,7,90
Riverside,3/30/2020,60,133,,,22,33,77
Stanislaus,3/30/2020,17,51,,,9,5,29
Los Angeles,3/30/2020,601,1277,,,245,244,456
Napa,3/30/2020,3,8,,,1,0,9
Lake,3/30/2020,0,1,,,0,1,3
Yuba,3/30/2020,3,17,,,2,4,10
Mendocino,3/30/2020,2,11,,,0,1,8
Ventura,3/30/2020,25,82,,,5,28,15
San Joaquin,3/30/2020,28,30,,,8,4,53
Santa Barbara,3/30/2020,19,25,,,11,7,48
Sonoma,3/30/2020,7,22,,,3,4,29
Plumas,3/30/2020,0,1,,,0,0,
Calaveras,3/30/2020,0,3,,,0,1,5
Humboldt,3/30/2020,1,8,,,0,0,10
Amador,3/30/2020,0,1,,,0,0,4
Madera,3/30/2020,1,5,,,1,3,4
Tuolumne,3/30/2020,1,2,,,0,0,3
Solano,3/30/2020,15,16,,,6,0,47
El Dorado,3/30/2020,0,9,,,0,6,9
Fresno,3/30/2020,10,88,,,3,14,24
Contra Costa,3/30/2020,25,54,,,11,6,90
Del Norte,3/30/2020,0,2,,,0,0,5
Glenn,3/30/2020,0,0,,,0,0,
San Benito,3/30/2020,1,1,,,1,0,1
Sacramento,3/30/2020,45,86,,,21,23,58
Inyo,3/30/2020,,,,,,,
San Mateo,3/30/2020,56,40,,,18,11,47
Tehama,3/30/2020,0,2,,,0,0,2
Kings,3/31/2020,1,3,,,1,2,4
Solano,3/31/2020,15,15,,,6,5,42
Sacramento,3/31/2020,53,110,,,20,31,66
Sonoma,3/31/2020,8,18,,,3,3,21
Kern,3/31/2020,14,63,,,6,6,46
Santa Barbara,3/31/2020,19,29,,,14,7,48
San Diego,3/31/2020,158,408,,,75,39,208
Stanislaus,3/31/2020,20,31,,,9,1,34
Fresno,3/31/2020,30,274,,,4,19,23
Plumas,3/31/2020,0,0,,,0,0,
Sutter,3/31/2020,0,0,,,0,0,
Nevada,3/31/2020,36,40,,,2,1,6
Contra Costa,3/31/2020,27,54,,,11,10,68
Mendocino,3/31/2020,0,1,,,0,0,7
Placer,3/31/2020,18,27,,,6,0,28
El Dorado,3/31/2020,10,9,,,0,6,12
Siskiyou,3/31/2020,0,0,,,0,0,4
Calaveras,3/31/2020,0,1,,,0,0,4
Colusa,3/31/2020,0,1,,,0,1,5
Imperial,3/31/2020,12,100,,,3,4,4
San Joaquin,3/31/2020,44,54,,,14,5,28
Amador,3/31/2020,0,0,,,0,0,4
San Francisco,3/31/2020,67,69,,,30,14,77
Los Angeles,3/31/2020,713,1239,,,315,239,445
San Mateo,3/31/2020,60,23,,,18,5,37
Tulare,3/31/2020,6,14,,,4,5,9
Merced,3/31/2020,3,11,,,0,2,10
Butte,3/31/2020,4,20,,,2,3,2
Marin,3/31/2020,9,14,,,4,2,15
Santa Clara,3/31/2020,155,98,,,73,17,92
Glenn,3/31/2020,0,0,,,0,0,
San Luis Obispo,3/31/2020,7,15,,,3,6,955
Shasta,3/31/2020,1,5,,,1,0,4
Trinity,3/31/2020,0,0,,,0,0,
Lassen,3/31/2020,0,7,,,0,0,
Napa,3/31/2020,1,5,,,1,1,12
Alameda,3/31/2020,56,94,,,27,17,77
San Bernardino,3/31/2020,82,231,,,33,48,63
Tuolumne,3/31/2020,0,37,,,0,0,4
Ventura,3/31/2020,21,90,,,5,24,12
Riverside,3/31/2020,80,155,,,28,59,75
Del Norte,3/31/2020,0,4,,,0,0,3
San Benito,3/31/2020,1,0,,,1,0,1
Inyo,3/31/2020,,83,,,0,0,6
Mono,3/31/2020,0,1,,,0,0,2
Santa Cruz,3/31/2020,1,10,,,1,2,7
Humboldt,3/31/2020,1,11,,,0,4,8
Yolo,3/31/2020,3,2,,,2,2,1
Orange,3/31/2020,105,233,,,45,44,131
Monterey,3/31/2020,11,15,,,4,2,17
Tehama,3/31/2020,0,2,,,0,0,4
Madera,3/31/2020,1,3,,,1,0,5
Modoc,3/31/2020,0,19,,,0,0,
Yuba,3/31/2020,2,21,,,2,4,6
Lake,3/31/2020,0,4,,,0,2,3
Tehama,4/1/2020,0,1,,,0,1,4
Placer,4/1/2020,25,28,,,6,2,7
Imperial,4/1/2020,4,15,,,3,4,7
Madera,4/1/2020,1,3,,,1,0,4
Lassen,4/1/2020,0,7,,,0,0,
Napa,4/1/2020,2,2,,,0,1,9
Siskiyou,4/1/2020,0,5,,,0,2,3
San Benito,4/1/2020,2,0,,,2,0,0
Colusa,4/1/2020,0,1,,,0,1,5
San Bernardino,4/1/2020,95,196,,,39,52,34
Stanislaus,4/1/2020,25,39,,,10,6,31
Amador,4/1/2020,0,3,,,0,0,2
Kings,4/1/2020,2,6,,,1,2,1
Inyo,4/1/2020,7,89,,,0,0,6
Glenn,4/1/2020,,,,,,,
Calaveras,4/1/2020,0,1,,,0,0,5
Mariposa,4/1/2020,0,0,,,0,0,
Lake,4/1/2020,0,2,,,0,0,2
Shasta,4/1/2020,1,4,,,0,1,13
Del Norte,4/1/2020,0,5,,,0,0,3
Humboldt,4/1/2020,1,9,,,0,3,7
Tulare,4/1/2020,4,12,,,3,4,9
Los Angeles,4/1/2020,739,1332,,,335,220,492
Plumas,4/1/2020,0,0,,,0,0,
San Diego,4/1/2020,168,340,,,71,32,215
Orange,4/1/2020,117,221,,,50,48,118
Contra Costa,4/1/2020,31,42,,,12,12,61
Modoc,4/1/2020,0,1,,,0,0,
Riverside,4/1/2020,85,182,,,29,47,76
El Dorado,4/1/2020,14,8,,,1,3,9
San Mateo,4/1/2020,57,35,,,19,9,36
Kern,4/1/2020,15,45,,,7,9,32
San Francisco,4/1/2020,67,66,,,30,8,64
Mono,4/1/2020,0,0,,,0,0,2
Trinity,4/1/2020,0,0,,,0,0,
Marin,4/1/2020,9,19,,,4,2,14
Merced,4/1/2020,3,15,,,0,3,9
Butte,4/1/2020,5,33,,,2,4,9
San Luis Obispo,4/1/2020,8,10,,,5,6,968
Yolo,4/1/2020,3,3,,,1,1,2
Santa Barbara,4/1/2020,23,23,,,15,6,51
Ventura,4/1/2020,22,96,,,5,23,27
Sonoma,4/1/2020,5,18,,,1,2,22
Sutter,4/1/2020,0,0,,,0,0,
Alameda,4/1/2020,52,76,,,27,15,106
Santa Cruz,4/1/2020,2,12,,,2,2,3
Monterey,4/1/2020,13,16,,,4,4,15
Yuba,4/1/2020,2,24,,,2,4,6
Santa Clara,4/1/2020,160,85,,,77,15,91
Nevada,4/1/2020,36,54,,,0,4,3
Solano,4/1/2020,14,18,,,5,2,31
Sacramento,4/1/2020,53,138,,,20,33,74
Tuolumne,4/1/2020,0,0,,,0,0,2
San Joaquin,4/1/2020,25,35,,,16,11,21
Mendocino,4/1/2020,0,2,,,0,0,8
Fresno,4/1/2020,19,101,,,5,13,53
Placer,4/2/2020,32,15,,,9,0,11
Solano,4/2/2020,15,8,,,7,1,27
Fresno,4/2/2020,17,74,,,6,13,33
Marin,4/2/2020,7,16,,,3,1,16
Riverside,4/2/2020,136,181,,,45,49,104
Santa Barbara,4/2/2020,26,44,,,18,10,47
Mariposa,4/2/2020,0,1,,,0,0,
Tehama,4/2/2020,0,1,,,0,1,4
Trinity,4/2/2020,0,0,,,0,0,
Lassen,4/2/2020,0,7,,,0,0,
Napa,4/2/2020,1,4,,,1,1,12
Los Angeles,4/2/2020,818,1270,,,346,193,488
Humboldt,4/2/2020,1,8,,,0,2,8
Santa Clara,4/2/2020,163,101,,,69,19,95
San Mateo,4/2/2020,62,40,,,26,4,26
Siskiyou,4/2/2020,0,3,,,0,2,4
Glenn,4/2/2020,0,0,,,0,0,
Sacramento,4/2/2020,71,92,,,24,19,80
Mono,4/2/2020,18,2,,,0,0,2
Del Norte,4/2/2020,0,3,,,0,0,2
Madera,4/2/2020,1,7,,,1,3,6
Tuolumne,4/2/2020,0,0,,,0,0,2
San Francisco,4/2/2020,75,60,,,32,11,58
El Dorado,4/2/2020,15,12,,,0,6,10
Calaveras,4/2/2020,0,1,,,0,0,5
Tulare,4/2/2020,4,26,,,4,5,3
Plumas,4/2/2020,0,0,,,0,0,
Alameda,4/2/2020,57,76,,,29,17,112
San Luis Obispo,4/2/2020,5,5,,,4,4,966
Lake,4/2/2020,0,1,,,0,0,2
Contra Costa,4/2/2020,32,38,,,13,10,73
Modoc,4/2/2020,0,1,,,0,0,
Yolo,4/2/2020,3,2,,,2,3,0
Monterey,4/2/2020,14,14,,,4,2,12
Ventura,4/2/2020,27,111,,,7,24,15
Butte,4/2/2020,4,26,,,2,2,12
Imperial,4/2/2020,4,16,,,3,5,6
Sonoma,4/2/2020,8,18,,,1,0,10
Santa Cruz,4/2/2020,4,4,,,3,0,7
Inyo,4/2/2020,8,102,,,0,1,3
Amador,4/2/2020,0,3,,,0,0,2
Yuba,4/2/2020,2,25,,,2,6,4
San Diego,4/2/2020,144,343,,,69,35,206
Orange,4/2/2020,129,225,,,67,47,96
San Benito,4/2/2020,2,0,,,2,0,0
Shasta,4/2/2020,2,4,,,1,0,10
San Bernardino,4/2/2020,126,185,,,50,45,37
Merced,4/2/2020,4,5,,,0,1,3
Kings,4/2/2020,2,6,,,1,1,7
Sutter,4/2/2020,0,0,,,,,
Kern,4/2/2020,27,77,,,12,23,36
Stanislaus,4/2/2020,30,43,,,11,7,22
Colusa,4/2/2020,0,1,,,0,1,5
Nevada,4/2/2020,38,58,,,2,1,6
Mendocino,4/2/2020,0,1,,,0,0,8
San Joaquin,4/2/2020,42,42,,,20,7,17
Tulare,4/3/2020,6,15,,,5,2,3
Plumas,4/3/2020,0,0,,,0,0,
Kings,4/3/2020,0,3,,,1,0,3
Tuolumne,4/3/2020,0,0,,,0,0,1
Mendocino,4/3/2020,0,5,,,0,1,6
Santa Clara,4/3/2020,164,83,,,71,17,97
Contra Costa,4/3/2020,31,39,,,15,10,75
Madera,4/3/2020,0,5,,,0,1,7
Humboldt,4/3/2020,1,7,,,0,0,10
San Mateo,4/3/2020,65,39,,,26,4,38
Stanislaus,4/3/2020,28,45,,,12,8,22
Orange,4/3/2020,131,182,,,66,36,151
Ventura,4/3/2020,22,116,,,6,28,56
Fresno,4/3/2020,15,81,,,7,16,35
Mariposa,4/3/2020,0,2,,,0,0,
Napa,4/3/2020,1,9,,,0,1,9
San Bernardino,4/3/2020,118,204,,,44,53,57
Yuba,4/3/2020,2,12,,,2,2,5
Tehama,4/3/2020,0,0,,,0,0,8
Los Angeles,4/3/2020,962,1239,,,422,209,473
Butte,4/3/2020,3,19,,,2,6,9
Inyo,4/3/2020,8,102,,,1,2,1
Kern,4/3/2020,35,73,,,12,16,47
Glenn,4/3/2020,0,0,,,0,0,
Solano,4/3/2020,16,21,,,7,5,23
Sacramento,4/3/2020,77,76,,,28,17,76
Santa Cruz,4/3/2020,4,8,,,3,0,2
Alameda,4/3/2020,64,74,,,32,13,117
Placer,4/3/2020,21,23,,,10,1,7
Lassen,4/3/2020,0,3,,,0,0,
Imperial,4/3/2020,9,7,,,7,0,5
Del Norte,4/3/2020,0,2,,,0,0,2
Merced,4/3/2020,4,5,,,1,1,4
Trinity,4/3/2020,0,0,,,0,0,
Riverside,4/3/2020,105,182,,,44,59,127
Colusa,4/3/2020,1,0,,,1,0,5
San Joaquin,4/3/2020,41,38,,,18,8,22
San Francisco,4/3/2020,80,71,,,39,8,74
Sonoma,4/3/2020,6,24,,,2,3,15
El Dorado,4/3/2020,15,9,,,0,4,14
Monterey,4/3/2020,16,18,,,3,1,17
Modoc,4/3/2020,0,0,,,0,0,
Amador,4/3/2020,0,0,,,0,0,1
Santa Barbara,4/3/2020,27,29,,,18,4,50
Shasta,4/3/2020,2,9,,,1,3,14
Calaveras,4/3/2020,0,1,,,0,0,5
San Luis Obispo,4/3/2020,4,5,,,3,2,967
Yolo,4/3/2020,2,7,,,3,6,4
Lake,4/3/2020,0,2,,,0,1,2
Sutter,4/3/2020,0,0,,,,,
San Diego,4/3/2020,171,308,,,84,28,216
Siskiyou,4/3/2020,0,3,,,0,1,4
Nevada,4/3/2020,2,4,,,2,1,5
Mono,4/3/2020,18,2,,,0,0,2
Marin,4/3/2020,6,16,,,3,5,17
San Benito,4/3/2020,2,0,,,2,0,0
Mariposa,4/4/2020,0,2,,,0,0,
San Luis Obispo,4/4/2020,4,6,,,3,3,954
Napa,4/4/2020,1,8,,,0,1,6
Yuba,4/4/2020,2,16,,,2,2,7
Yolo,4/4/2020,4,5,,,3,3,4
Tehama,4/4/2020,0,1,,,0,0,8
Riverside,4/4/2020,126,186,,,39,56,125
Madera,4/4/2020,0,4,,,0,0,8
Calaveras,4/4/2020,0,1,,,0,0,5
Sutter,4/4/2020,0,0,,,,,
Alameda,4/4/2020,60,95,,,35,18,120
San Benito,4/4/2020,2,3,,,2,0,0
