,area_type,area_name,date,year,month,seasonally_adjusted_y_n,status_preliminary_final,labor_force,employment,unemployment,unemployment_rate
0,County,Alameda County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,802100,743800,58300,0.073
1,County,Alpine County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,620,580,40,0.069
2,County,Amador County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,14330,13140,1190,0.083
3,County,Butte County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,89100,81700,7400,0.083
4,County,Calaveras County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,21140,19670,1460,0.069
5,County,Colusa County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,10210,8620,1600,0.156
6,County,Contra Costa County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,534600,494300,40200,0.075
7,County,Del Norte County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,9290,8460,830,0.09
8,County,El Dorado County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,91100,84800,6300,0.069
9,County,Fresno County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,444700,400300,44400,0.1
10,County,Glenn County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,12180,11210,960,0.079
11,County,Humboldt County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,58700,54400,4300,0.073
12,County,Imperial County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,65000,54300,10800,0.165
13,County,Inyo County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,8260,7690,570,0.069
14,County,Kern County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,381200,340200,41000,0.108
15,County,Kings County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,55800,49800,6000,0.107
16,County,Lake County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,28600,26070,2530,0.088
17,County,Lassen County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,9440,8790,650,0.069
18,County,Los Angeles County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,4916600,4290200,626400,0.127
19,County,Los Angeles County,2021-01-01T00:00:00.000,2021,January,Y,Preliminary,4877300,4264100,613200,0.126
20,County,Madera County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,62800,56800,6000,0.096
21,County,Marin County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,129000,122000,7000,0.054
22,County,Mariposa County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,6760,5940,820,0.121
23,County,Mendocino County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,36140,33380,2770,0.077
24,County,Merced County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,113900,100800,13000,0.114
25,County,Modoc County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,3120,2830,300,0.095
26,County,Mono County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,8570,7800,760,0.089
27,County,Monterey County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,202800,180000,22700,0.112
28,County,Napa County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,67500,61700,5800,0.086
29,County,Nevada County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,46780,43640,3150,0.067
30,County,Orange County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,1516800,1404800,112000,0.074
31,County,Placer County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,185600,174500,11100,0.06
32,County,Plumas County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,7080,6240,840,0.119
33,County,Riverside County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,1105400,1010200,95200,0.086
34,County,Sacramento County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,711200,653300,57900,0.081
35,County,San Benito County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,30700,28000,2700,0.089
36,County,San Bernardino County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,969400,885600,83800,0.086
37,County,San Diego County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,1517300,1395000,122300,0.081
38,County,San Francisco County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,535400,501900,33500,0.063
39,County,San Joaquin County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,330100,297200,33000,0.1
40,County,San Luis Obispo County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,131100,122300,8800,0.067
41,County,San Mateo County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,420000,396000,24000,0.057
42,County,Santa Barbara County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,210600,194300,16200,0.077
43,County,Santa Clara County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,1004700,947300,57400,0.057
44,County,Santa Cruz County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,128500,117500,11000,0.086
45,County,Shasta County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,73900,68100,5800,0.079
46,County,Sierra County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,1260,1160,90,0.074
47,County,Siskiyou County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,16450,14850,1600,0.097
48,County,Solano County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,201200,183900,17400,0.086
49,County,Sonoma County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,234000,217300,16700,0.071
50,County,Stanislaus County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,238600,216300,22300,0.093
51,County,Sutter County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,43300,38900,4400,0.102
52,County,Tehama County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,25210,23190,2030,0.08
53,County,Trinity County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,4400,4060,340,0.077
54,County,Tulare County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,194700,172700,22100,0.113
55,County,Tuolumne County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,19750,17960,1790,0.091
56,County,Ventura County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,401900,372000,29900,0.074
57,County,Yolo County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,105500,98200,7300,0.07
58,County,Yuba County,2021-01-01T00:00:00.000,2021,January,N,Preliminary,29200,26200,2900,0.101
59,Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2021-01-01T00:00:00.000,2021,January,N,Preliminary,1516800,1404800,112000,0.074
60,Metropolitan Area,Bakersfield MSA,2021-01-01T00:00:00.000,2021,January,N,Preliminary,381200,340200,41000,0.108
61,Metropolitan Area,Chico MSA,2021-01-01T00:00:00.000,2021,January,N,Preliminary,89100,81700,7400,0.083
62,Metropolitan Area,El Centro MSA,2021-01-01T00:00:00.000,2021,January,N,Preliminary,65000,54300,10800,0.165
63,Metropolitan Area,Fresno MSA,2021-01-01T00:00:00.000,2021,January,N,Preliminary,444700,400300,44400,0.1
64,Metropolitan Area,Hanford-Corcoran MSA,2021-01-01T00:00:00.000,2021,January,N,Preliminary,55800,49800,6000,0.107
65,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2021-01-01T00:00:00.000,2021,January,N,Preliminary,4916600,4290200,626400,0.127
66,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2021-01-01T00:00:00.000,2021,January,Y,Preliminary,4877300,4264100,613200,0.126
67,Metropolitan Area,Madera MSA,2021-01-01T00:00:00.000,2021,January,N,Preliminary,62800,56800,6000,0.096
