county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Alameda,3/16/2021,0,82259,100,82259
Alpine,3/16/2021,0,82,0,82
Amador,3/16/2021,0,3510,4,3510
Butte,3/16/2021,0,11154,13,11154
Calaveras,3/16/2021,0,1945,4,1945
California,3/16/2021,0,3532496,2441,3532496
Colusa,3/16/2021,0,1882,-1,1882
Contra Costa,3/16/2021,0,63951,104,63951
Del Norte,3/16/2021,0,1048,0,1048
El Dorado,3/16/2021,0,9249,14,9249
Fresno,3/16/2021,0,97638,118,97638
Glenn,3/16/2021,0,2267,6,2267
Humboldt,3/16/2021,0,3351,14,3351
Imperial,3/16/2021,0,27143,21,27143
Inyo,3/16/2021,0,1346,0,1346
Kern,3/16/2021,0,93340,74,93340
Kings,3/16/2021,0,22320,26,22320
Lake,3/16/2021,0,3246,9,3246
Lassen,3/16/2021,0,5126,1,5126
Los Angeles,3/16/2021,0,1172676,231,1172676
Madera,3/16/2021,0,15822,16,15822
Marin,3/16/2021,0,13419,11,13419
Mariposa,3/16/2021,0,379,3,379
Mendocino,3/16/2021,0,3623,8,3623
Merced,3/16/2021,0,29198,29,29198
Modoc,3/16/2021,0,341,1,341
Mono,3/16/2021,0,1207,1,1207
Monterey,3/16/2021,0,42023,12,42023
Napa,3/16/2021,0,9209,13,9209
Nevada,3/16/2021,0,4132,9,4132
Orange,3/16/2021,0,247843,146,247843
Placer,3/16/2021,0,20339,31,20339
Plumas,3/16/2021,0,643,1,643
Riverside,3/16/2021,0,281540,173,281540
Sacramento,3/16/2021,0,95522,108,95522
San Benito,3/16/2021,0,5831,0,5831
San Bernardino,3/16/2021,0,283980,165,283980
San Diego,3/16/2021,0,265903,257,265903
San Francisco,3/16/2021,0,34833,13,34833
San Joaquin,3/16/2021,0,66856,234,66856
San Luis Obispo,3/16/2021,0,19832,19,19832
San Mateo,3/16/2021,0,39806,41,39806
Santa Barbara,3/16/2021,0,32556,27,32556
Santa Clara,3/16/2021,0,112845,116,112845
Santa Cruz,3/16/2021,0,14926,27,14926
Shasta,3/16/2021,0,11035,16,11035
Sierra,3/16/2021,0,49,0,49
Siskiyou,3/16/2021,0,1477,2,1477
Solano,3/16/2021,0,30298,40,30298
Sonoma,3/16/2021,0,28850,36,28850
Stanislaus,3/16/2021,0,51410,53,51410
Sutter,3/16/2021,0,8970,8,8970
Tehama,3/16/2021,0,4660,10,4660
Trinity,3/16/2021,0,308,0,308
Tulare,3/16/2021,0,47895,38,47895
Tuolumne,3/16/2021,0,3938,1,3938
Ventura,3/16/2021,0,78671,45,78671
Yolo,3/16/2021,0,13162,31,13162
Yuba,3/16/2021,0,5596,11,5596
Alameda,3/15/2021,5,82259,43,82159
Alpine,3/15/2021,0,82,0,82
Amador,3/15/2021,0,3510,2,3506
Butte,3/15/2021,2,11154,1,11141
Calaveras,3/15/2021,0,1945,2,1941
California,3/15/2021,176,3532496,1260,3530055
Colusa,3/15/2021,0,1882,0,1883
Contra Costa,3/15/2021,13,63951,39,63847
Del Norte,3/15/2021,0,1048,0,1048
El Dorado,3/15/2021,2,9249,4,9235
Fresno,3/15/2021,8,97638,59,97520
Glenn,3/15/2021,0,2267,1,2261
Humboldt,3/15/2021,5,3351,2,3337
Imperial,3/15/2021,7,27143,0,27122
Inyo,3/15/2021,0,1346,0,1346
Kern,3/15/2021,8,93340,14,93266
Kings,3/15/2021,4,22320,2,22294
Lake,3/15/2021,0,3246,0,3237
Lassen,3/15/2021,0,5126,0,5125
Los Angeles,3/15/2021,12,1172676,345,1172445
Madera,3/15/2021,2,15822,2,15806
Marin,3/15/2021,1,13419,3,13408
Mariposa,3/15/2021,0,379,0,376
Mendocino,3/15/2021,0,3623,2,3615
Merced,3/15/2021,9,29198,20,29169
Modoc,3/15/2021,0,341,0,340
Mono,3/15/2021,1,1207,0,1206
Monterey,3/15/2021,1,42023,4,42011
Napa,3/15/2021,1,9209,2,9196
Nevada,3/15/2021,1,4132,1,4123
Orange,3/15/2021,13,247843,41,247697
Placer,3/15/2021,0,20339,20,20308
Plumas,3/15/2021,0,643,0,642
Riverside,3/15/2021,5,281540,35,281367
Sacramento,3/15/2021,2,95522,71,95414
San Benito,3/15/2021,0,5831,2,5831
San Bernardino,3/15/2021,11,283980,24,283815
San Diego,3/15/2021,15,265903,178,265646
San Francisco,3/15/2021,3,34833,10,34820
San Joaquin,3/15/2021,3,66856,59,66622
San Luis Obispo,3/15/2021,2,19832,7,19813
San Mateo,3/15/2021,4,39806,21,39765
Santa Barbara,3/15/2021,7,32556,15,32529
Santa Clara,3/15/2021,4,112845,81,112729
Santa Cruz,3/15/2021,3,14926,12,14899
Shasta,3/15/2021,1,11035,0,11019
Sierra,3/15/2021,0,49,0,49
Siskiyou,3/15/2021,0,1477,2,1475
Solano,3/15/2021,0,30298,28,30258
Sonoma,3/15/2021,4,28850,16,28814
Stanislaus,3/15/2021,4,51410,51,51357
Sutter,3/15/2021,4,8970,4,8962
Tehama,3/15/2021,0,4660,0,4650
Trinity,3/15/2021,0,308,0,308
Tulare,3/15/2021,4,47895,12,47857
Tuolumne,3/15/2021,0,3938,0,3937
Ventura,3/15/2021,0,78671,15,78626
Yolo,3/15/2021,1,13162,3,13131
Yuba,3/15/2021,3,5596,2,5585
Alameda,3/14/2021,6,82254,106,82116
Alpine,3/14/2021,0,82,0,82
Amador,3/14/2021,0,3510,0,3504
Butte,3/14/2021,3,11152,9,11140
