county,date,labor_force,employment,unemployment,unemployment_rate
Alameda ,1/1/2021,802100,743800,58300,0.073
Alpine ,1/1/2021,620,580,40,0.069
Amador ,1/1/2021,14330,13140,1190,0.083
Butte ,1/1/2021,89100,81700,7400,0.083
Calaveras ,1/1/2021,21140,19670,1460,0.069
Colusa ,1/1/2021,10210,8620,1600,0.156
Contra Costa ,1/1/2021,534600,494300,40200,0.075
Del Norte ,1/1/2021,9290,8460,830,0.09
El Dorado ,1/1/2021,91100,84800,6300,0.069
Fresno ,1/1/2021,444700,400300,44400,0.1
Glenn ,1/1/2021,12180,11210,960,0.079
Humboldt ,1/1/2021,58700,54400,4300,0.073
Imperial ,1/1/2021,65000,54300,10800,0.165
Inyo ,1/1/2021,8260,7690,570,0.069
Kern ,1/1/2021,381200,340200,41000,0.108
Kings ,1/1/2021,55800,49800,6000,0.107
Lake ,1/1/2021,28600,26070,2530,0.088
Lassen ,1/1/2021,9440,8790,650,0.069
Los Angeles ,1/1/2021,4916600,4290200,626400,0.127
Madera ,1/1/2021,62800,56800,6000,0.096
Marin ,1/1/2021,129000,122000,7000,0.054
Mariposa ,1/1/2021,6760,5940,820,0.121
Mendocino ,1/1/2021,36140,33380,2770,0.077
Merced ,1/1/2021,113900,100800,13000,0.114
Modoc ,1/1/2021,3120,2830,300,0.095
Mono ,1/1/2021,8570,7800,760,0.089
Monterey ,1/1/2021,202800,180000,22700,0.112
Napa ,1/1/2021,67500,61700,5800,0.086
Nevada ,1/1/2021,46780,43640,3150,0.067
Orange ,1/1/2021,1516800,1404800,112000,0.074
Placer ,1/1/2021,185600,174500,11100,0.06
Plumas ,1/1/2021,7080,6240,840,0.119
Riverside ,1/1/2021,1105400,1010200,95200,0.086
Sacramento ,1/1/2021,711200,653300,57900,0.081
San Benito ,1/1/2021,30700,28000,2700,0.089
San Bernardino ,1/1/2021,969400,885600,83800,0.086
San Diego ,1/1/2021,1517300,1395000,122300,0.081
San Francisco ,1/1/2021,535400,501900,33500,0.063
San Joaquin ,1/1/2021,330100,297200,33000,0.1
San Luis Obispo ,1/1/2021,131100,122300,8800,0.067
San Mateo ,1/1/2021,420000,396000,24000,0.057
Santa Barbara ,1/1/2021,210600,194300,16200,0.077
Santa Clara ,1/1/2021,1004700,947300,57400,0.057
Santa Cruz ,1/1/2021,128500,117500,11000,0.086
Shasta ,1/1/2021,73900,68100,5800,0.079
Sierra ,1/1/2021,1260,1160,90,0.074
Siskiyou ,1/1/2021,16450,14850,1600,0.097
Solano ,1/1/2021,201200,183900,17400,0.086
Sonoma ,1/1/2021,234000,217300,16700,0.071
Stanislaus ,1/1/2021,238600,216300,22300,0.093
Sutter ,1/1/2021,43300,38900,4400,0.102
Tehama ,1/1/2021,25210,23190,2030,0.08
Trinity ,1/1/2021,4400,4060,340,0.077
Tulare ,1/1/2021,194700,172700,22100,0.113
Tuolumne ,1/1/2021,19750,17960,1790,0.091
Ventura ,1/1/2021,401900,372000,29900,0.074
Yolo ,1/1/2021,105500,98200,7300,0.07
Yuba ,1/1/2021,29200,26200,2900,0.101
Alameda ,12/1/2020,806800,746400,60400,0.075
Alpine ,12/1/2020,600,550,50,0.077
Amador ,12/1/2020,14230,13080,1150,0.081
Butte ,12/1/2020,89700,82400,7300,0.081
Calaveras ,12/1/2020,21200,19760,1440,0.068
Colusa ,12/1/2020,10280,8840,1440,0.14
Contra Costa ,12/1/2020,537200,495800,41400,0.077
Del Norte ,12/1/2020,9180,8360,820,0.09
El Dorado ,12/1/2020,90500,84300,6100,0.068
Fresno ,12/1/2020,445200,400900,44400,0.1
Glenn ,12/1/2020,12230,11300,930,0.076
Humboldt ,12/1/2020,58900,54500,4400,0.074
Imperial ,12/1/2020,65500,54000,11500,0.175
Inyo ,12/1/2020,8180,7630,550,0.067
Kern ,12/1/2020,379400,338500,40900,0.108
Kings ,12/1/2020,55500,49600,5900,0.106
Lake ,12/1/2020,28060,25590,2470,0.088
Lassen ,12/1/2020,9310,8680,630,0.067
Los Angeles ,12/1/2020,4868000,4270600,597400,0.123
Madera ,12/1/2020,62100,56200,5800,0.094
Marin ,12/1/2020,128200,121100,7100,0.056
Mariposa ,12/1/2020,6560,5850,710,0.108
Mendocino ,12/1/2020,36220,33410,2810,0.077
Merced ,12/1/2020,113700,101100,12500,0.11
Modoc ,12/1/2020,3110,2850,260,0.083
Mono ,12/1/2020,7870,7150,710,0.091
Monterey ,12/1/2020,202000,181300,20700,0.103
Napa ,12/1/2020,66100,61100,5000,0.075
Nevada ,12/1/2020,46600,43490,3110,0.067
Orange ,12/1/2020,1542500,1427800,114700,0.074
Placer ,12/1/2020,184700,173600,11100,0.06
Plumas ,12/1/2020,7160,6410,750,0.104
Riverside ,12/1/2020,1116200,1019600,96600,0.087
Sacramento ,12/1/2020,708900,650100,58800,0.083
San Benito ,12/1/2020,30700,28100,2600,0.085
San Bernardino ,12/1/2020,981200,894700,86600,0.088
San Diego ,12/1/2020,1535100,1412500,122700,0.08
San Francisco ,12/1/2020,541600,506700,34900,0.064
San Joaquin ,12/1/2020,332700,299400,33400,0.1
San Luis Obispo ,12/1/2020,128500,120000,8600,0.067
San Mateo ,12/1/2020,424400,399700,24700,0.058
Santa Barbara ,12/1/2020,213100,197600,15500,0.073
Santa Clara ,12/1/2020,1010500,950900,59600,0.059
Santa Cruz ,12/1/2020,128500,118000,10400,0.081
Shasta ,12/1/2020,72600,67000,5700,0.078
Sierra ,12/1/2020,1270,1180,90,0.07
Siskiyou ,12/1/2020,16470,14910,1570,0.095
Solano ,12/1/2020,202800,185300,17500,0.086
Sonoma ,12/1/2020,236300,220700,15600,0.066
Stanislaus ,12/1/2020,239500,217000,22500,0.094
Sutter ,12/1/2020,43800,39500,4400,0.099
Tehama ,12/1/2020,25180,23160,2020,0.08
Trinity ,12/1/2020,4460,4120,340,0.076
Tulare ,12/1/2020,191300,169300,21900,0.115
Tuolumne ,12/1/2020,19860,18070,1800,0.09
Ventura ,12/1/2020,404500,374600,29900,0.074
Yolo ,12/1/2020,105000,97800,7200,0.068
Yuba ,12/1/2020,29500,26600,2900,0.098
Alameda ,11/1/2020,801300,746600,54700,0.068
Alpine ,11/1/2020,490,460,40,0.075
Amador ,11/1/2020,14180,13200,990,0.069
Butte ,11/1/2020,90300,84100,6200,0.069
Calaveras ,11/1/2020,20940,19770,1180,0.056
Colusa ,11/1/2020,10200,9170,1030,0.101
Contra Costa ,11/1/2020,532900,496100,36800,0.069
Del Norte ,11/1/2020,9120,8430,690,0.076
El Dorado ,11/1/2020,89900,84800,5100,0.057
Fresno ,11/1/2020,439400,402200,37300,0.085
Glenn ,11/1/2020,12170,11420,750,0.062
Humboldt ,11/1/2020,58700,55100,3600,0.062
Imperial ,11/1/2020,64800,54200,10600,0.164
Inyo ,11/1/2020,8180,7710,470,0.058
Kern ,11/1/2020,379600,345200,34400,0.09
Kings ,11/1/2020,54300,49500,4800,0.088
Lake ,11/1/2020,27810,25760,2050,0.074
Lassen ,11/1/2020,9870,9380,490,0.05
Los Angeles ,11/1/2020,4931400,4342400,589000,0.119
Madera ,11/1/2020,60400,55600,4800,0.079
Marin ,11/1/2020,128800,122500,6300,0.049
Mariposa ,11/1/2020,6610,6060,550,0.084
Mendocino ,11/1/2020,35950,33530,2420,0.067
Merced ,11/1/2020,113000,103000,10000,0.089
Modoc ,11/1/2020,3160,2970,190,0.059
Mono ,11/1/2020,7220,6630,590,0.081
Monterey ,11/1/2020,205800,191500,14300,0.07
Napa ,11/1/2020,66100,61800,4300,0.064
Nevada ,11/1/2020,45650,43040,2610,0.057
Orange ,11/1/2020,1535600,1434800,100800,0.066
Placer ,11/1/2020,184100,174500,9600,0.052
Plumas ,11/1/2020,7160,6630,530,0.074
Riverside ,11/1/2020,1106600,1021500,85100,0.077
Sacramento ,11/1/2020,705200,653600,51600,0.073
San Benito ,11/1/2020,30700,28600,2100,0.069
San Bernardino ,11/1/2020,972600,896200,76400,0.079
San Diego ,11/1/2020,1524000,1419700,104300,0.068
San Francisco ,11/1/2020,541000,509000,32000,0.059
San Joaquin ,11/1/2020,330700,302000,28700,0.087
San Luis Obispo ,11/1/2020,131200,124100,7100,0.054
San Mateo ,11/1/2020,424000,401600,22400,0.053
Santa Barbara ,11/1/2020,215800,203500,12300,0.057
Santa Clara ,11/1/2020,1009900,957200,52700,0.052
Santa Cruz ,11/1/2020,129300,120800,8600,0.066
Shasta ,11/1/2020,72400,67700,4700,0.065
Sierra ,11/1/2020,1290,1220,70,0.051
Siskiyou ,11/1/2020,16810,15670,1150,0.068
Solano ,11/1/2020,201200,186000,15200,0.075
Sonoma ,11/1/2020,239000,225300,13700,0.057
Stanislaus ,11/1/2020,237900,218700,19200,0.081
Sutter ,11/1/2020,43700,40200,3500,0.08
Tehama ,11/1/2020,25360,23700,1660,0.066
Trinity ,11/1/2020,4470,4210,250,0.057
Tulare ,11/1/2020,192100,173600,18500,0.096
Tuolumne ,11/1/2020,19620,18180,1440,0.074
Ventura ,11/1/2020,403600,377900,25700,0.064
Yolo ,11/1/2020,104500,98400,6000,0.058
Yuba ,11/1/2020,29400,27000,2400,0.083
Alameda ,10/1/2020,812800,744300,68500,0.084
Alpine ,10/1/2020,460,410,50,0.103
Amador ,10/1/2020,14540,13380,1160,0.08
Butte ,10/1/2020,92200,84800,7300,0.08
Calaveras ,10/1/2020,21370,19950,1420,0.066
Colusa ,10/1/2020,10610,9630,970,0.092
Contra Costa ,10/1/2020,540500,494900,45600,0.084
Del Norte ,10/1/2020,9400,8620,780,0.083
El Dorado ,10/1/2020,91100,85000,6100,0.067
Fresno ,10/1/2020,444000,401000,43100,0.097
Glenn ,10/1/2020,12640,11780,860,0.068
Humboldt ,10/1/2020,59600,55200,4300,0.073
Imperial ,10/1/2020,67100,53700,13400,0.2
Inyo ,10/1/2020,8290,7720,570,0.068
Kern ,10/1/2020,388700,347500,41200,0.106
Kings ,10/1/2020,55500,50100,5400,0.098
Lake ,10/1/2020,28590,26220,2370,0.083
Lassen ,10/1/2020,10040,9500,550,0.054
Los Angeles ,10/1/2020,4945600,4354200,591400,0.12
Madera ,10/1/2020,61000,55600,5400,0.089
Marin ,10/1/2020,131000,123200,7800,0.06
Mariposa ,10/1/2020,6990,6370,610,0.088
Mendocino ,10/1/2020,37000,34110,2880,0.078
Merced ,10/1/2020,115800,104600,11200,0.097
Modoc ,10/1/2020,3320,3120,200,0.059
Mono ,10/1/2020,7420,6670,750,0.102
Monterey ,10/1/2020,213600,197700,15900,0.074
Napa ,10/1/2020,68900,63800,5100,0.074
Nevada ,10/1/2020,46610,43450,3160,0.068
Orange ,10/1/2020,1554900,1427400,127500,0.082
Placer ,10/1/2020,186300,174600,11700,0.063
Plumas ,10/1/2020,7630,7050,570,0.075
Riverside ,10/1/2020,1121000,1016400,104600,0.093
Sacramento ,10/1/2020,716900,653800,63100,0.088
San Benito ,10/1/2020,31200,28700,2500,0.079
San Bernardino ,10/1/2020,984400,891500,92900,0.094
San Diego ,10/1/2020,1541800,1412100,129600,0.084
San Francisco ,10/1/2020,550300,508700,41600,0.076
San Joaquin ,10/1/2020,335500,301500,34100,0.102
San Luis Obispo ,10/1/2020,133300,124700,8600,0.064
San Mateo ,10/1/2020,429600,401400,28200,0.066
Santa Barbara ,10/1/2020,219300,204800,14500,0.066
Santa Clara ,10/1/2020,1019000,953500,65500,0.064
Santa Cruz ,10/1/2020,133100,123200,9900,0.074
Shasta ,10/1/2020,74200,68700,5400,0.073
Sierra ,10/1/2020,1330,1260,80,0.056
Siskiyou ,10/1/2020,17320,16060,1260,0.073
Solano ,10/1/2020,204600,186200,18400,0.09
Sonoma ,10/1/2020,244300,227500,16800,0.069
