date,confirmed_patients,suspected_patients,total_covid_patients
2020-03-29,1,6,7
2020-03-29,0,0,0
2020-03-29,7,20,27
2020-03-29,6,13,19
2020-03-29,33,123,156
2020-03-29,2,12,14
2020-03-29,0,0,0
2020-03-29,46,27,73
2020-03-29,0,0,0
2020-03-29,1,5,6
2020-03-29,0,6,6
2020-03-29,0,0,0
2020-03-29,121,211,332
2020-03-29,489,1132,1621
2020-03-29,0,0,0
2020-03-29,0,0,0
2020-03-29,1,7,8
2020-03-29,7,12,19
2020-03-29,0,2,2
2020-03-29,20,48,68
2020-03-29,44,78,122
2020-03-29,141,72,213
2020-03-29,1,11,12
2020-03-29,0,0,0
2020-03-29,1,2,3
2020-03-29,18,14,32
2020-03-29,0,0,0
2020-03-29,36,91,127
2020-03-29,74,167,241
2020-03-29,34,35,69
2020-03-29,2,5,7
2020-03-29,0,1,1
2020-03-29,1,0,1
2020-03-29,36,27,63
2020-03-29,1,10,11
2020-03-29,2,16,18
2020-03-29,5,100,105
2020-03-29,8,116,124
2020-03-29,7,27,34
2020-03-29,0,0,0
2020-03-29,7,13,20
2020-03-29,1,1,2
2020-03-29,15,21,36
2020-03-29,0,26,26
2020-03-29,16,57,73
2020-03-29,23,0,0
2020-03-29,0,0,0
2020-03-29,0,1,1
2020-03-29,23,62,85
2020-03-29,2,3,5
2020-03-29,24,85,109
2020-03-29,0,0,0
2020-03-29,50,73,123
2020-03-29,0,0,0
2020-03-29,0,1,1
2020-03-30,0,4,4
2020-03-30,0,31,31
2020-03-30,146,446,592
2020-03-30,2,2,4
2020-03-30,67,179,246
2020-03-30,1,4,5
2020-03-30,98,251,349
2020-03-30,4,12,16
2020-03-30,5,11,16
2020-03-30,0,0,0
2020-03-30,19,19,38
2020-03-30,19,109,128
2020-03-30,10,9,19
2020-03-30,26,17,43
2020-03-30,0,0,0
2020-03-30,1,9,10
2020-03-30,0,0,0
2020-03-30,0,1,1
2020-03-30,5,21,26
2020-03-30,11,16,27
2020-03-30,153,93,246
2020-03-30,18,123,141
2020-03-30,0,1,1
2020-03-30,0,2,2
2020-03-30,59,89,148
2020-03-30,2,12,14
2020-03-30,58,92,150
2020-03-30,60,133,193
2020-03-30,17,51,68
2020-03-30,601,1277,1878
2020-03-30,3,8,11
2020-03-30,0,1,1
2020-03-30,3,17,20
2020-03-30,2,11,13
2020-03-30,25,82,107
2020-03-30,28,30,58
2020-03-30,19,25,44
2020-03-30,7,22,29
2020-03-30,0,1,1
2020-03-30,0,3,3
2020-03-30,1,8,9
2020-03-30,0,1,1
2020-03-30,1,5,6
2020-03-30,1,2,3
2020-03-30,15,16,31
2020-03-30,0,9,9
2020-03-30,10,88,98
2020-03-30,25,54,79
2020-03-30,0,2,2
2020-03-30,0,0,0
2020-03-30,1,1,2
2020-03-30,45,86,131
2020-03-30,0,0,0
2020-03-30,56,40,96
2020-03-30,0,2,2
2020-03-31,1,3,4
2020-03-31,15,15,30
2020-03-31,53,110,163
2020-03-31,8,18,26
2020-03-31,14,63,77
2020-03-31,19,29,48
2020-03-31,158,408,566
2020-03-31,20,31,51
2020-03-31,30,274,304
2020-03-31,0,0,0
2020-03-31,0,0,0
2020-03-31,36,40,76
2020-03-31,27,54,81
2020-03-31,0,1,1
2020-03-31,18,27,45
2020-03-31,10,9,19
2020-03-31,0,0,0
2020-03-31,0,1,1
2020-03-31,0,1,1
2020-03-31,12,100,112
2020-03-31,44,54,98
2020-03-31,0,0,0
2020-03-31,67,69,136
2020-03-31,713,1239,1952
2020-03-31,60,23,83
2020-03-31,6,14,20
2020-03-31,3,11,14
2020-03-31,4,20,24
2020-03-31,9,14,23
2020-03-31,155,98,253
2020-03-31,0,0,0
2020-03-31,7,15,22
2020-03-31,1,5,6
2020-03-31,0,0,0
2020-03-31,0,7,7
2020-03-31,1,5,6
2020-03-31,56,94,150
2020-03-31,82,231,313
2020-03-31,0,37,37
2020-03-31,21,90,111
2020-03-31,80,155,235
2020-03-31,0,4,4
2020-03-31,1,0,1
2020-03-31,0,83,0
2020-03-31,0,1,1
2020-03-31,1,10,11
2020-03-31,1,11,12
2020-03-31,3,2,5
2020-03-31,105,233,338
2020-03-31,11,15,26
2020-03-31,0,2,2
2020-03-31,1,3,4
2020-03-31,0,19,19
2020-03-31,2,21,23
2020-03-31,0,4,4
2020-04-01,0,1,1
2020-04-01,25,28,53
2020-04-01,4,15,19
2020-04-01,1,3,4
2020-04-01,0,7,7
2020-04-01,2,2,4
2020-04-01,0,5,5
2020-04-01,2,0,2
2020-04-01,0,1,1
2020-04-01,95,196,291
2020-04-01,25,39,64
2020-04-01,0,3,3
2020-04-01,2,6,8
2020-04-01,7,89,96
2020-04-01,0,0,0
2020-04-01,0,1,1
2020-04-01,0,0,0
2020-04-01,0,2,2
2020-04-01,1,4,5
2020-04-01,0,5,5
2020-04-01,1,9,10
2020-04-01,4,12,16
2020-04-01,739,1332,2071
2020-04-01,0,0,0
2020-04-01,168,340,508
2020-04-01,117,221,338
2020-04-01,31,42,73
2020-04-01,0,1,1
2020-04-01,85,182,267
2020-04-01,14,8,22
2020-04-01,57,35,92
2020-04-01,15,45,60
2020-04-01,67,66,133
2020-04-01,0,0,0
2020-04-01,0,0,0
2020-04-01,9,19,28
2020-04-01,3,15,18
2020-04-01,5,33,38
2020-04-01,8,10,18
2020-04-01,3,3,6
2020-04-01,23,23,46
2020-04-01,22,96,118
2020-04-01,5,18,23
2020-04-01,0,0,0
2020-04-01,52,76,128
2020-04-01,2,12,14
2020-04-01,13,16,29
2020-04-01,2,24,26
2020-04-01,160,85,245
2020-04-01,36,54,90
2020-04-01,14,18,32
2020-04-01,53,138,191
2020-04-01,0,0,0
2020-04-01,25,35,60
2020-04-01,0,2,2
2020-04-01,19,101,120
2020-04-02,32,15,47
2020-04-02,15,8,23
2020-04-02,17,74,91
2020-04-02,7,16,23
2020-04-02,136,181,317
2020-04-02,26,44,70
2020-04-02,0,1,1
2020-04-02,0,1,1
2020-04-02,0,0,0
2020-04-02,0,7,7
2020-04-02,1,4,5
2020-04-02,818,1270,2088
2020-04-02,1,8,9
2020-04-02,163,101,264
2020-04-02,62,40,102
2020-04-02,0,3,3
2020-04-02,0,0,0
2020-04-02,71,92,163
2020-04-02,18,2,20
2020-04-02,0,3,3
2020-04-02,1,7,8
2020-04-02,0,0,0
2020-04-02,75,60,135
2020-04-02,15,12,27
2020-04-02,0,1,1
2020-04-02,4,26,30
2020-04-02,0,0,0
2020-04-02,57,76,133
2020-04-02,5,5,10
2020-04-02,0,1,1
2020-04-02,32,38,70
2020-04-02,0,1,1
2020-04-02,3,2,5
2020-04-02,14,14,28
2020-04-02,27,111,138
2020-04-02,4,26,30
2020-04-02,4,16,20
2020-04-02,8,18,26
2020-04-02,4,4,8
2020-04-02,8,102,110
2020-04-02,0,3,3
2020-04-02,2,25,27
2020-04-02,144,343,487
2020-04-02,129,225,354
2020-04-02,2,0,2
2020-04-02,2,4,6
2020-04-02,126,185,311
2020-04-02,4,5,9
2020-04-02,2,6,8
2020-04-02,0,0,0
2020-04-02,27,77,104
2020-04-02,30,43,73
2020-04-02,0,1,1
2020-04-02,38,58,96
2020-04-02,0,1,1
2020-04-02,42,42,84
2020-04-03,6,15,21
2020-04-03,0,0,0
2020-04-03,0,3,3
2020-04-03,0,0,0
2020-04-03,0,5,5
2020-04-03,164,83,247
2020-04-03,31,39,70
2020-04-03,0,5,5
2020-04-03,1,7,8
2020-04-03,65,39,104
2020-04-03,28,45,73
2020-04-03,131,182,313
2020-04-03,22,116,138
2020-04-03,15,81,96
2020-04-03,0,2,2
2020-04-03,1,9,10
2020-04-03,118,204,322
2020-04-03,2,12,14
2020-04-03,0,0,0
2020-04-03,962,1239,2201
2020-04-03,3,19,22
2020-04-03,8,102,110
2020-04-03,35,73,108
2020-04-03,0,0,0
2020-04-03,16,21,37
2020-04-03,77,76,153
2020-04-03,4,8,12
2020-04-03,64,74,138
2020-04-03,21,23,44
2020-04-03,0,3,3
2020-04-03,9,7,16
2020-04-03,0,2,2
