county,date,total_doses
Stanislaus,3/16/2021,2
Alameda,3/15/2021,6028
Alpine,3/15/2021,19
Amador,3/15/2021,15
Butte,3/15/2021,881
Calaveras,3/15/2021,46
Colusa,3/15/2021,25
Contra Costa,3/15/2021,2993
Del Norte,3/15/2021,30
El Dorado,3/15/2021,168
Fresno,3/15/2021,1892
Glenn,3/15/2021,36
Humboldt,3/15/2021,53
Imperial,3/15/2021,107
Inyo,3/15/2021,35
Kern,3/15/2021,2149
Kings,3/15/2021,215
Lake,3/15/2021,23
Lassen,3/15/2021,20
Los Angeles,3/15/2021,29850
Madera,3/15/2021,303
Marin,3/15/2021,1109
Mariposa,3/15/2021,24
Mendocino,3/15/2021,30
Merced,3/15/2021,523
Modoc,3/15/2021,9
Mono,3/15/2021,1
Monterey,3/15/2021,1353
Napa,3/15/2021,278
Nevada,3/15/2021,223
Orange,3/15/2021,11660
Placer,3/15/2021,594
Plumas,3/15/2021,9
Riverside,3/15/2021,10840
Sacramento,3/15/2021,2415
San Benito,3/15/2021,142
San Bernardino,3/15/2021,5083
San Diego,3/15/2021,7368
San Francisco,3/15/2021,6248
San Joaquin,3/15/2021,1633
San Luis Obispo,3/15/2021,1799
San Mateo,3/15/2021,2381
Santa Barbara,3/15/2021,1036
Santa Clara,3/15/2021,6316
Santa Cruz,3/15/2021,404
Shasta,3/15/2021,102
Siskiyou,3/15/2021,302
Solano,3/15/2021,596
Sonoma,3/15/2021,1478
Stanislaus,3/15/2021,1817
Sutter,3/15/2021,85
Tehama,3/15/2021,61
Trinity,3/15/2021,1
Tulare,3/15/2021,1226
Tuolumne,3/15/2021,80
Ventura,3/15/2021,1216
Yolo,3/15/2021,409
Yuba,3/15/2021,33
Alameda,3/14/2021,9641
Amador,3/14/2021,59
Butte,3/14/2021,112
Calaveras,3/14/2021,84
Colusa,3/14/2021,11
Contra Costa,3/14/2021,3736
Del Norte,3/14/2021,1
El Dorado,3/14/2021,546
Fresno,3/14/2021,1088
Glenn,3/14/2021,3
Humboldt,3/14/2021,83
Imperial,3/14/2021,137
Inyo,3/14/2021,430
Kern,3/14/2021,1770
Kings,3/14/2021,141
Lake,3/14/2021,11
Lassen,3/14/2021,7
Los Angeles,3/14/2021,29238
Madera,3/14/2021,109
Marin,3/14/2021,2012
Mariposa,3/14/2021,14
Mendocino,3/14/2021,61
Merced,3/14/2021,160
Modoc,3/14/2021,1
Mono,3/14/2021,4
Monterey,3/14/2021,515
Napa,3/14/2021,386
Nevada,3/14/2021,93
Orange,3/14/2021,15702
Placer,3/14/2021,1147
Plumas,3/14/2021,11
Riverside,3/14/2021,3022
Sacramento,3/14/2021,4633
San Benito,3/14/2021,75
San Bernardino,3/14/2021,1971
San Diego,3/14/2021,10692
San Francisco,3/14/2021,7132
San Joaquin,3/14/2021,1565
San Luis Obispo,3/14/2021,320
San Mateo,3/14/2021,4393
Santa Barbara,3/14/2021,433
Santa Clara,3/14/2021,4529
Santa Cruz,3/14/2021,631
Shasta,3/14/2021,179
Siskiyou,3/14/2021,17
Solano,3/14/2021,991
Sonoma,3/14/2021,997
Stanislaus,3/14/2021,685
Sutter,3/14/2021,74
Tehama,3/14/2021,25
Tulare,3/14/2021,1548
Tuolumne,3/14/2021,81
Ventura,3/14/2021,1164
Yolo,3/14/2021,490
Yuba,3/14/2021,66
Alameda,3/13/2021,12046
Amador,3/13/2021,63
Butte,3/13/2021,146
Calaveras,3/13/2021,85
