county,date,total_doses
Stanislaus,2021-03-16,2
Alameda,2021-03-15,6028
Alpine,2021-03-15,19
Amador,2021-03-15,15
Butte,2021-03-15,881
Calaveras,2021-03-15,46
Colusa,2021-03-15,25
Contra Costa,2021-03-15,2993
Del Norte,2021-03-15,30
El Dorado,2021-03-15,168
Fresno,2021-03-15,1892
Glenn,2021-03-15,36
Humboldt,2021-03-15,53
Imperial,2021-03-15,107
Inyo,2021-03-15,35
Kern,2021-03-15,2149
Kings,2021-03-15,215
Lake,2021-03-15,23
Lassen,2021-03-15,20
Los Angeles,2021-03-15,29850
Madera,2021-03-15,303
Marin,2021-03-15,1109
Mariposa,2021-03-15,24
Mendocino,2021-03-15,30
Merced,2021-03-15,523
Modoc,2021-03-15,9
Mono,2021-03-15,1
Monterey,2021-03-15,1353
Napa,2021-03-15,278
Nevada,2021-03-15,223
Orange,2021-03-15,11660
Placer,2021-03-15,594
Plumas,2021-03-15,9
Riverside,2021-03-15,10840
Sacramento,2021-03-15,2415
San Benito,2021-03-15,142
San Bernardino,2021-03-15,5083
San Diego,2021-03-15,7368
San Francisco,2021-03-15,6248
San Joaquin,2021-03-15,1633
San Luis Obispo,2021-03-15,1799
San Mateo,2021-03-15,2381
Santa Barbara,2021-03-15,1036
Santa Clara,2021-03-15,6316
Santa Cruz,2021-03-15,404
Shasta,2021-03-15,102
Siskiyou,2021-03-15,302
Solano,2021-03-15,596
Sonoma,2021-03-15,1478
Stanislaus,2021-03-15,1817
Sutter,2021-03-15,85
Tehama,2021-03-15,61
Trinity,2021-03-15,1
Tulare,2021-03-15,1226
Tuolumne,2021-03-15,80
Ventura,2021-03-15,1216
Yolo,2021-03-15,409
Yuba,2021-03-15,33
Alameda,2021-03-14,9641
Amador,2021-03-14,59
Butte,2021-03-14,112
Calaveras,2021-03-14,84
Colusa,2021-03-14,11
Contra Costa,2021-03-14,3736
Del Norte,2021-03-14,1
El Dorado,2021-03-14,546
Fresno,2021-03-14,1088
Glenn,2021-03-14,3
Humboldt,2021-03-14,83
Imperial,2021-03-14,137
Inyo,2021-03-14,430
Kern,2021-03-14,1770
Kings,2021-03-14,141
Lake,2021-03-14,11
Lassen,2021-03-14,7
Los Angeles,2021-03-14,29238
Madera,2021-03-14,109
Marin,2021-03-14,2012
Mariposa,2021-03-14,14
Mendocino,2021-03-14,61
Merced,2021-03-14,160
Modoc,2021-03-14,1
Mono,2021-03-14,4
Monterey,2021-03-14,515
Napa,2021-03-14,386
Nevada,2021-03-14,93
Orange,2021-03-14,15702
Placer,2021-03-14,1147
Plumas,2021-03-14,11
Riverside,2021-03-14,3022
Sacramento,2021-03-14,4633
San Benito,2021-03-14,75
San Bernardino,2021-03-14,1971
San Diego,2021-03-14,10692
