date,confirmed_patients,suspected_patients,all_hospital_beds,icu_covid_confirmed,icu_covid_suspected,icu_available_beds,total_covid_patients
2020-03-29,1,6,0,1,1,8,7
2020-03-29,0,0,0,0,0,0,0
2020-03-29,7,20,0,2,5,12,27
2020-03-29,6,13,0,5,3,7,19
2020-03-29,33,123,0,19,20,65,156
2020-03-29,2,12,0,2,4,2,14
2020-03-29,0,0,0,0,0,2,0
2020-03-29,46,27,0,16,10,28,73
2020-03-29,0,0,0,0,0,0,0
2020-03-29,1,5,0,0,0,0,6
2020-03-29,0,6,0,0,3,3,6
2020-03-29,0,0,0,0,0,0,0
2020-03-29,121,211,0,77,39,205,332
2020-03-29,489,1132,0,191,182,345,1621
2020-03-29,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-29,1,7,0,0,0,3,8
2020-03-29,7,12,0,3,4,948,19
2020-03-29,0,2,0,0,0,0,2
2020-03-29,20,48,0,9,8,25,68
2020-03-29,44,78,0,13,20,46,122
2020-03-29,141,72,0,65,15,70,213
2020-03-29,1,11,0,0,0,1,12
2020-03-29,0,0,0,0,0,0,0
2020-03-29,1,2,0,0,0,3,3
2020-03-29,18,14,0,4,1,10,32
2020-03-29,0,0,0,0,0,2,0
2020-03-29,36,91,0,20,16,119,127
2020-03-29,74,167,0,31,40,131,241
2020-03-29,34,35,0,5,2,7,69
2020-03-29,2,5,0,1,0,2,7
2020-03-29,0,1,0,0,0,2,1
2020-03-29,1,0,0,0,0,2,1
2020-03-29,36,27,0,12,18,50,63
2020-03-29,1,10,0,0,0,18,11
2020-03-29,2,16,0,1,2,10,18
2020-03-29,5,100,0,1,2,2,105
2020-03-29,8,116,0,3,14,22,124
2020-03-29,7,27,0,4,1,28,34
2020-03-29,0,0,0,0,0,0,0
2020-03-29,7,13,0,2,6,11,20
2020-03-29,1,1,0,1,0,1,2
2020-03-29,15,21,0,9,3,47,36
2020-03-29,0,26,0,0,0,5,26
2020-03-29,16,57,0,8,8,39,73
2020-03-29,23,0,0,1,0,3,0
2020-03-29,0,0,0,0,0,0,0
2020-03-29,0,1,0,0,1,0,1
2020-03-29,23,62,0,8,15,62,85
2020-03-29,2,3,0,1,1,0,5
2020-03-29,24,85,0,5,19,14,109
2020-03-29,0,0,0,0,0,0,0
2020-03-29,50,73,0,24,10,61,123
2020-03-29,0,0,0,0,0,0,0
2020-03-29,0,1,0,0,1,2,1
2020-03-30,0,4,0,0,0,0,4
2020-03-30,0,31,0,0,0,0,31
2020-03-30,146,446,0,72,23,228,592
2020-03-30,2,2,0,1,2,0,4
2020-03-30,67,179,0,27,33,66,246
2020-03-30,1,4,0,0,0,13,5
2020-03-30,98,251,0,42,58,131,349
2020-03-30,4,12,0,2,1,5,16
2020-03-30,5,11,0,3,4,957,16
2020-03-30,0,0,0,0,0,0,0
2020-03-30,19,19,0,5,1,29,38
2020-03-30,19,109,0,3,3,4,128
2020-03-30,10,9,0,4,2,16,19
2020-03-30,26,17,0,2,5,3,43
2020-03-30,0,0,0,0,0,0,0
2020-03-30,1,9,0,0,2,11,10
2020-03-30,0,0,0,0,0,3,0
2020-03-30,0,1,0,0,0,2,1
2020-03-30,5,21,0,4,6,7,26
2020-03-30,11,16,0,4,0,17,27
2020-03-30,153,93,0,74,23,103,246
2020-03-30,18,123,0,6,8,51,141
2020-03-30,0,1,0,0,1,5,1
2020-03-30,0,2,0,0,0,4,2
2020-03-30,59,89,0,27,18,146,148
2020-03-30,2,12,0,1,2,0,14
2020-03-30,58,92,0,18,7,90,150
2020-03-30,60,133,0,22,33,77,193
2020-03-30,17,51,0,9,5,29,68
2020-03-30,601,1277,0,245,244,456,1878
2020-03-30,3,8,0,1,0,9,11
2020-03-30,0,1,0,0,1,3,1
2020-03-30,3,17,0,2,4,10,20
2020-03-30,2,11,0,0,1,8,13
2020-03-30,25,82,0,5,28,15,107
2020-03-30,28,30,0,8,4,53,58
2020-03-30,19,25,0,11,7,48,44
2020-03-30,7,22,0,3,4,29,29
2020-03-30,0,1,0,0,0,0,1
2020-03-30,0,3,0,0,1,5,3
2020-03-30,1,8,0,0,0,10,9
2020-03-30,0,1,0,0,0,4,1
2020-03-30,1,5,0,1,3,4,6
2020-03-30,1,2,0,0,0,3,3
2020-03-30,15,16,0,6,0,47,31
2020-03-30,0,9,0,0,6,9,9
2020-03-30,10,88,0,3,14,24,98
2020-03-30,25,54,0,11,6,90,79
2020-03-30,0,2,0,0,0,5,2
2020-03-30,0,0,0,0,0,0,0
2020-03-30,1,1,0,1,0,1,2
2020-03-30,45,86,0,21,23,58,131
2020-03-30,0,0,0,0,0,0,0
2020-03-30,56,40,0,18,11,47,96
2020-03-30,0,2,0,0,0,2,2
2020-03-31,1,3,0,1,2,4,4
2020-03-31,15,15,0,6,5,42,30
2020-03-31,53,110,0,20,31,66,163
2020-03-31,8,18,0,3,3,21,26
2020-03-31,14,63,0,6,6,46,77
2020-03-31,19,29,0,14,7,48,48
2020-03-31,158,408,0,75,39,208,566
2020-03-31,20,31,0,9,1,34,51
2020-03-31,30,274,0,4,19,23,304
2020-03-31,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0
2020-03-31,36,40,0,2,1,6,76
2020-03-31,27,54,0,11,10,68,81
2020-03-31,0,1,0,0,0,7,1
2020-03-31,18,27,0,6,0,28,45
2020-03-31,10,9,0,0,6,12,19
2020-03-31,0,0,0,0,0,4,0
2020-03-31,0,1,0,0,0,4,1
2020-03-31,0,1,0,0,1,5,1
2020-03-31,12,100,0,3,4,4,112
2020-03-31,44,54,0,14,5,28,98
2020-03-31,0,0,0,0,0,4,0
2020-03-31,67,69,0,30,14,77,136
2020-03-31,713,1239,0,315,239,445,1952
2020-03-31,60,23,0,18,5,37,83
2020-03-31,6,14,0,4,5,9,20
2020-03-31,3,11,0,0,2,10,14
2020-03-31,4,20,0,2,3,2,24
2020-03-31,9,14,0,4,2,15,23
2020-03-31,155,98,0,73,17,92,253
2020-03-31,0,0,0,0,0,0,0
2020-03-31,7,15,0,3,6,955,22
2020-03-31,1,5,0,1,0,4,6
2020-03-31,0,0,0,0,0,0,0
2020-03-31,0,7,0,0,0,0,7
2020-03-31,1,5,0,1,1,12,6
2020-03-31,56,94,0,27,17,77,150
2020-03-31,82,231,0,33,48,63,313
2020-03-31,0,37,0,0,0,4,37
2020-03-31,21,90,0,5,24,12,111
2020-03-31,80,155,0,28,59,75,235
2020-03-31,0,4,0,0,0,3,4
2020-03-31,1,0,0,1,0,1,1
2020-03-31,0,83,0,0,0,6,0
2020-03-31,0,1,0,0,0,2,1
2020-03-31,1,10,0,1,2,7,11
2020-03-31,1,11,0,0,4,8,12
2020-03-31,3,2,0,2,2,1,5
2020-03-31,105,233,0,45,44,131,338
2020-03-31,11,15,0,4,2,17,26
2020-03-31,0,2,0,0,0,4,2
2020-03-31,1,3,0,1,0,5,4
2020-03-31,0,19,0,0,0,0,19
2020-03-31,2,21,0,2,4,6,23
2020-03-31,0,4,0,0,2,3,4
2020-04-01,0,1,0,0,1,4,1
2020-04-01,25,28,0,6,2,7,53
2020-04-01,4,15,0,3,4,7,19
2020-04-01,1,3,0,1,0,4,4
2020-04-01,0,7,0,0,0,0,7
2020-04-01,2,2,0,0,1,9,4
2020-04-01,0,5,0,0,2,3,5
2020-04-01,2,0,0,2,0,0,2
2020-04-01,0,1,0,0,1,5,1
2020-04-01,95,196,0,39,52,34,291
2020-04-01,25,39,0,10,6,31,64
2020-04-01,0,3,0,0,0,2,3
2020-04-01,2,6,0,1,2,1,8
2020-04-01,7,89,0,0,0,6,96
2020-04-01,0,0,0,0,0,0,0
2020-04-01,0,1,0,0,0,5,1
2020-04-01,0,0,0,0,0,0,0
2020-04-01,0,2,0,0,0,2,2
2020-04-01,1,4,0,0,1,13,5
2020-04-01,0,5,0,0,0,3,5
2020-04-01,1,9,0,0,3,7,10
2020-04-01,4,12,0,3,4,9,16
2020-04-01,739,1332,0,335,220,492,2071
2020-04-01,0,0,0,0,0,0,0
2020-04-01,168,340,0,71,32,215,508
2020-04-01,117,221,0,50,48,118,338
2020-04-01,31,42,0,12,12,61,73
2020-04-01,0,1,0,0,0,0,1
2020-04-01,85,182,0,29,47,76,267
2020-04-01,14,8,0,1,3,9,22
2020-04-01,57,35,0,19,9,36,92
2020-04-01,15,45,0,7,9,32,60
2020-04-01,67,66,0,30,8,64,133
2020-04-01,0,0,0,0,0,2,0
2020-04-01,0,0,0,0,0,0,0
2020-04-01,9,19,0,4,2,14,28
2020-04-01,3,15,0,0,3,9,18
2020-04-01,5,33,0,2,4,9,38
2020-04-01,8,10,0,5,6,968,18
2020-04-01,3,3,0,1,1,2,6
2020-04-01,23,23,0,15,6,51,46
2020-04-01,22,96,0,5,23,27,118
2020-04-01,5,18,0,1,2,22,23
2020-04-01,0,0,0,0,0,0,0
2020-04-01,52,76,0,27,15,106,128
2020-04-01,2,12,0,2,2,3,14
2020-04-01,13,16,0,4,4,15,29
2020-04-01,2,24,0,2,4,6,26
2020-04-01,160,85,0,77,15,91,245
2020-04-01,36,54,0,0,4,3,90
2020-04-01,14,18,0,5,2,31,32
2020-04-01,53,138,0,20,33,74,191
2020-04-01,0,0,0,0,0,2,0
2020-04-01,25,35,0,16,11,21,60
2020-04-01,0,2,0,0,0,8,2
2020-04-01,19,101,0,5,13,53,120
2020-04-02,32,15,0,9,0,11,47
2020-04-02,15,8,0,7,1,27,23
2020-04-02,17,74,0,6,13,33,91
2020-04-02,7,16,0,3,1,16,23
2020-04-02,136,181,0,45,49,104,317
2020-04-02,26,44,0,18,10,47,70
2020-04-02,0,1,0,0,0,0,1
2020-04-02,0,1,0,0,1,4,1
2020-04-02,0,0,0,0,0,0,0
2020-04-02,0,7,0,0,0,0,7
2020-04-02,1,4,0,1,1,12,5
2020-04-02,818,1270,0,346,193,488,2088
2020-04-02,1,8,0,0,2,8,9
2020-04-02,163,101,0,69,19,95,264
2020-04-02,62,40,0,26,4,26,102
2020-04-02,0,3,0,0,2,4,3
2020-04-02,0,0,0,0,0,0,0
2020-04-02,71,92,0,24,19,80,163
2020-04-02,18,2,0,0,0,2,20
2020-04-02,0,3,0,0,0,2,3
2020-04-02,1,7,0,1,3,6,8
2020-04-02,0,0,0,0,0,2,0
2020-04-02,75,60,0,32,11,58,135
2020-04-02,15,12,0,0,6,10,27
2020-04-02,0,1,0,0,0,5,1
2020-04-02,4,26,0,4,5,3,30
2020-04-02,0,0,0,0,0,0,0
2020-04-02,57,76,0,29,17,112,133
2020-04-02,5,5,0,4,4,966,10
2020-04-02,0,1,0,0,0,2,1
2020-04-02,32,38,0,13,10,73,70
2020-04-02,0,1,0,0,0,0,1
2020-04-02,3,2,0,2,3,0,5
2020-04-02,14,14,0,4,2,12,28
2020-04-02,27,111,0,7,24,15,138
2020-04-02,4,26,0,2,2,12,30
2020-04-02,4,16,0,3,5,6,20
2020-04-02,8,18,0,1,0,10,26
2020-04-02,4,4,0,3,0,7,8
2020-04-02,8,102,0,0,1,3,110
2020-04-02,0,3,0,0,0,2,3
2020-04-02,2,25,0,2,6,4,27
2020-04-02,144,343,0,69,35,206,487
2020-04-02,129,225,0,67,47,96,354
2020-04-02,2,0,0,2,0,0,2
2020-04-02,2,4,0,1,0,10,6
2020-04-02,126,185,0,50,45,37,311
2020-04-02,4,5,0,0,1,3,9
2020-04-02,2,6,0,1,1,7,8
2020-04-02,0,0,0,0,0,0,0
2020-04-02,27,77,0,12,23,36,104
2020-04-02,30,43,0,11,7,22,73
2020-04-02,0,1,0,0,1,5,1
2020-04-02,38,58,0,2,1,6,96
2020-04-02,0,1,0,0,0,8,1
2020-04-02,42,42,0,20,7,17,84
2020-04-03,6,15,0,5,2,3,21
2020-04-03,0,0,0,0,0,0,0
2020-04-03,0,3,0,1,0,3,3
2020-04-03,0,0,0,0,0,1,0
2020-04-03,0,5,0,0,1,6,5
2020-04-03,164,83,0,71,17,97,247
2020-04-03,31,39,0,15,10,75,70
2020-04-03,0,5,0,0,1,7,5
2020-04-03,1,7,0,0,0,10,8
2020-04-03,65,39,0,26,4,38,104
2020-04-03,28,45,0,12,8,22,73
2020-04-03,131,182,0,66,36,151,313
2020-04-03,22,116,0,6,28,56,138
2020-04-03,15,81,0,7,16,35,96
2020-04-03,0,2,0,0,0,0,2
2020-04-03,1,9,0,0,1,9,10
2020-04-03,118,204,0,44,53,57,322
2020-04-03,2,12,0,2,2,5,14
2020-04-03,0,0,0,0,0,8,0
2020-04-03,962,1239,0,422,209,473,2201
2020-04-03,3,19,0,2,6,9,22
2020-04-03,8,102,0,1,2,1,110
2020-04-03,35,73,0,12,16,47,108
2020-04-03,0,0,0,0,0,0,0
2020-04-03,16,21,0,7,5,23,37
2020-04-03,77,76,0,28,17,76,153
2020-04-03,4,8,0,3,0,2,12
2020-04-03,64,74,0,32,13,117,138
2020-04-03,21,23,0,10,1,7,44
2020-04-03,0,3,0,0,0,0,3
2020-04-03,9,7,0,7,0,5,16
2020-04-03,0,2,0,0,0,2,2
2020-04-03,4,5,0,1,1,4,9
2020-04-03,0,0,0,0,0,0,0
2020-04-03,105,182,0,44,59,127,287
2020-04-03,1,0,0,1,0,5,1
2020-04-03,41,38,0,18,8,22,79
2020-04-03,80,71,0,39,8,74,151
2020-04-03,6,24,0,2,3,15,30
2020-04-03,15,9,0,0,4,14,24
2020-04-03,16,18,0,3,1,17,34
2020-04-03,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,1,0
2020-04-03,27,29,0,18,4,50,56
2020-04-03,2,9,0,1,3,14,11
2020-04-03,0,1,0,0,0,5,1
2020-04-03,4,5,0,3,2,967,9
2020-04-03,2,7,0,3,6,4,9
2020-04-03,0,2,0,0,1,2,2
2020-04-03,0,0,0,0,0,0,0
2020-04-03,171,308,0,84,28,216,479
2020-04-03,0,3,0,0,1,4,3
