county,date,confirmed_patients,suspected_patients,all_hospital_beds,icu_covid_confirmed,icu_covid_suspected,icu_available_beds,total_covid_patients
Madera,2020-03-29,1,6,0,1,1,8,7
Calaveras,2020-03-29,0,0,0,0,0,0,0
Sonoma,2020-03-29,7,20,0,2,5,12,27
Tulare,2020-03-29,6,13,0,5,3,7,19
San Bernardino,2020-03-29,33,123,0,19,20,65,156
Yuba,2020-03-29,2,12,0,2,4,2,14
Tehama,2020-03-29,0,0,0,0,0,2,0
San Mateo,2020-03-29,46,27,0,16,10,28,73
Shasta,2020-03-29,0,0,0,0,0,0,0
Tuolumne,2020-03-29,1,5,0,0,0,0,6
El Dorado,2020-03-29,0,6,0,0,3,3,6
Sutter,2020-03-29,0,0,0,0,0,0,0
San Diego,2020-03-29,121,211,0,77,39,205,332
Los Angeles,2020-03-29,489,1132,0,191,182,345,1621
Modoc,2020-03-29,0,0,0,0,0,0,0
Santa Cruz,2020-03-29,0,0,0,0,0,0,0
Merced,2020-03-29,1,7,0,0,0,3,8
San Luis Obispo,2020-03-29,7,12,0,3,4,948,19
Lassen,2020-03-29,0,2,0,0,0,0,2
Stanislaus,2020-03-29,20,48,0,9,8,25,68
Riverside,2020-03-29,44,78,0,13,20,46,122
Santa Clara,2020-03-29,141,72,0,65,15,70,213
Mendocino,2020-03-29,1,11,0,0,0,1,12
Trinity,2020-03-29,0,0,0,0,0,0,0
Del Norte,2020-03-29,1,2,0,0,0,3,3
Placer,2020-03-29,18,14,0,4,1,10,32
Siskiyou,2020-03-29,0,0,0,0,0,2,0
Alameda,2020-03-29,36,91,0,20,16,119,127
Orange,2020-03-29,74,167,0,31,40,131,241
San Joaquin,2020-03-29,34,35,0,5,2,7,69
Kings,2020-03-29,2,5,0,1,0,2,7
Mono,2020-03-29,0,1,0,0,0,2,1
Amador,2020-03-29,1,0,0,0,0,2,1
Sacramento,2020-03-29,36,27,0,12,18,50,63
Humboldt,2020-03-29,1,10,0,0,0,18,11
Monterey,2020-03-29,2,16,0,1,2,10,18
Imperial,2020-03-29,5,100,0,1,2,2,105
Fresno,2020-03-29,8,116,0,3,14,22,124
Solano,2020-03-29,7,27,0,4,1,28,34
Butte,2020-03-29,0,0,0,0,0,0,0
Marin,2020-03-29,7,13,0,2,6,11,20
San Benito,2020-03-29,1,1,0,1,0,1,2
Santa Barbara,2020-03-29,15,21,0,9,3,47,36
Napa,2020-03-29,0,26,0,0,0,5,26
Kern,2020-03-29,16,57,0,8,8,39,73
Nevada,2020-03-29,23,0,0,1,0,3,0
Inyo,2020-03-29,0,0,0,0,0,0,0
Plumas,2020-03-29,0,1,0,0,1,0,1
Contra Costa,2020-03-29,23,62,0,8,15,62,85
Yolo,2020-03-29,2,3,0,1,1,0,5
Ventura,2020-03-29,24,85,0,5,19,14,109
Glenn,2020-03-29,0,0,0,0,0,0,0
San Francisco,2020-03-29,50,73,0,24,10,61,123
Colusa,2020-03-29,0,0,0,0,0,0,0
Lake,2020-03-29,0,1,0,0,1,2,1
Lassen,2020-03-30,0,4,0,0,0,0,4
Modoc,2020-03-30,0,31,0,0,0,0,31
San Diego,2020-03-30,146,446,0,72,23,228,592
Yolo,2020-03-30,2,2,0,1,2,0,4
San Bernardino,2020-03-30,67,179,0,27,33,66,246
Shasta,2020-03-30,1,4,0,0,0,13,5
Orange,2020-03-30,98,251,0,42,58,131,349
Butte,2020-03-30,4,12,0,2,1,5,16
San Luis Obispo,2020-03-30,5,11,0,3,4,957,16
Trinity,2020-03-30,0,0,0,0,0,0,0
Placer,2020-03-30,19,19,0,5,1,29,38
Imperial,2020-03-30,19,109,0,3,3,4,128
Marin,2020-03-30,10,9,0,4,2,16,19
Nevada,2020-03-30,26,17,0,2,5,3,43
Sutter,2020-03-30,0,0,0,0,0,0,0
Merced,2020-03-30,1,9,0,0,2,11,10
Siskiyou,2020-03-30,0,0,0,0,0,3,0
Mono,2020-03-30,0,1,0,0,0,2,1
Tulare,2020-03-30,5,21,0,4,6,7,26
Monterey,2020-03-30,11,16,0,4,0,17,27
Santa Clara,2020-03-30,153,93,0,74,23,103,246
Kern,2020-03-30,18,123,0,6,8,51,141
Colusa,2020-03-30,0,1,0,0,1,5,1
Santa Cruz,2020-03-30,0,2,0,0,0,4,2
Alameda,2020-03-30,59,89,0,27,18,146,148
Kings,2020-03-30,2,12,0,1,2,0,14
San Francisco,2020-03-30,58,92,0,18,7,90,150
Riverside,2020-03-30,60,133,0,22,33,77,193
Stanislaus,2020-03-30,17,51,0,9,5,29,68
Los Angeles,2020-03-30,601,1277,0,245,244,456,1878
Napa,2020-03-30,3,8,0,1,0,9,11
Lake,2020-03-30,0,1,0,0,1,3,1
Yuba,2020-03-30,3,17,0,2,4,10,20
Mendocino,2020-03-30,2,11,0,0,1,8,13
Ventura,2020-03-30,25,82,0,5,28,15,107
San Joaquin,2020-03-30,28,30,0,8,4,53,58
Santa Barbara,2020-03-30,19,25,0,11,7,48,44
Sonoma,2020-03-30,7,22,0,3,4,29,29
Plumas,2020-03-30,0,1,0,0,0,0,1
Calaveras,2020-03-30,0,3,0,0,1,5,3
Humboldt,2020-03-30,1,8,0,0,0,10,9
Amador,2020-03-30,0,1,0,0,0,4,1
Madera,2020-03-30,1,5,0,1,3,4,6
Tuolumne,2020-03-30,1,2,0,0,0,3,3
Solano,2020-03-30,15,16,0,6,0,47,31
El Dorado,2020-03-30,0,9,0,0,6,9,9
Fresno,2020-03-30,10,88,0,3,14,24,98
Contra Costa,2020-03-30,25,54,0,11,6,90,79
Del Norte,2020-03-30,0,2,0,0,0,5,2
Glenn,2020-03-30,0,0,0,0,0,0,0
San Benito,2020-03-30,1,1,0,1,0,1,2
Sacramento,2020-03-30,45,86,0,21,23,58,131
Inyo,2020-03-30,0,0,0,0,0,0,0
San Mateo,2020-03-30,56,40,0,18,11,47,96
Tehama,2020-03-30,0,2,0,0,0,2,2
Kings,2020-03-31,1,3,0,1,2,4,4
Solano,2020-03-31,15,15,0,6,5,42,30
Sacramento,2020-03-31,53,110,0,20,31,66,163
