,county,date,total_doses
0,Stanislaus,2021-03-16,2
1,Alameda,2021-03-15,6028
2,Alpine,2021-03-15,19
3,Amador,2021-03-15,15
4,Butte,2021-03-15,881
5,Calaveras,2021-03-15,46
6,Colusa,2021-03-15,25
7,Contra Costa,2021-03-15,2993
8,Del Norte,2021-03-15,30
9,El Dorado,2021-03-15,168
10,Fresno,2021-03-15,1892
11,Glenn,2021-03-15,36
12,Humboldt,2021-03-15,53
13,Imperial,2021-03-15,107
14,Inyo,2021-03-15,35
15,Kern,2021-03-15,2149
16,Kings,2021-03-15,215
17,Lake,2021-03-15,23
18,Lassen,2021-03-15,20
19,Los Angeles,2021-03-15,29850
20,Madera,2021-03-15,303
21,Marin,2021-03-15,1109
22,Mariposa,2021-03-15,24
23,Mendocino,2021-03-15,30
24,Merced,2021-03-15,523
25,Modoc,2021-03-15,9
26,Mono,2021-03-15,1
27,Monterey,2021-03-15,1353
28,Napa,2021-03-15,278
29,Nevada,2021-03-15,223
30,Orange,2021-03-15,11660
31,Outside California,2021-03-15,2024
32,Placer,2021-03-15,594
33,Plumas,2021-03-15,9
34,Riverside,2021-03-15,10840
35,Sacramento,2021-03-15,2415
36,San Benito,2021-03-15,142
37,San Bernardino,2021-03-15,5083
38,San Diego,2021-03-15,7368
39,San Francisco,2021-03-15,6248
40,San Joaquin,2021-03-15,1633
41,San Luis Obispo,2021-03-15,1799
42,San Mateo,2021-03-15,2381
43,Santa Barbara,2021-03-15,1036
44,Santa Clara,2021-03-15,6316
45,Santa Cruz,2021-03-15,404
46,Shasta,2021-03-15,102
47,Siskiyou,2021-03-15,302
48,Solano,2021-03-15,596
49,Sonoma,2021-03-15,1478
50,Stanislaus,2021-03-15,1817
51,Sutter,2021-03-15,85
52,Tehama,2021-03-15,61
53,Trinity,2021-03-15,1
54,Tulare,2021-03-15,1226
55,Tuolumne,2021-03-15,80
56,Ventura,2021-03-15,1216
57,Yolo,2021-03-15,409
58,Yuba,2021-03-15,33
59,Alameda,2021-03-14,9641
60,Amador,2021-03-14,59
61,Butte,2021-03-14,112
62,Calaveras,2021-03-14,84
63,Colusa,2021-03-14,11
64,Contra Costa,2021-03-14,3736
65,Del Norte,2021-03-14,1
66,El Dorado,2021-03-14,546
67,Fresno,2021-03-14,1088
68,Glenn,2021-03-14,3
69,Humboldt,2021-03-14,83
70,Imperial,2021-03-14,137
71,Inyo,2021-03-14,430
72,Kern,2021-03-14,1770
73,Kings,2021-03-14,141
74,Lake,2021-03-14,11
75,Lassen,2021-03-14,7
76,Los Angeles,2021-03-14,29238
77,Madera,2021-03-14,109
78,Marin,2021-03-14,2012
79,Mariposa,2021-03-14,14
80,Mendocino,2021-03-14,61
81,Merced,2021-03-14,160
82,Modoc,2021-03-14,1
83,Mono,2021-03-14,4
84,Monterey,2021-03-14,515
85,Napa,2021-03-14,386
86,Nevada,2021-03-14,93
87,Orange,2021-03-14,15702
88,Outside California,2021-03-14,1915
89,Placer,2021-03-14,1147
90,Plumas,2021-03-14,11
91,Riverside,2021-03-14,3022
92,Sacramento,2021-03-14,4633
93,San Benito,2021-03-14,75
94,San Bernardino,2021-03-14,1971
95,San Diego,2021-03-14,10692
96,San Francisco,2021-03-14,7132
97,San Joaquin,2021-03-14,1565
98,San Luis Obispo,2021-03-14,320
99,San Mateo,2021-03-14,4393
100,Santa Barbara,2021-03-14,433
101,Santa Clara,2021-03-14,4529
102,Santa Cruz,2021-03-14,631
103,Shasta,2021-03-14,179
104,Siskiyou,2021-03-14,17
105,Solano,2021-03-14,991
106,Sonoma,2021-03-14,997
107,Stanislaus,2021-03-14,685
108,Sutter,2021-03-14,74
109,Tehama,2021-03-14,25
110,Tulare,2021-03-14,1548
111,Tuolumne,2021-03-14,81
112,Unknown,2021-03-14,118
113,Ventura,2021-03-14,1164
114,Yolo,2021-03-14,490
115,Yuba,2021-03-14,66
116,Alameda,2021-03-13,12046
117,Amador,2021-03-13,63
118,Butte,2021-03-13,146
119,Calaveras,2021-03-13,85
120,Colusa,2021-03-13,26
121,Contra Costa,2021-03-13,6031
122,Del Norte,2021-03-13,91
123,El Dorado,2021-03-13,743
124,Fresno,2021-03-13,5959
125,Glenn,2021-03-13,10
126,Humboldt,2021-03-13,771
127,Imperial,2021-03-13,896
128,Inyo,2021-03-13,502
129,Kern,2021-03-13,3417
130,Kings,2021-03-13,274
131,Lake,2021-03-13,161
132,Lassen,2021-03-13,12
133,Los Angeles,2021-03-13,42561
134,Madera,2021-03-13,731
135,Marin,2021-03-13,2547
136,Mariposa,2021-03-13,20
137,Mendocino,2021-03-13,559
138,Merced,2021-03-13,553
139,Modoc,2021-03-13,4
140,Mono,2021-03-13,6
141,Monterey,2021-03-13,1940
142,Napa,2021-03-13,414
143,Nevada,2021-03-13,174
144,Orange,2021-03-13,17988
145,Outside California,2021-03-13,2987
146,Placer,2021-03-13,1461
147,Plumas,2021-03-13,20
148,Riverside,2021-03-13,5496
149,Sacramento,2021-03-13,6421
150,San Benito,2021-03-13,138
151,San Bernardino,2021-03-13,4399
152,San Diego,2021-03-13,22583
153,San Francisco,2021-03-13,5426
154,San Joaquin,2021-03-13,2489
155,San Luis Obispo,2021-03-13,542
156,San Mateo,2021-03-13,5493
157,Santa Barbara,2021-03-13,2236
158,Santa Clara,2021-03-13,7817
159,Santa Cruz,2021-03-13,1244
160,Shasta,2021-03-13,170
161,Sierra,2021-03-13,13
162,Siskiyou,2021-03-13,327
163,Solano,2021-03-13,1311
164,Sonoma,2021-03-13,1972
165,Stanislaus,2021-03-13,3213
166,Sutter,2021-03-13,203
167,Tehama,2021-03-13,19
168,Trinity,2021-03-13,5
169,Tulare,2021-03-13,2518
170,Tuolumne,2021-03-13,58
171,Unknown,2021-03-13,93
172,Ventura,2021-03-13,2005
173,Yolo,2021-03-13,868
174,Yuba,2021-03-13,100
175,Alameda,2021-03-12,16913
176,Alpine,2021-03-12,20
177,Amador,2021-03-12,252
178,Butte,2021-03-12,933
179,Calaveras,2021-03-12,325
180,Colusa,2021-03-12,69
181,Contra Costa,2021-03-12,10440
182,Del Norte,2021-03-12,158
183,El Dorado,2021-03-12,1069
184,Fresno,2021-03-12,7391
185,Glenn,2021-03-12,395
186,Humboldt,2021-03-12,638
187,Imperial,2021-03-12,967
188,Inyo,2021-03-12,96
189,Kern,2021-03-12,5345
190,Kings,2021-03-12,826
191,Lake,2021-03-12,236
192,Lassen,2021-03-12,29
193,Los Angeles,2021-03-12,57052
194,Madera,2021-03-12,848
195,Marin,2021-03-12,2451
196,Mariposa,2021-03-12,62
197,Mendocino,2021-03-12,799
198,Merced,2021-03-12,1891
199,Modoc,2021-03-12,7
200,Mono,2021-03-12,7
201,Monterey,2021-03-12,2604
202,Napa,2021-03-12,858
203,Nevada,2021-03-12,848
204,Orange,2021-03-12,22445
205,Outside California,2021-03-12,5211
206,Oxford,2021-03-12,2
207,Placer,2021-03-12,2298
208,Plumas,2021-03-12,521
209,Riverside,2021-03-12,14230
210,Sacramento,2021-03-12,9977
211,San Benito,2021-03-12,393
212,San Bernardino,2021-03-12,8943
213,San Diego,2021-03-12,23693
214,San Francisco,2021-03-12,8772
215,San Joaquin,2021-03-12,5010
216,San Luis Obispo,2021-03-12,2551
217,San Mateo,2021-03-12,6995
218,Santa Barbara,2021-03-12,2729
219,Santa Clara,2021-03-12,12886
