,county,date,labor_force,employment,unemployment,unemployment_rate
0,Alameda ,2021-01-01,802100,743800,58300,0.073
1,Alpine ,2021-01-01,620,580,40,0.069
2,Amador ,2021-01-01,14330,13140,1190,0.083
3,Butte ,2021-01-01,89100,81700,7400,0.083
4,Calaveras ,2021-01-01,21140,19670,1460,0.069
5,Colusa ,2021-01-01,10210,8620,1600,0.156
6,Contra Costa ,2021-01-01,534600,494300,40200,0.075
7,Del Norte ,2021-01-01,9290,8460,830,0.09
8,El Dorado ,2021-01-01,91100,84800,6300,0.069
9,Fresno ,2021-01-01,444700,400300,44400,0.1
10,Glenn ,2021-01-01,12180,11210,960,0.079
11,Humboldt ,2021-01-01,58700,54400,4300,0.073
12,Imperial ,2021-01-01,65000,54300,10800,0.165
13,Inyo ,2021-01-01,8260,7690,570,0.069
14,Kern ,2021-01-01,381200,340200,41000,0.10800000000000001
15,Kings ,2021-01-01,55800,49800,6000,0.107
16,Lake ,2021-01-01,28600,26070,2530,0.08800000000000001
17,Lassen ,2021-01-01,9440,8790,650,0.069
18,Los Angeles ,2021-01-01,4916600,4290200,626400,0.127
20,Madera ,2021-01-01,62800,56800,6000,0.096
21,Marin ,2021-01-01,129000,122000,7000,0.054000000000000006
22,Mariposa ,2021-01-01,6760,5940,820,0.121
23,Mendocino ,2021-01-01,36140,33380,2770,0.077
24,Merced ,2021-01-01,113900,100800,13000,0.114
25,Modoc ,2021-01-01,3120,2830,300,0.095
26,Mono ,2021-01-01,8570,7800,760,0.08900000000000001
27,Monterey ,2021-01-01,202800,180000,22700,0.11199999999999999
28,Napa ,2021-01-01,67500,61700,5800,0.086
29,Nevada ,2021-01-01,46780,43640,3150,0.067
30,Orange ,2021-01-01,1516800,1404800,112000,0.07400000000000001
31,Placer ,2021-01-01,185600,174500,11100,0.06
32,Plumas ,2021-01-01,7080,6240,840,0.11900000000000001
33,Riverside ,2021-01-01,1105400,1010200,95200,0.086
34,Sacramento ,2021-01-01,711200,653300,57900,0.081
35,San Benito ,2021-01-01,30700,28000,2700,0.08900000000000001
36,San Bernardino ,2021-01-01,969400,885600,83800,0.086
37,San Diego ,2021-01-01,1517300,1395000,122300,0.081
38,San Francisco ,2021-01-01,535400,501900,33500,0.063
39,San Joaquin ,2021-01-01,330100,297200,33000,0.1
40,San Luis Obispo ,2021-01-01,131100,122300,8800,0.067
41,San Mateo ,2021-01-01,420000,396000,24000,0.057
42,Santa Barbara ,2021-01-01,210600,194300,16200,0.077
43,Santa Clara ,2021-01-01,1004700,947300,57400,0.057
44,Santa Cruz ,2021-01-01,128500,117500,11000,0.086
45,Shasta ,2021-01-01,73900,68100,5800,0.079
46,Sierra ,2021-01-01,1260,1160,90,0.07400000000000001
47,Siskiyou ,2021-01-01,16450,14850,1600,0.09699999999999999
48,Solano ,2021-01-01,201200,183900,17400,0.086
49,Sonoma ,2021-01-01,234000,217300,16700,0.071
50,Stanislaus ,2021-01-01,238600,216300,22300,0.09300000000000001
51,Sutter ,2021-01-01,43300,38900,4400,0.102
