,county,date,confirmed_patients,suspected_patients,total_covid_patients
0,Madera,2020-03-29,1,6,7
1,Calaveras,2020-03-29,0,0,0
2,Sonoma,2020-03-29,7,20,27
3,Tulare,2020-03-29,6,13,19
4,San Bernardino,2020-03-29,33,123,156
5,Yuba,2020-03-29,2,12,14
6,Tehama,2020-03-29,0,0,0
7,San Mateo,2020-03-29,46,27,73
8,Shasta,2020-03-29,0,0,0
9,Tuolumne,2020-03-29,1,5,6
10,El Dorado,2020-03-29,0,6,6
11,Sutter,2020-03-29,0,0,0
12,San Diego,2020-03-29,121,211,332
13,Los Angeles,2020-03-29,489,1132,1621
14,Modoc,2020-03-29,0,0,0
15,Santa Cruz,2020-03-29,0,0,0
16,Merced,2020-03-29,1,7,8
17,San Luis Obispo,2020-03-29,7,12,19
18,Lassen,2020-03-29,0,2,2
19,Stanislaus,2020-03-29,20,48,68
20,Riverside,2020-03-29,44,78,122
21,Santa Clara,2020-03-29,141,72,213
22,Mendocino,2020-03-29,1,11,12
23,Trinity,2020-03-29,0,0,0
24,Del Norte,2020-03-29,1,2,3
25,Placer,2020-03-29,18,14,32
26,Siskiyou,2020-03-29,0,0,0
27,Alameda,2020-03-29,36,91,127
28,Orange,2020-03-29,74,167,241
29,San Joaquin,2020-03-29,34,35,69
30,Kings,2020-03-29,2,5,7
31,Mono,2020-03-29,0,1,1
32,Amador,2020-03-29,1,0,1
33,Sacramento,2020-03-29,36,27,63
34,Humboldt,2020-03-29,1,10,11
35,Monterey,2020-03-29,2,16,18
36,Imperial,2020-03-29,5,100,105
37,Fresno,2020-03-29,8,116,124
38,Solano,2020-03-29,7,27,34
39,Butte,2020-03-29,0,0,0
40,Marin,2020-03-29,7,13,20
41,San Benito,2020-03-29,1,1,2
42,Santa Barbara,2020-03-29,15,21,36
43,Napa,2020-03-29,0,26,26
44,Kern,2020-03-29,16,57,73
45,Nevada,2020-03-29,23,0,0
46,Inyo,2020-03-29,0,0,0
47,Plumas,2020-03-29,0,1,1
48,Contra Costa,2020-03-29,23,62,85
49,Yolo,2020-03-29,2,3,5
50,Ventura,2020-03-29,24,85,109
51,Glenn,2020-03-29,0,0,0
52,San Francisco,2020-03-29,50,73,123
53,Colusa,2020-03-29,0,0,0
54,Lake,2020-03-29,0,1,1
