county,date,cases,reported_cases
Alameda,2021-03-16,0,100
Alpine,2021-03-16,0,0
Amador,2021-03-16,0,4
Butte,2021-03-16,0,13
Calaveras,2021-03-16,0,4
Colusa,2021-03-16,0,-1
Contra Costa,2021-03-16,0,104
Del Norte,2021-03-16,0,0
El Dorado,2021-03-16,0,14
Fresno,2021-03-16,0,118
Glenn,2021-03-16,0,6
Humboldt,2021-03-16,0,14
Imperial,2021-03-16,0,21
Inyo,2021-03-16,0,0
Kern,2021-03-16,0,74
Kings,2021-03-16,0,26
Lake,2021-03-16,0,9
Lassen,2021-03-16,0,1
Los Angeles,2021-03-16,0,231
Madera,2021-03-16,0,16
Marin,2021-03-16,0,11
Mariposa,2021-03-16,0,3
Mendocino,2021-03-16,0,8
Merced,2021-03-16,0,29
Modoc,2021-03-16,0,1
Mono,2021-03-16,0,1
Monterey,2021-03-16,0,12
Napa,2021-03-16,0,13
Nevada,2021-03-16,0,9
Orange,2021-03-16,0,146
Placer,2021-03-16,0,31
Plumas,2021-03-16,0,1
Riverside,2021-03-16,0,173
Sacramento,2021-03-16,0,108
San Benito,2021-03-16,0,0
San Bernardino,2021-03-16,0,165
San Diego,2021-03-16,0,257
San Francisco,2021-03-16,0,13
San Joaquin,2021-03-16,0,234
San Luis Obispo,2021-03-16,0,19
San Mateo,2021-03-16,0,41
Santa Barbara,2021-03-16,0,27
Santa Clara,2021-03-16,0,116
Santa Cruz,2021-03-16,0,27
Shasta,2021-03-16,0,16
Sierra,2021-03-16,0,0
Siskiyou,2021-03-16,0,2
Solano,2021-03-16,0,40
Sonoma,2021-03-16,0,36
Stanislaus,2021-03-16,0,53
Sutter,2021-03-16,0,8
Tehama,2021-03-16,0,10
Trinity,2021-03-16,0,0
Tulare,2021-03-16,0,38
Tuolumne,2021-03-16,0,1
Ventura,2021-03-16,0,45
Yolo,2021-03-16,0,31
Yuba,2021-03-16,0,11
Alameda,2021-03-15,5,43
Alpine,2021-03-15,0,0
Amador,2021-03-15,0,2
Butte,2021-03-15,2,1
Calaveras,2021-03-15,0,2
Colusa,2021-03-15,0,0
Contra Costa,2021-03-15,13,39
Del Norte,2021-03-15,0,0
El Dorado,2021-03-15,2,4
Fresno,2021-03-15,8,59
Glenn,2021-03-15,0,1
Humboldt,2021-03-15,5,2
Imperial,2021-03-15,7,0
Inyo,2021-03-15,0,0
Kern,2021-03-15,8,14
Kings,2021-03-15,4,2
Lake,2021-03-15,0,0
Lassen,2021-03-15,0,0
Los Angeles,2021-03-15,12,345
Madera,2021-03-15,2,2
Marin,2021-03-15,1,3
Mariposa,2021-03-15,0,0
Mendocino,2021-03-15,0,2
Merced,2021-03-15,9,20
Modoc,2021-03-15,0,0
Mono,2021-03-15,1,0
Monterey,2021-03-15,1,4
Napa,2021-03-15,1,2
Nevada,2021-03-15,1,1
Orange,2021-03-15,13,41
Placer,2021-03-15,0,20
Plumas,2021-03-15,0,0
Riverside,2021-03-15,5,35
Sacramento,2021-03-15,2,71
San Benito,2021-03-15,0,2
San Bernardino,2021-03-15,11,24
San Diego,2021-03-15,15,178
San Francisco,2021-03-15,3,10
San Joaquin,2021-03-15,3,59
San Luis Obispo,2021-03-15,2,7
San Mateo,2021-03-15,4,21
Santa Barbara,2021-03-15,7,15
Santa Clara,2021-03-15,4,81
Santa Cruz,2021-03-15,3,12
