,county,date,population
0,Alameda,2021-03-16,1685886
1,Alpine,2021-03-16,1117
2,Amador,2021-03-16,38531
3,Butte,2021-03-16,217769
4,Calaveras,2021-03-16,44289
5,California,2021-03-16,40129160
6,Colusa,2021-03-16,22593
7,Contra Costa,2021-03-16,1160099
8,Del Norte,2021-03-16,27558
9,El Dorado,2021-03-16,193098
10,Fresno,2021-03-16,1032227
11,Glenn,2021-03-16,29348
12,Humboldt,2021-03-16,134098
13,Imperial,2021-03-16,191649
14,Inyo,2021-03-16,18453
15,Kern,2021-03-16,927251
16,Kings,2021-03-16,156444
17,Lake,2021-03-16,64871
18,Lassen,2021-03-16,30065
19,Los Angeles,2021-03-16,10257557
20,Madera,2021-03-16,160089
21,Marin,2021-03-16,260800
22,Mariposa,2021-03-16,17795
23,Mendocino,2021-03-16,88439
24,Merced,2021-03-16,287420
25,Modoc,2021-03-16,9475
26,Mono,2021-03-16,13961
27,Monterey,2021-03-16,448732
28,Napa,2021-03-16,139652
29,Nevada,2021-03-16,98710
30,Orange,2021-03-16,3228519
32,Placer,2021-03-16,400434
33,Plumas,2021-03-16,18997
34,Riverside,2021-03-16,2468145
35,Sacramento,2021-03-16,1567975
36,San Benito,2021-03-16,64022
37,San Bernardino,2021-03-16,2217398
38,San Diego,2021-03-16,3370418
39,San Francisco,2021-03-16,892280
40,San Joaquin,2021-03-16,782545
41,San Luis Obispo,2021-03-16,278862
42,San Mateo,2021-03-16,778001
43,Santa Barbara,2021-03-16,456373
44,Santa Clara,2021-03-16,1967585
45,Santa Cruz,2021-03-16,273999
46,Shasta,2021-03-16,177925
47,Sierra,2021-03-16,3115
48,Siskiyou,2021-03-16,43956
49,Solano,2021-03-16,444255
50,Sonoma,2021-03-16,496668
51,Stanislaus,2021-03-16,562303
52,Sutter,2021-03-16,105747
53,Tehama,2021-03-16,65885
54,Trinity,2021-03-16,13354
55,Tulare,2021-03-16,484423
56,Tuolumne,2021-03-16,52351
58,Ventura,2021-03-16,852747
59,Yolo,2021-03-16,223612
60,Yuba,2021-03-16,79290
61,Alameda,2021-03-15,1685886
62,Alpine,2021-03-15,1117
63,Amador,2021-03-15,38531
64,Butte,2021-03-15,217769
65,Calaveras,2021-03-15,44289
66,California,2021-03-15,40129160
67,Colusa,2021-03-15,22593
68,Contra Costa,2021-03-15,1160099
69,Del Norte,2021-03-15,27558
70,El Dorado,2021-03-15,193098
71,Fresno,2021-03-15,1032227
72,Glenn,2021-03-15,29348
73,Humboldt,2021-03-15,134098
74,Imperial,2021-03-15,191649
75,Inyo,2021-03-15,18453
76,Kern,2021-03-15,927251
77,Kings,2021-03-15,156444
78,Lake,2021-03-15,64871
