,county,date,deaths,cumulative_deaths,reported_deaths,cumulative_reported_deaths
0,Alameda,2021-03-16,0,1177,10,1177
1,Alpine,2021-03-16,0,0,0,0
2,Amador,2021-03-16,0,44,0,44
3,Butte,2021-03-16,0,184,-1,184
4,Calaveras,2021-03-16,0,49,0,49
6,Colusa,2021-03-16,0,12,0,12
7,Contra Costa,2021-03-16,0,736,4,736
8,Del Norte,2021-03-16,0,6,0,6
9,El Dorado,2021-03-16,0,105,2,105
10,Fresno,2021-03-16,0,1498,2,1498
11,Glenn,2021-03-16,0,17,2,17
12,Humboldt,2021-03-16,0,33,1,33
13,Imperial,2021-03-16,0,689,5,689
14,Inyo,2021-03-16,0,35,0,35
15,Kern,2021-03-16,0,1144,3,1144
16,Kings,2021-03-16,0,233,0,233
17,Lake,2021-03-16,0,43,0,43
18,Lassen,2021-03-16,0,1,0,1
19,Los Angeles,2021-03-16,0,22527,50,22527
20,Madera,2021-03-16,0,214,0,214
21,Marin,2021-03-16,0,218,0,218
22,Mariposa,2021-03-16,0,5,0,5
23,Mendocino,2021-03-16,0,44,0,44
24,Merced,2021-03-16,0,407,0,407
25,Modoc,2021-03-16,0,3,0,3
26,Mono,2021-03-16,0,3,0,3
27,Monterey,2021-03-16,0,334,1,334
28,Napa,2021-03-16,0,75,0,75
29,Nevada,2021-03-16,0,67,1,67
30,Orange,2021-03-16,0,4479,-2,4479
32,Placer,2021-03-16,0,240,2,240
33,Plumas,2021-03-16,0,4,0,4
34,Riverside,2021-03-16,0,3893,37,3893
35,Sacramento,2021-03-16,0,1466,3,1466
36,San Benito,2021-03-16,0,61,0,61
37,San Bernardino,2021-03-16,0,4032,28,4032
38,San Diego,2021-03-16,0,3462,10,3462
39,San Francisco,2021-03-16,0,456,0,456
40,San Joaquin,2021-03-16,0,1163,23,1163
41,San Luis Obispo,2021-03-16,0,248,1,248
42,San Mateo,2021-03-16,0,344,0,344
43,Santa Barbara,2021-03-16,0,433,2,433
44,Santa Clara,2021-03-16,0,1797,-1,1797
45,Santa Cruz,2021-03-16,0,199,-1,199
46,Shasta,2021-03-16,0,100,8,100
47,Sierra,2021-03-16,0,0,0,0
48,Siskiyou,2021-03-16,0,5,0,5
49,Solano,2021-03-16,0,171,0,171
50,Sonoma,2021-03-16,0,291,6,291
51,Stanislaus,2021-03-16,0,683,0,683
52,Sutter,2021-03-16,0,102,0,102
53,Tehama,2021-03-16,0,34,0,34
54,Trinity,2021-03-16,0,3,0,3
55,Tulare,2021-03-16,0,803,3,803
56,Tuolumne,2021-03-16,0,57,0,57
58,Ventura,2021-03-16,0,916,6,916
59,Yolo,2021-03-16,0,190,0,190
60,Yuba,2021-03-16,0,42,0,42
61,Alameda,2021-03-15,0,1177,-1,1167
62,Alpine,2021-03-15,0,0,0,0
63,Amador,2021-03-15,0,44,0,44
64,Butte,2021-03-15,0,184,0,185
65,Calaveras,2021-03-15,0,49,0,49
67,Colusa,2021-03-15,0,12,0,12
68,Contra Costa,2021-03-15,0,736,1,732
69,Del Norte,2021-03-15,0,6,0,6
70,El Dorado,2021-03-15,0,105,0,103
71,Fresno,2021-03-15,0,1498,0,1496
72,Glenn,2021-03-15,0,17,0,15
73,Humboldt,2021-03-15,0,33,0,32
74,Imperial,2021-03-15,0,689,-1,684
75,Inyo,2021-03-15,0,35,0,35
76,Kern,2021-03-15,0,1144,0,1141
77,Kings,2021-03-15,0,233,1,233
78,Lake,2021-03-15,0,43,0,43
79,Lassen,2021-03-15,0,1,0,1
80,Los Angeles,2021-03-15,0,22527,1,22477
81,Madera,2021-03-15,0,214,0,214
82,Marin,2021-03-15,0,218,0,218
83,Mariposa,2021-03-15,0,5,0,5
84,Mendocino,2021-03-15,0,44,0,44
85,Merced,2021-03-15,0,407,0,407
86,Modoc,2021-03-15,0,3,0,3
87,Mono,2021-03-15,0,3,0,3
88,Monterey,2021-03-15,0,334,0,333
89,Napa,2021-03-15,0,75,0,75
90,Nevada,2021-03-15,0,67,0,66
91,Orange,2021-03-15,0,4479,21,4481
93,Placer,2021-03-15,0,240,0,238
94,Plumas,2021-03-15,0,4,0,4
95,Riverside,2021-03-15,0,3893,11,3856
96,Sacramento,2021-03-15,0,1466,1,1463
97,San Benito,2021-03-15,0,61,0,61
98,San Bernardino,2021-03-15,0,4032,8,4004
99,San Diego,2021-03-15,0,3462,0,3452
100,San Francisco,2021-03-15,0,456,1,456
101,San Joaquin,2021-03-15,0,1163,0,1140
102,San Luis Obispo,2021-03-15,0,248,0,247
103,San Mateo,2021-03-15,0,344,2,344
104,Santa Barbara,2021-03-15,0,433,0,431
105,Santa Clara,2021-03-15,0,1797,2,1798
106,Santa Cruz,2021-03-15,0,199,0,200
107,Shasta,2021-03-15,0,100,0,92
108,Sierra,2021-03-15,0,0,0,0
109,Siskiyou,2021-03-15,0,5,0,5
110,Solano,2021-03-15,0,171,0,171
111,Sonoma,2021-03-15,0,291,1,285
112,Stanislaus,2021-03-15,0,683,-7,683
113,Sutter,2021-03-15,0,102,0,102
114,Tehama,2021-03-15,0,34,0,34
115,Trinity,2021-03-15,0,3,0,3
116,Tulare,2021-03-15,0,803,0,800
117,Tuolumne,2021-03-15,0,57,0,57
119,Ventura,2021-03-15,0,916,0,910
120,Yolo,2021-03-15,0,190,1,190
121,Yuba,2021-03-15,0,42,0,42
122,Alameda,2021-03-14,0,1177,0,1168
