,county,date,all_hospital_beds,icu_available_beds
0,Madera,2020-03-29,0,8
1,Calaveras,2020-03-29,0,0
2,Sonoma,2020-03-29,0,12
3,Tulare,2020-03-29,0,7
4,San Bernardino,2020-03-29,0,65
5,Yuba,2020-03-29,0,2
6,Tehama,2020-03-29,0,2
7,San Mateo,2020-03-29,0,28
8,Shasta,2020-03-29,0,0
9,Tuolumne,2020-03-29,0,0
10,El Dorado,2020-03-29,0,3
11,Sutter,2020-03-29,0,0
12,San Diego,2020-03-29,0,205
13,Los Angeles,2020-03-29,0,345
14,Modoc,2020-03-29,0,0
15,Santa Cruz,2020-03-29,0,0
16,Merced,2020-03-29,0,3
17,San Luis Obispo,2020-03-29,0,948
18,Lassen,2020-03-29,0,0
19,Stanislaus,2020-03-29,0,25
20,Riverside,2020-03-29,0,46
21,Santa Clara,2020-03-29,0,70
22,Mendocino,2020-03-29,0,1
23,Trinity,2020-03-29,0,0
24,Del Norte,2020-03-29,0,3
25,Placer,2020-03-29,0,10
26,Siskiyou,2020-03-29,0,2
27,Alameda,2020-03-29,0,119
28,Orange,2020-03-29,0,131
29,San Joaquin,2020-03-29,0,7
30,Kings,2020-03-29,0,2
31,Mono,2020-03-29,0,2
32,Amador,2020-03-29,0,2
33,Sacramento,2020-03-29,0,50
34,Humboldt,2020-03-29,0,18
35,Monterey,2020-03-29,0,10
36,Imperial,2020-03-29,0,2
37,Fresno,2020-03-29,0,22
38,Solano,2020-03-29,0,28
39,Butte,2020-03-29,0,0
40,Marin,2020-03-29,0,11
41,San Benito,2020-03-29,0,1
42,Santa Barbara,2020-03-29,0,47
43,Napa,2020-03-29,0,5
44,Kern,2020-03-29,0,39
45,Nevada,2020-03-29,0,3
46,Inyo,2020-03-29,0,0
47,Plumas,2020-03-29,0,0
48,Contra Costa,2020-03-29,0,62
49,Yolo,2020-03-29,0,0
50,Ventura,2020-03-29,0,14
51,Glenn,2020-03-29,0,0
52,San Francisco,2020-03-29,0,61
53,Colusa,2020-03-29,0,0
54,Lake,2020-03-29,0,2
55,Lassen,2020-03-30,0,0
56,Modoc,2020-03-30,0,0
57,San Diego,2020-03-30,0,228
58,Yolo,2020-03-30,0,0
59,San Bernardino,2020-03-30,0,66
60,Shasta,2020-03-30,0,13
61,Orange,2020-03-30,0,131
62,Butte,2020-03-30,0,5
63,San Luis Obispo,2020-03-30,0,957
64,Trinity,2020-03-30,0,0
65,Placer,2020-03-30,0,29
66,Imperial,2020-03-30,0,4
67,Marin,2020-03-30,0,16
68,Nevada,2020-03-30,0,3
69,Sutter,2020-03-30,0,0
70,Merced,2020-03-30,0,11
71,Siskiyou,2020-03-30,0,3
72,Mono,2020-03-30,0,2
73,Tulare,2020-03-30,0,7
74,Monterey,2020-03-30,0,17
75,Santa Clara,2020-03-30,0,103
76,Kern,2020-03-30,0,51
77,Colusa,2020-03-30,0,5
78,Santa Cruz,2020-03-30,0,4
79,Alameda,2020-03-30,0,146
80,Kings,2020-03-30,0,0
81,San Francisco,2020-03-30,0,90
82,Riverside,2020-03-30,0,77
83,Stanislaus,2020-03-30,0,29
84,Los Angeles,2020-03-30,0,456
85,Napa,2020-03-30,0,9
86,Lake,2020-03-30,0,3
87,Yuba,2020-03-30,0,10
88,Mendocino,2020-03-30,0,8
89,Ventura,2020-03-30,0,15
90,San Joaquin,2020-03-30,0,53
91,Santa Barbara,2020-03-30,0,48
92,Sonoma,2020-03-30,0,29
93,Plumas,2020-03-30,0,0
94,Calaveras,2020-03-30,0,5
95,Humboldt,2020-03-30,0,10
96,Amador,2020-03-30,0,4
97,Madera,2020-03-30,0,4
98,Tuolumne,2020-03-30,0,3
99,Solano,2020-03-30,0,47
100,El Dorado,2020-03-30,0,9
101,Fresno,2020-03-30,0,24
102,Contra Costa,2020-03-30,0,90
103,Del Norte,2020-03-30,0,5
104,Glenn,2020-03-30,0,0
105,San Benito,2020-03-30,0,1
106,Sacramento,2020-03-30,0,58
107,Inyo,2020-03-30,0,0
108,San Mateo,2020-03-30,0,47
109,Tehama,2020-03-30,0,2
110,Kings,2020-03-31,0,4
111,Solano,2020-03-31,0,42
112,Sacramento,2020-03-31,0,66
113,Sonoma,2020-03-31,0,21
114,Kern,2020-03-31,0,46
115,Santa Barbara,2020-03-31,0,48
116,San Diego,2020-03-31,0,208
117,Stanislaus,2020-03-31,0,34
118,Fresno,2020-03-31,0,23
119,Plumas,2020-03-31,0,0
120,Sutter,2020-03-31,0,0
121,Nevada,2020-03-31,0,6
122,Contra Costa,2020-03-31,0,68
123,Mendocino,2020-03-31,0,7
124,Placer,2020-03-31,0,28
125,El Dorado,2020-03-31,0,12
126,Siskiyou,2020-03-31,0,4
127,Calaveras,2020-03-31,0,4
128,Colusa,2020-03-31,0,5
129,Imperial,2020-03-31,0,4
130,San Joaquin,2020-03-31,0,28
131,Amador,2020-03-31,0,4
132,San Francisco,2020-03-31,0,77
133,Los Angeles,2020-03-31,0,445
134,San Mateo,2020-03-31,0,37
135,Tulare,2020-03-31,0,9
136,Merced,2020-03-31,0,10
137,Butte,2020-03-31,0,2
138,Marin,2020-03-31,0,15
139,Santa Clara,2020-03-31,0,92
140,Glenn,2020-03-31,0,0
141,San Luis Obispo,2020-03-31,0,955
142,Shasta,2020-03-31,0,4
143,Trinity,2020-03-31,0,0
144,Lassen,2020-03-31,0,0
