,county,date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
0,Madera,2020-03-29,1,6,0,1,8,7
1,Calaveras,2020-03-29,0,0,0,0,0,0
2,Sonoma,2020-03-29,7,20,0,5,12,27
3,Tulare,2020-03-29,6,13,0,3,7,19
4,San Bernardino,2020-03-29,33,123,0,20,65,156
5,Yuba,2020-03-29,2,12,0,4,2,14
6,Tehama,2020-03-29,0,0,0,0,2,0
7,San Mateo,2020-03-29,46,27,0,10,28,73
8,Shasta,2020-03-29,0,0,0,0,0,0
9,Tuolumne,2020-03-29,1,5,0,0,0,6
10,El Dorado,2020-03-29,0,6,0,3,3,6
11,Sutter,2020-03-29,0,0,0,0,0,0
12,San Diego,2020-03-29,121,211,0,39,205,332
13,Los Angeles,2020-03-29,489,1132,0,182,345,1621
14,Modoc,2020-03-29,0,0,0,0,0,0
15,Santa Cruz,2020-03-29,0,0,0,0,0,0
16,Merced,2020-03-29,1,7,0,0,3,8
17,San Luis Obispo,2020-03-29,7,12,0,4,948,19
18,Lassen,2020-03-29,0,2,0,0,0,2
19,Stanislaus,2020-03-29,20,48,0,8,25,68
20,Riverside,2020-03-29,44,78,0,20,46,122
21,Santa Clara,2020-03-29,141,72,0,15,70,213
22,Mendocino,2020-03-29,1,11,0,0,1,12
23,Trinity,2020-03-29,0,0,0,0,0,0
24,Del Norte,2020-03-29,1,2,0,0,3,3
25,Placer,2020-03-29,18,14,0,1,10,32
26,Siskiyou,2020-03-29,0,0,0,0,2,0
27,Alameda,2020-03-29,36,91,0,16,119,127
28,Orange,2020-03-29,74,167,0,40,131,241
29,San Joaquin,2020-03-29,34,35,0,2,7,69
30,Kings,2020-03-29,2,5,0,0,2,7
31,Mono,2020-03-29,0,1,0,0,2,1
32,Amador,2020-03-29,1,0,0,0,2,1
33,Sacramento,2020-03-29,36,27,0,18,50,63
34,Humboldt,2020-03-29,1,10,0,0,18,11
35,Monterey,2020-03-29,2,16,0,2,10,18
36,Imperial,2020-03-29,5,100,0,2,2,105
37,Fresno,2020-03-29,8,116,0,14,22,124
38,Solano,2020-03-29,7,27,0,1,28,34
39,Butte,2020-03-29,0,0,0,0,0,0
40,Marin,2020-03-29,7,13,0,6,11,20
41,San Benito,2020-03-29,1,1,0,0,1,2
42,Santa Barbara,2020-03-29,15,21,0,3,47,36
43,Napa,2020-03-29,0,26,0,0,5,26
44,Kern,2020-03-29,16,57,0,8,39,73
45,Nevada,2020-03-29,23,0,0,0,3,0
46,Inyo,2020-03-29,0,0,0,0,0,0
47,Plumas,2020-03-29,0,1,0,1,0,1
48,Contra Costa,2020-03-29,23,62,0,15,62,85
49,Yolo,2020-03-29,2,3,0,1,0,5
50,Ventura,2020-03-29,24,85,0,19,14,109
51,Glenn,2020-03-29,0,0,0,0,0,0
52,San Francisco,2020-03-29,50,73,0,10,61,123
53,Colusa,2020-03-29,0,0,0,0,0,0
54,Lake,2020-03-29,0,1,0,1,2,1
55,Lassen,2020-03-30,0,4,0,0,0,4
56,Modoc,2020-03-30,0,31,0,0,0,31
57,San Diego,2020-03-30,146,446,0,23,228,592
58,Yolo,2020-03-30,2,2,0,2,0,4
59,San Bernardino,2020-03-30,67,179,0,33,66,246
60,Shasta,2020-03-30,1,4,0,0,13,5
61,Orange,2020-03-30,98,251,0,58,131,349
62,Butte,2020-03-30,4,12,0,1,5,16
63,San Luis Obispo,2020-03-30,5,11,0,4,957,16
64,Trinity,2020-03-30,0,0,0,0,0,0
65,Placer,2020-03-30,19,19,0,1,29,38
66,Imperial,2020-03-30,19,109,0,3,4,128
67,Marin,2020-03-30,10,9,0,2,16,19
68,Nevada,2020-03-30,26,17,0,5,3,43
69,Sutter,2020-03-30,0,0,0,0,0,0
70,Merced,2020-03-30,1,9,0,2,11,10
71,Siskiyou,2020-03-30,0,0,0,0,3,0
72,Mono,2020-03-30,0,1,0,0,2,1
73,Tulare,2020-03-30,5,21,0,6,7,26
74,Monterey,2020-03-30,11,16,0,0,17,27
75,Santa Clara,2020-03-30,153,93,0,23,103,246
76,Kern,2020-03-30,18,123,0,8,51,141
77,Colusa,2020-03-30,0,1,0,1,5,1
78,Santa Cruz,2020-03-30,0,2,0,0,4,2
79,Alameda,2020-03-30,59,89,0,18,146,148
80,Kings,2020-03-30,2,12,0,2,0,14
81,San Francisco,2020-03-30,58,92,0,7,90,150
82,Riverside,2020-03-30,60,133,0,33,77,193
83,Stanislaus,2020-03-30,17,51,0,5,29,68
84,Los Angeles,2020-03-30,601,1277,0,244,456,1878
85,Napa,2020-03-30,3,8,0,0,9,11
86,Lake,2020-03-30,0,1,0,1,3,1
87,Yuba,2020-03-30,3,17,0,4,10,20
88,Mendocino,2020-03-30,2,11,0,1,8,13
89,Ventura,2020-03-30,25,82,0,28,15,107
90,San Joaquin,2020-03-30,28,30,0,4,53,58
91,Santa Barbara,2020-03-30,19,25,0,7,48,44
92,Sonoma,2020-03-30,7,22,0,4,29,29
93,Plumas,2020-03-30,0,1,0,0,0,1
94,Calaveras,2020-03-30,0,3,0,1,5,3
95,Humboldt,2020-03-30,1,8,0,0,10,9
96,Amador,2020-03-30,0,1,0,0,4,1
97,Madera,2020-03-30,1,5,0,3,4,6
98,Tuolumne,2020-03-30,1,2,0,0,3,3
99,Solano,2020-03-30,15,16,0,0,47,31
100,El Dorado,2020-03-30,0,9,0,6,9,9
101,Fresno,2020-03-30,10,88,0,14,24,98
102,Contra Costa,2020-03-30,25,54,0,6,90,79
103,Del Norte,2020-03-30,0,2,0,0,5,2
104,Glenn,2020-03-30,0,0,0,0,0,0
105,San Benito,2020-03-30,1,1,0,0,1,2
106,Sacramento,2020-03-30,45,86,0,23,58,131
107,Inyo,2020-03-30,0,0,0,0,0,0
108,San Mateo,2020-03-30,56,40,0,11,47,96
109,Tehama,2020-03-30,0,2,0,0,2,2
110,Kings,2020-03-31,1,3,0,2,4,4
111,Solano,2020-03-31,15,15,0,5,42,30
112,Sacramento,2020-03-31,53,110,0,31,66,163
113,Sonoma,2020-03-31,8,18,0,3,21,26
114,Kern,2020-03-31,14,63,0,6,46,77
115,Santa Barbara,2020-03-31,19,29,0,7,48,48
116,San Diego,2020-03-31,158,408,0,39,208,566
117,Stanislaus,2020-03-31,20,31,0,1,34,51
118,Fresno,2020-03-31,30,274,0,19,23,304
119,Plumas,2020-03-31,0,0,0,0,0,0
120,Sutter,2020-03-31,0,0,0,0,0,0
121,Nevada,2020-03-31,36,40,0,1,6,76
122,Contra Costa,2020-03-31,27,54,0,10,68,81
123,Mendocino,2020-03-31,0,1,0,0,7,1
124,Placer,2020-03-31,18,27,0,0,28,45
125,El Dorado,2020-03-31,10,9,0,6,12,19
126,Siskiyou,2020-03-31,0,0,0,0,4,0
127,Calaveras,2020-03-31,0,1,0,0,4,1
128,Colusa,2020-03-31,0,1,0,1,5,1
129,Imperial,2020-03-31,12,100,0,4,4,112
130,San Joaquin,2020-03-31,44,54,0,5,28,98
131,Amador,2020-03-31,0,0,0,0,4,0
132,San Francisco,2020-03-31,67,69,0,14,77,136
133,Los Angeles,2020-03-31,713,1239,0,239,445,1952
134,San Mateo,2020-03-31,60,23,0,5,37,83
135,Tulare,2020-03-31,6,14,0,5,9,20
136,Merced,2020-03-31,3,11,0,2,10,14
137,Butte,2020-03-31,4,20,0,3,2,24
138,Marin,2020-03-31,9,14,0,2,15,23
139,Santa Clara,2020-03-31,155,98,0,17,92,253
140,Glenn,2020-03-31,0,0,0,0,0,0
141,San Luis Obispo,2020-03-31,7,15,0,6,955,22
142,Shasta,2020-03-31,1,5,0,0,4,6
143,Trinity,2020-03-31,0,0,0,0,0,0
144,Lassen,2020-03-31,0,7,0,0,0,7
145,Napa,2020-03-31,1,5,0,1,12,6
146,Alameda,2020-03-31,56,94,0,17,77,150
147,San Bernardino,2020-03-31,82,231,0,48,63,313
148,Tuolumne,2020-03-31,0,37,0,0,4,37
149,Ventura,2020-03-31,21,90,0,24,12,111
150,Riverside,2020-03-31,80,155,0,59,75,235
151,Del Norte,2020-03-31,0,4,0,0,3,4
152,San Benito,2020-03-31,1,0,0,0,1,1
153,Inyo,2020-03-31,0,83,0,0,6,0
154,Mono,2020-03-31,0,1,0,0,2,1
155,Santa Cruz,2020-03-31,1,10,0,2,7,11
156,Humboldt,2020-03-31,1,11,0,4,8,12
157,Yolo,2020-03-31,3,2,0,2,1,5
158,Orange,2020-03-31,105,233,0,44,131,338
159,Monterey,2020-03-31,11,15,0,2,17,26
160,Tehama,2020-03-31,0,2,0,0,4,2
161,Madera,2020-03-31,1,3,0,0,5,4
162,Modoc,2020-03-31,0,19,0,0,0,19
163,Yuba,2020-03-31,2,21,0,4,6,23
164,Lake,2020-03-31,0,4,0,2,3,4
165,Tehama,2020-04-01,0,1,0,1,4,1
166,Placer,2020-04-01,25,28,0,2,7,53
167,Imperial,2020-04-01,4,15,0,4,7,19
168,Madera,2020-04-01,1,3,0,0,4,4
169,Lassen,2020-04-01,0,7,0,0,0,7
170,Napa,2020-04-01,2,2,0,1,9,4
171,Siskiyou,2020-04-01,0,5,0,2,3,5
172,San Benito,2020-04-01,2,0,0,0,0,2
173,Colusa,2020-04-01,0,1,0,1,5,1
174,San Bernardino,2020-04-01,95,196,0,52,34,291
175,Stanislaus,2020-04-01,25,39,0,6,31,64
176,Amador,2020-04-01,0,3,0,0,2,3
177,Kings,2020-04-01,2,6,0,2,1,8
178,Inyo,2020-04-01,7,89,0,0,6,96
179,Glenn,2020-04-01,0,0,0,0,0,0
180,Calaveras,2020-04-01,0,1,0,0,5,1
181,Mariposa,2020-04-01,0,0,0,0,0,0
182,Lake,2020-04-01,0,2,0,0,2,2
183,Shasta,2020-04-01,1,4,0,1,13,5
184,Del Norte,2020-04-01,0,5,0,0,3,5
185,Humboldt,2020-04-01,1,9,0,3,7,10
186,Tulare,2020-04-01,4,12,0,4,9,16
187,Los Angeles,2020-04-01,739,1332,0,220,492,2071
188,Plumas,2020-04-01,0,0,0,0,0,0
189,San Diego,2020-04-01,168,340,0,32,215,508
190,Orange,2020-04-01,117,221,0,48,118,338
191,Contra Costa,2020-04-01,31,42,0,12,61,73
192,Modoc,2020-04-01,0,1,0,0,0,1
193,Riverside,2020-04-01,85,182,0,47,76,267
194,El Dorado,2020-04-01,14,8,0,3,9,22
195,San Mateo,2020-04-01,57,35,0,9,36,92
196,Kern,2020-04-01,15,45,0,9,32,60
197,San Francisco,2020-04-01,67,66,0,8,64,133
198,Mono,2020-04-01,0,0,0,0,2,0
199,Trinity,2020-04-01,0,0,0,0,0,0
200,Marin,2020-04-01,9,19,0,2,14,28
201,Merced,2020-04-01,3,15,0,3,9,18
202,Butte,2020-04-01,5,33,0,4,9,38
203,San Luis Obispo,2020-04-01,8,10,0,6,968,18
204,Yolo,2020-04-01,3,3,0,1,2,6
205,Santa Barbara,2020-04-01,23,23,0,6,51,46
206,Ventura,2020-04-01,22,96,0,23,27,118
207,Sonoma,2020-04-01,5,18,0,2,22,23
208,Sutter,2020-04-01,0,0,0,0,0,0
209,Alameda,2020-04-01,52,76,0,15,106,128
210,Santa Cruz,2020-04-01,2,12,0,2,3,14
211,Monterey,2020-04-01,13,16,0,4,15,29
212,Yuba,2020-04-01,2,24,0,4,6,26
213,Santa Clara,2020-04-01,160,85,0,15,91,245
214,Nevada,2020-04-01,36,54,0,4,3,90
215,Solano,2020-04-01,14,18,0,2,31,32
216,Sacramento,2020-04-01,53,138,0,33,74,191
217,Tuolumne,2020-04-01,0,0,0,0,2,0
218,San Joaquin,2020-04-01,25,35,0,11,21,60
219,Mendocino,2020-04-01,0,2,0,0,8,2
220,Fresno,2020-04-01,19,101,0,13,53,120
221,Placer,2020-04-02,32,15,0,0,11,47
222,Solano,2020-04-02,15,8,0,1,27,23
223,Fresno,2020-04-02,17,74,0,13,33,91
224,Marin,2020-04-02,7,16,0,1,16,23
225,Riverside,2020-04-02,136,181,0,49,104,317
226,Santa Barbara,2020-04-02,26,44,0,10,47,70
227,Mariposa,2020-04-02,0,1,0,0,0,1
228,Tehama,2020-04-02,0,1,0,1,4,1
229,Trinity,2020-04-02,0,0,0,0,0,0
230,Lassen,2020-04-02,0,7,0,0,0,7
231,Napa,2020-04-02,1,4,0,1,12,5
232,Los Angeles,2020-04-02,818,1270,0,193,488,2088
233,Humboldt,2020-04-02,1,8,0,2,8,9
234,Santa Clara,2020-04-02,163,101,0,19,95,264
235,San Mateo,2020-04-02,62,40,0,4,26,102
236,Siskiyou,2020-04-02,0,3,0,2,4,3
237,Glenn,2020-04-02,0,0,0,0,0,0
238,Sacramento,2020-04-02,71,92,0,19,80,163
239,Mono,2020-04-02,18,2,0,0,2,20
240,Del Norte,2020-04-02,0,3,0,0,2,3
241,Madera,2020-04-02,1,7,0,3,6,8
242,Tuolumne,2020-04-02,0,0,0,0,2,0
243,San Francisco,2020-04-02,75,60,0,11,58,135
244,El Dorado,2020-04-02,15,12,0,6,10,27
245,Calaveras,2020-04-02,0,1,0,0,5,1
246,Tulare,2020-04-02,4,26,0,5,3,30
247,Plumas,2020-04-02,0,0,0,0,0,0
248,Alameda,2020-04-02,57,76,0,17,112,133
249,San Luis Obispo,2020-04-02,5,5,0,4,966,10
250,Lake,2020-04-02,0,1,0,0,2,1
251,Contra Costa,2020-04-02,32,38,0,10,73,70
252,Modoc,2020-04-02,0,1,0,0,0,1
253,Yolo,2020-04-02,3,2,0,3,0,5
254,Monterey,2020-04-02,14,14,0,2,12,28
255,Ventura,2020-04-02,27,111,0,24,15,138
256,Butte,2020-04-02,4,26,0,2,12,30
257,Imperial,2020-04-02,4,16,0,5,6,20
258,Sonoma,2020-04-02,8,18,0,0,10,26
259,Santa Cruz,2020-04-02,4,4,0,0,7,8
260,Inyo,2020-04-02,8,102,0,1,3,110
261,Amador,2020-04-02,0,3,0,0,2,3
262,Yuba,2020-04-02,2,25,0,6,4,27
263,San Diego,2020-04-02,144,343,0,35,206,487
264,Orange,2020-04-02,129,225,0,47,96,354
265,San Benito,2020-04-02,2,0,0,0,0,2
266,Shasta,2020-04-02,2,4,0,0,10,6
267,San Bernardino,2020-04-02,126,185,0,45,37,311
268,Merced,2020-04-02,4,5,0,1,3,9
269,Kings,2020-04-02,2,6,0,1,7,8
270,Sutter,2020-04-02,0,0,0,0,0,0
271,Kern,2020-04-02,27,77,0,23,36,104
272,Stanislaus,2020-04-02,30,43,0,7,22,73
273,Colusa,2020-04-02,0,1,0,1,5,1
274,Nevada,2020-04-02,38,58,0,1,6,96
275,Mendocino,2020-04-02,0,1,0,0,8,1
276,San Joaquin,2020-04-02,42,42,0,7,17,84
277,Tulare,2020-04-03,6,15,0,2,3,21
278,Plumas,2020-04-03,0,0,0,0,0,0
279,Kings,2020-04-03,0,3,0,0,3,3
280,Tuolumne,2020-04-03,0,0,0,0,1,0
281,Mendocino,2020-04-03,0,5,0,1,6,5
282,Santa Clara,2020-04-03,164,83,0,17,97,247
283,Contra Costa,2020-04-03,31,39,0,10,75,70
284,Madera,2020-04-03,0,5,0,1,7,5
285,Humboldt,2020-04-03,1,7,0,0,10,8
286,San Mateo,2020-04-03,65,39,0,4,38,104
287,Stanislaus,2020-04-03,28,45,0,8,22,73
288,Orange,2020-04-03,131,182,0,36,151,313
289,Ventura,2020-04-03,22,116,0,28,56,138
290,Fresno,2020-04-03,15,81,0,16,35,96
291,Mariposa,2020-04-03,0,2,0,0,0,2
292,Napa,2020-04-03,1,9,0,1,9,10
293,San Bernardino,2020-04-03,118,204,0,53,57,322
294,Yuba,2020-04-03,2,12,0,2,5,14
295,Tehama,2020-04-03,0,0,0,0,8,0
296,Los Angeles,2020-04-03,962,1239,0,209,473,2201
297,Butte,2020-04-03,3,19,0,6,9,22
298,Inyo,2020-04-03,8,102,0,2,1,110
299,Kern,2020-04-03,35,73,0,16,47,108
300,Glenn,2020-04-03,0,0,0,0,0,0
301,Solano,2020-04-03,16,21,0,5,23,37
302,Sacramento,2020-04-03,77,76,0,17,76,153
303,Santa Cruz,2020-04-03,4,8,0,0,2,12
304,Alameda,2020-04-03,64,74,0,13,117,138
305,Placer,2020-04-03,21,23,0,1,7,44
306,Lassen,2020-04-03,0,3,0,0,0,3
307,Imperial,2020-04-03,9,7,0,0,5,16
308,Del Norte,2020-04-03,0,2,0,0,2,2
309,Merced,2020-04-03,4,5,0,1,4,9
310,Trinity,2020-04-03,0,0,0,0,0,0
311,Riverside,2020-04-03,105,182,0,59,127,287
312,Colusa,2020-04-03,1,0,0,0,5,1
313,San Joaquin,2020-04-03,41,38,0,8,22,79
314,San Francisco,2020-04-03,80,71,0,8,74,151
315,Sonoma,2020-04-03,6,24,0,3,15,30
316,El Dorado,2020-04-03,15,9,0,4,14,24
317,Monterey,2020-04-03,16,18,0,1,17,34
318,Modoc,2020-04-03,0,0,0,0,0,0
319,Amador,2020-04-03,0,0,0,0,1,0
320,Santa Barbara,2020-04-03,27,29,0,4,50,56
321,Shasta,2020-04-03,2,9,0,3,14,11
322,Calaveras,2020-04-03,0,1,0,0,5,1
323,San Luis Obispo,2020-04-03,4,5,0,2,967,9
324,Yolo,2020-04-03,2,7,0,6,4,9
325,Lake,2020-04-03,0,2,0,1,2,2
326,Sutter,2020-04-03,0,0,0,0,0,0
327,San Diego,2020-04-03,171,308,0,28,216,479
328,Siskiyou,2020-04-03,0,3,0,1,4,3
329,Nevada,2020-04-03,2,4,0,1,5,6
330,Mono,2020-04-03,18,2,0,0,2,20
331,Marin,2020-04-03,6,16,0,5,17,22
332,San Benito,2020-04-03,2,0,0,0,0,2
333,Mariposa,2020-04-04,0,2,0,0,0,2
334,San Luis Obispo,2020-04-04,4,6,0,3,954,10
335,Napa,2020-04-04,1,8,0,1,6,9
336,Yuba,2020-04-04,2,16,0,2,7,18
337,Yolo,2020-04-04,4,5,0,3,4,9
338,Tehama,2020-04-04,0,1,0,0,8,1
339,Riverside,2020-04-04,126,186,0,56,125,312
340,Madera,2020-04-04,0,4,0,0,8,4
341,Calaveras,2020-04-04,0,1,0,0,5,1
342,Sutter,2020-04-04,0,0,0,0,0,0
343,Alameda,2020-04-04,60,95,0,18,120,155
344,San Benito,2020-04-04,2,3,0,0,0,5
345,Nevada,2020-04-04,2,6,0,2,5,8
346,Siskiyou,2020-04-04,0,2,0,1,5,2
347,Monterey,2020-04-04,16,25,0,2,18,41
348,Santa Clara,2020-04-04,159,79,0,19,91,238
349,Marin,2020-04-04,5,16,0,5,12,21
350,Amador,2020-04-04,0,0,0,0,2,0
351,Contra Costa,2020-04-04,30,47,0,7,87,77
352,Ventura,2020-04-04,21,127,0,25,10,148
353,Sonoma,2020-04-04,7,16,0,6,15,23
354,Mono,2020-04-04,20,2,0,0,2,22
355,Solano,2020-04-04,16,19,0,2,23,35
356,Mendocino,2020-04-04,0,3,0,1,7,3
357,Tuolumne,2020-04-04,0,1,0,1,2,1
358,Modoc,2020-04-04,0,0,0,0,0,0
359,San Joaquin,2020-04-04,43,30,0,7,24,73
360,Santa Cruz,2020-04-04,4,6,0,0,7,10
361,Lassen,2020-04-04,0,0,0,0,0,0
362,Butte,2020-04-04,3,14,0,4,7,17
363,Del Norte,2020-04-04,0,2,0,0,1,2
364,Sacramento,2020-04-04,69,76,0,18,82,145
365,San Mateo,2020-04-04,66,19,0,6,40,85
366,Santa Barbara,2020-04-04,28,34,0,2,53,62
367,Plumas,2020-04-04,0,0,0,0,0,0
368,Kings,2020-04-04,1,9,0,0,0,10
369,Trinity,2020-04-04,0,0,0,0,0,0
370,Stanislaus,2020-04-04,30,45,0,9,26,75
371,Colusa,2020-04-04,1,0,0,0,5,1
372,Imperial,2020-04-04,9,10,0,2,5,19
373,Inyo,2020-04-04,8,106,0,1,2,114
374,Merced,2020-04-04,5,14,0,1,6,19
375,San Diego,2020-04-04,177,218,0,19,222,395
376,El Dorado,2020-04-04,15,9,0,3,12,24
377,Tulare,2020-04-04,8,20,0,1,6,28
378,San Bernardino,2020-04-04,138,254,0,66,67,392
379,Orange,2020-04-04,143,213,0,45,153,356
380,Glenn,2020-04-04,0,0,0,0,0,0
381,Lake,2020-04-04,0,4,0,1,4,4
382,Placer,2020-04-04,23,14,0,1,12,37
383,Humboldt,2020-04-04,1,4,0,0,7,5
384,Fresno,2020-04-04,14,93,0,20,36,107
385,Shasta,2020-04-04,2,10,0,0,13,12
386,Kern,2020-04-04,33,54,0,11,29,87
387,San Francisco,2020-04-04,80,65,0,7,79,145
388,Los Angeles,2020-04-04,1007,1190,0,181,537,2197
389,Mono,2020-04-05,20,2,0,0,2,22
390,Tuolumne,2020-04-05,0,0,0,0,4,0
391,Sonoma,2020-04-05,6,21,0,6,16,27
392,San Mateo,2020-04-05,69,15,0,6,36,84
393,Solano,2020-04-05,15,17,0,24,3,32
394,Lassen,2020-04-05,0,0,0,0,0,0
395,Tulare,2020-04-05,4,20,0,2,3,24
396,Mendocino,2020-04-05,0,3,0,2,4,3
397,Riverside,2020-04-05,129,207,0,60,130,336
398,Alameda,2020-04-05,72,87,0,13,113,159
399,San Francisco,2020-04-05,79,68,0,11,74,147
400,Calaveras,2020-04-05,0,0,0,0,6,0
401,Kings,2020-04-05,3,1,0,0,0,4
402,Mariposa,2020-04-05,0,2,0,0,0,2
403,Nevada,2020-04-05,2,4,0,1,3,6
404,San Luis Obispo,2020-04-05,2,11,0,9,28,13
405,Inyo,2020-04-05,9,106,0,0,3,115
406,Yolo,2020-04-05,3,6,0,3,4,9
407,San Diego,2020-04-05,179,220,0,31,247,399
408,Contra Costa,2020-04-05,29,35,0,10,74,64
409,Glenn,2020-04-05,0,0,0,0,0,0
410,Orange,2020-04-05,144,221,0,46,156,365
411,Los Angeles,2020-04-05,1094,1082,0,166,554,2176
412,Marin,2020-04-05,5,15,0,5,13,20
413,Madera,2020-04-05,0,1,0,0,8,1
414,Butte,2020-04-05,2,16,0,6,10,18
415,Santa Cruz,2020-04-05,5,12,0,4,10,17
416,El Dorado,2020-04-05,16,6,0,3,7,22
417,Sutter,2020-04-05,0,0,0,0,0,0
418,Napa,2020-04-05,1,8,0,1,11,9
419,Imperial,2020-04-05,9,9,0,1,3,18
420,Plumas,2020-04-05,0,0,0,0,0,0
421,Siskiyou,2020-04-05,0,2,0,2,3,2
422,Modoc,2020-04-05,0,0,0,0,0,0
423,Monterey,2020-04-05,16,15,0,0,23,31
424,Del Norte,2020-04-05,0,1,0,0,1,1
425,San Bernardino,2020-04-05,146,240,0,54,70,386
426,Fresno,2020-04-05,16,81,0,15,39,97
427,Shasta,2020-04-05,8,11,0,0,13,19
428,Trinity,2020-04-05,0,0,0,0,0,0
429,Merced,2020-04-05,15,10,0,3,8,25
430,Lake,2020-04-05,0,4,0,2,3,4
431,San Joaquin,2020-04-05,46,24,0,4,19,70
432,Stanislaus,2020-04-05,30,25,0,5,30,55
433,Placer,2020-04-05,23,13,0,1,10,36
434,Amador,2020-04-05,0,0,0,0,2,0
435,Ventura,2020-04-05,21,128,0,28,12,149
436,Kern,2020-04-05,23,27,0,4,40,50
437,Tehama,2020-04-05,0,1,0,0,5,1
438,Sacramento,2020-04-05,64,78,0,26,82,142
439,Santa Clara,2020-04-05,166,69,0,18,90,235
440,Humboldt,2020-04-05,2,3,0,0,8,5
441,San Benito,2020-04-05,3,0,0,0,0,3
442,Santa Barbara,2020-04-05,31,26,0,2,59,57
443,Colusa,2020-04-05,1,0,0,0,5,1
444,Yuba,2020-04-05,1,14,0,1,10,15
445,Inyo,2020-04-06,9,114,0,0,3,123
446,San Joaquin,2020-04-06,31,32,0,3,20,63
447,Alameda,2020-04-06,79,70,0,19,92,149
448,Yuba,2020-04-06,1,19,0,3,7,20
449,Yolo,2020-04-06,4,0,0,4,-3,4
450,Colusa,2020-04-06,0,0,0,0,6,0
451,Modoc,2020-04-06,0,0,0,0,0,0
452,San Mateo,2020-04-06,68,20,0,5,36,88
453,Fresno,2020-04-06,18,81,0,20,45,99
454,Plumas,2020-04-06,0,0,0,0,0,0
455,San Benito,2020-04-06,3,3,0,0,0,6
456,Santa Barbara,2020-04-06,34,26,0,5,54,60
457,Solano,2020-04-06,15,21,0,6,28,36
458,Riverside,2020-04-06,129,193,0,65,152,322
459,San Luis Obispo,2020-04-06,2,3,0,2,42,5
460,Tulare,2020-04-06,12,24,0,3,16,36
461,Del Norte,2020-04-06,0,3,0,0,0,3
462,Tuolumne,2020-04-06,0,0,0,0,0,0
463,Merced,2020-04-06,4,2,0,2,4,6
464,Stanislaus,2020-04-06,28,28,0,4,37,56
465,Los Angeles,2020-04-06,1166,1070,0,175,587,2236
466,Ventura,2020-04-06,22,106,0,20,32,128
467,Calaveras,2020-04-06,0,0,0,0,6,0
468,Kings,2020-04-06,3,3,0,0,3,6
469,Sutter,2020-04-06,0,0,0,0,0,0
470,Santa Cruz,2020-04-06,5,9,0,2,5,14
471,Shasta,2020-04-06,6,3,0,2,28,9
472,Sonoma,2020-04-06,6,18,0,4,20,24
473,Imperial,2020-04-06,9,14,0,2,3,23
474,Monterey,2020-04-06,16,15,0,1,18,31
475,Amador,2020-04-06,0,0,0,0,2,0
476,Lake,2020-04-06,0,8,0,2,1,8
477,Napa,2020-04-06,0,7,0,0,15,7
478,Sacramento,2020-04-06,77,78,0,19,75,155
479,Butte,2020-04-06,1,15,0,5,9,16
480,San Francisco,2020-04-06,80,71,0,9,71,151
481,Siskiyou,2020-04-06,0,0,0,0,5,0
482,Mendocino,2020-04-06,0,2,0,2,10,2
483,Lassen,2020-04-06,0,0,0,0,0,0
484,Mono,2020-04-06,20,2,0,0,2,22
485,Contra Costa,2020-04-06,30,28,0,11,78,58
486,San Bernardino,2020-04-06,148,185,0,43,102,333
487,Humboldt,2020-04-06,3,12,0,3,2,15
488,Santa Clara,2020-04-06,181,49,0,10,100,230
489,Placer,2020-04-06,20,12,0,1,24,32
490,Madera,2020-04-06,0,2,0,1,8,2
491,Trinity,2020-04-06,0,0,0,0,0,0
492,Tehama,2020-04-06,0,0,0,0,4,0
493,El Dorado,2020-04-06,16,1,0,0,10,17
494,Kern,2020-04-06,24,36,0,5,39,60
