,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
0,Alameda County,2021-01-01,2021,January,802100,743800,58300,0.073
1,Alpine County,2021-01-01,2021,January,620,580,40,0.069
2,Amador County,2021-01-01,2021,January,14330,13140,1190,0.083
3,Butte County,2021-01-01,2021,January,89100,81700,7400,0.083
4,Calaveras County,2021-01-01,2021,January,21140,19670,1460,0.069
5,Colusa County,2021-01-01,2021,January,10210,8620,1600,0.156
6,Contra Costa County,2021-01-01,2021,January,534600,494300,40200,0.075
7,Del Norte County,2021-01-01,2021,January,9290,8460,830,0.09
8,El Dorado County,2021-01-01,2021,January,91100,84800,6300,0.069
9,Fresno County,2021-01-01,2021,January,444700,400300,44400,0.1
10,Glenn County,2021-01-01,2021,January,12180,11210,960,0.079
11,Humboldt County,2021-01-01,2021,January,58700,54400,4300,0.073
12,Imperial County,2021-01-01,2021,January,65000,54300,10800,0.165
13,Inyo County,2021-01-01,2021,January,8260,7690,570,0.069
14,Kern County,2021-01-01,2021,January,381200,340200,41000,0.10800000000000001
15,Kings County,2021-01-01,2021,January,55800,49800,6000,0.107
16,Lake County,2021-01-01,2021,January,28600,26070,2530,0.08800000000000001
17,Lassen County,2021-01-01,2021,January,9440,8790,650,0.069
18,Los Angeles County,2021-01-01,2021,January,4916600,4290200,626400,0.127
20,Madera County,2021-01-01,2021,January,62800,56800,6000,0.096
21,Marin County,2021-01-01,2021,January,129000,122000,7000,0.054000000000000006
22,Mariposa County,2021-01-01,2021,January,6760,5940,820,0.121
23,Mendocino County,2021-01-01,2021,January,36140,33380,2770,0.077
24,Merced County,2021-01-01,2021,January,113900,100800,13000,0.114
25,Modoc County,2021-01-01,2021,January,3120,2830,300,0.095
26,Mono County,2021-01-01,2021,January,8570,7800,760,0.08900000000000001
27,Monterey County,2021-01-01,2021,January,202800,180000,22700,0.11199999999999999
28,Napa County,2021-01-01,2021,January,67500,61700,5800,0.086
29,Nevada County,2021-01-01,2021,January,46780,43640,3150,0.067
30,Orange County,2021-01-01,2021,January,1516800,1404800,112000,0.07400000000000001
31,Placer County,2021-01-01,2021,January,185600,174500,11100,0.06
32,Plumas County,2021-01-01,2021,January,7080,6240,840,0.11900000000000001
33,Riverside County,2021-01-01,2021,January,1105400,1010200,95200,0.086
34,Sacramento County,2021-01-01,2021,January,711200,653300,57900,0.081
35,San Benito County,2021-01-01,2021,January,30700,28000,2700,0.08900000000000001
36,San Bernardino County,2021-01-01,2021,January,969400,885600,83800,0.086
37,San Diego County,2021-01-01,2021,January,1517300,1395000,122300,0.081
38,San Francisco County,2021-01-01,2021,January,535400,501900,33500,0.063
39,San Joaquin County,2021-01-01,2021,January,330100,297200,33000,0.1
40,San Luis Obispo County,2021-01-01,2021,January,131100,122300,8800,0.067
41,San Mateo County,2021-01-01,2021,January,420000,396000,24000,0.057
42,Santa Barbara County,2021-01-01,2021,January,210600,194300,16200,0.077
43,Santa Clara County,2021-01-01,2021,January,1004700,947300,57400,0.057
44,Santa Cruz County,2021-01-01,2021,January,128500,117500,11000,0.086
45,Shasta County,2021-01-01,2021,January,73900,68100,5800,0.079
46,Sierra County,2021-01-01,2021,January,1260,1160,90,0.07400000000000001
47,Siskiyou County,2021-01-01,2021,January,16450,14850,1600,0.09699999999999999
48,Solano County,2021-01-01,2021,January,201200,183900,17400,0.086
49,Sonoma County,2021-01-01,2021,January,234000,217300,16700,0.071
50,Stanislaus County,2021-01-01,2021,January,238600,216300,22300,0.09300000000000001
