,date,county,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
0,2021-03-16,Alameda,1685886,0,82259,0,1177,0,2108264,0,95660,100,82259,10,1177,2290,1492209
1,2021-03-16,Alpine,1117,0,82,0,0,0,1842,0,30,0,82,0,0,1,736
2,2021-03-16,Amador,38531,0,3510,0,44,0,96792,0,4015,4,3510,0,44,35,32130
3,2021-03-16,Butte,217769,0,11154,0,184,0,188353,0,11740,13,11154,-1,184,170,153145
4,2021-03-16,Calaveras,44289,0,1945,0,49,0,35204,0,2188,4,1945,0,49,27,24406
6,2021-03-16,Colusa,22593,0,1882,0,12,0,15214,0,1735,-1,1882,0,12,15,13675
7,2021-03-16,Contra Costa,1160099,0,63951,0,736,0,1274591,0,70615,104,63951,4,736,1600,990151
8,2021-03-16,Del Norte,27558,0,1048,0,6,0,67883,0,1141,0,1048,0,6,50,24244
9,2021-03-16,El Dorado,193098,0,9249,0,105,0,147385,0,9073,14,9249,2,105,224,127952
10,2021-03-16,Fresno,1032227,0,97638,0,1498,0,1031564,0,114256,118,97638,2,1498,1121,819065
11,2021-03-16,Glenn,29348,0,2267,0,17,0,21397,0,2324,6,2267,2,17,17,16384
12,2021-03-16,Humboldt,134098,0,3351,0,33,0,114807,0,3521,14,3351,1,33,164,86770
13,2021-03-16,Imperial,191649,0,27143,0,689,0,254674,0,31000,21,27143,5,689,84,162730
14,2021-03-16,Inyo,18453,0,1346,0,35,0,16387,0,1135,0,1346,0,35,18,14012
15,2021-03-16,Kern,927251,0,93340,0,1144,0,879917,0,106164,74,93340,3,1144,533,674448
16,2021-03-16,Kings,156444,0,22320,0,233,0,310396,0,25840,26,22320,0,233,97,146867
17,2021-03-16,Lake,64871,0,3246,0,43,0,58720,0,3775,9,3246,0,43,40,48405
18,2021-03-16,Lassen,30065,0,5126,0,1,0,112896,0,5872,1,5126,0,1,17,43659
19,2021-03-16,Los Angeles,10257557,0,1172676,0,22527,0,16764205,0,1499919,231,1172676,50,22527,59894,23343769
20,2021-03-16,Madera,160089,0,15822,0,214,0,208375,0,17801,16,15822,0,214,119,117537
21,2021-03-16,Marin,260800,0,13419,0,218,0,430764,0,14828,11,13419,0,218,425,274704
22,2021-03-16,Mariposa,17795,0,379,0,5,0,18837,0,421,3,379,0,5,5,7912
23,2021-03-16,Mendocino,88439,0,3623,0,44,0,88218,0,3990,8,3623,0,44,48,57246
24,2021-03-16,Merced,287420,0,29198,0,407,0,304471,0,30823,29,29198,0,407,256,217112
25,2021-03-16,Modoc,9475,0,341,0,3,0,5345,0,158,1,341,0,3,2,3601
26,2021-03-16,Mono,13961,0,1207,0,3,0,14478,0,1307,1,1207,0,3,1,12733
27,2021-03-16,Monterey,448732,0,42023,0,334,0,512582,0,47194,12,42023,1,334,296,347985
28,2021-03-16,Napa,139652,0,9209,0,75,0,227562,0,9962,13,9209,0,75,154,144286
29,2021-03-16,Nevada,98710,0,4132,0,67,0,86320,0,4033,9,4132,1,67,70,59020
30,2021-03-16,Orange,3228519,0,247843,0,4479,0,3207464,0,301967,146,247843,-2,4479,2937,2756089
32,2021-03-16,Placer,400434,0,20339,0,240,0,326532,0,21587,31,20339,2,240,557,267607
33,2021-03-16,Plumas,18997,0,643,0,4,0,17081,0,613,1,643,0,4,17,12668
34,2021-03-16,Riverside,2468145,0,281540,0,3893,0,2529195,0,336292,173,281540,37,3893,2219,1991701
