,county,date,cases,reported_cases
0,Alameda,2021-03-16,0,100
1,Alpine,2021-03-16,0,0
2,Amador,2021-03-16,0,4
3,Butte,2021-03-16,0,13
4,Calaveras,2021-03-16,0,4
6,Colusa,2021-03-16,0,-1
7,Contra Costa,2021-03-16,0,104
8,Del Norte,2021-03-16,0,0
9,El Dorado,2021-03-16,0,14
10,Fresno,2021-03-16,0,118
11,Glenn,2021-03-16,0,6
12,Humboldt,2021-03-16,0,14
13,Imperial,2021-03-16,0,21
14,Inyo,2021-03-16,0,0
15,Kern,2021-03-16,0,74
16,Kings,2021-03-16,0,26
17,Lake,2021-03-16,0,9
18,Lassen,2021-03-16,0,1
19,Los Angeles,2021-03-16,0,231
20,Madera,2021-03-16,0,16
21,Marin,2021-03-16,0,11
22,Mariposa,2021-03-16,0,3
23,Mendocino,2021-03-16,0,8
24,Merced,2021-03-16,0,29
25,Modoc,2021-03-16,0,1
26,Mono,2021-03-16,0,1
27,Monterey,2021-03-16,0,12
28,Napa,2021-03-16,0,13
29,Nevada,2021-03-16,0,9
30,Orange,2021-03-16,0,146
32,Placer,2021-03-16,0,31
33,Plumas,2021-03-16,0,1
34,Riverside,2021-03-16,0,173
35,Sacramento,2021-03-16,0,108
36,San Benito,2021-03-16,0,0
37,San Bernardino,2021-03-16,0,165
38,San Diego,2021-03-16,0,257
39,San Francisco,2021-03-16,0,13
40,San Joaquin,2021-03-16,0,234
41,San Luis Obispo,2021-03-16,0,19
42,San Mateo,2021-03-16,0,41
43,Santa Barbara,2021-03-16,0,27
44,Santa Clara,2021-03-16,0,116
45,Santa Cruz,2021-03-16,0,27
46,Shasta,2021-03-16,0,16
47,Sierra,2021-03-16,0,0
48,Siskiyou,2021-03-16,0,2
49,Solano,2021-03-16,0,40
50,Sonoma,2021-03-16,0,36
51,Stanislaus,2021-03-16,0,53
52,Sutter,2021-03-16,0,8
53,Tehama,2021-03-16,0,10
54,Trinity,2021-03-16,0,0
55,Tulare,2021-03-16,0,38
56,Tuolumne,2021-03-16,0,1
58,Ventura,2021-03-16,0,45
59,Yolo,2021-03-16,0,31
