,county,date,deaths,reported_deaths
0,Alameda,2021-03-16,0,10
1,Alpine,2021-03-16,0,0
2,Amador,2021-03-16,0,0
3,Butte,2021-03-16,0,-1
4,Calaveras,2021-03-16,0,0
6,Colusa,2021-03-16,0,0
7,Contra Costa,2021-03-16,0,4
8,Del Norte,2021-03-16,0,0
9,El Dorado,2021-03-16,0,2
10,Fresno,2021-03-16,0,2
11,Glenn,2021-03-16,0,2
12,Humboldt,2021-03-16,0,1
13,Imperial,2021-03-16,0,5
14,Inyo,2021-03-16,0,0
15,Kern,2021-03-16,0,3
16,Kings,2021-03-16,0,0
17,Lake,2021-03-16,0,0
18,Lassen,2021-03-16,0,0
19,Los Angeles,2021-03-16,0,50
20,Madera,2021-03-16,0,0
21,Marin,2021-03-16,0,0
22,Mariposa,2021-03-16,0,0
23,Mendocino,2021-03-16,0,0
24,Merced,2021-03-16,0,0
25,Modoc,2021-03-16,0,0
26,Mono,2021-03-16,0,0
27,Monterey,2021-03-16,0,1
28,Napa,2021-03-16,0,0
29,Nevada,2021-03-16,0,1
30,Orange,2021-03-16,0,-2
32,Placer,2021-03-16,0,2
33,Plumas,2021-03-16,0,0
34,Riverside,2021-03-16,0,37
35,Sacramento,2021-03-16,0,3
36,San Benito,2021-03-16,0,0
37,San Bernardino,2021-03-16,0,28
38,San Diego,2021-03-16,0,10
39,San Francisco,2021-03-16,0,0
40,San Joaquin,2021-03-16,0,23
41,San Luis Obispo,2021-03-16,0,1
42,San Mateo,2021-03-16,0,0
43,Santa Barbara,2021-03-16,0,2
44,Santa Clara,2021-03-16,0,-1
45,Santa Cruz,2021-03-16,0,-1
46,Shasta,2021-03-16,0,8
47,Sierra,2021-03-16,0,0
48,Siskiyou,2021-03-16,0,0
49,Solano,2021-03-16,0,0
50,Sonoma,2021-03-16,0,6
51,Stanislaus,2021-03-16,0,0
52,Sutter,2021-03-16,0,0
53,Tehama,2021-03-16,0,0
54,Trinity,2021-03-16,0,0
55,Tulare,2021-03-16,0,3
56,Tuolumne,2021-03-16,0,0
58,Ventura,2021-03-16,0,6
59,Yolo,2021-03-16,0,0
60,Yuba,2021-03-16,0,0
61,Alameda,2021-03-15,0,-1
62,Alpine,2021-03-15,0,0
63,Amador,2021-03-15,0,0
64,Butte,2021-03-15,0,0
65,Calaveras,2021-03-15,0,0
67,Colusa,2021-03-15,0,0
68,Contra Costa,2021-03-15,0,1
69,Del Norte,2021-03-15,0,0
70,El Dorado,2021-03-15,0,0
71,Fresno,2021-03-15,0,0
72,Glenn,2021-03-15,0,0
73,Humboldt,2021-03-15,0,0
74,Imperial,2021-03-15,0,-1
75,Inyo,2021-03-15,0,0
76,Kern,2021-03-15,0,0
77,Kings,2021-03-15,0,1
78,Lake,2021-03-15,0,0
79,Lassen,2021-03-15,0,0
80,Los Angeles,2021-03-15,0,1
81,Madera,2021-03-15,0,0
82,Marin,2021-03-15,0,0
83,Mariposa,2021-03-15,0,0
84,Mendocino,2021-03-15,0,0
85,Merced,2021-03-15,0,0
86,Modoc,2021-03-15,0,0
87,Mono,2021-03-15,0,0
88,Monterey,2021-03-15,0,0
89,Napa,2021-03-15,0,0
90,Nevada,2021-03-15,0,0
91,Orange,2021-03-15,0,21
93,Placer,2021-03-15,0,0
94,Plumas,2021-03-15,0,0
95,Riverside,2021-03-15,0,11
96,Sacramento,2021-03-15,0,1
97,San Benito,2021-03-15,0,0
98,San Bernardino,2021-03-15,0,8
99,San Diego,2021-03-15,0,0
100,San Francisco,2021-03-15,0,1
101,San Joaquin,2021-03-15,0,0
102,San Luis Obispo,2021-03-15,0,0
103,San Mateo,2021-03-15,0,2
104,Santa Barbara,2021-03-15,0,0
105,Santa Clara,2021-03-15,0,2
106,Santa Cruz,2021-03-15,0,0
107,Shasta,2021-03-15,0,0
108,Sierra,2021-03-15,0,0
109,Siskiyou,2021-03-15,0,0
110,Solano,2021-03-15,0,0
111,Sonoma,2021-03-15,0,1
112,Stanislaus,2021-03-15,0,-7
113,Sutter,2021-03-15,0,0
114,Tehama,2021-03-15,0,0
115,Trinity,2021-03-15,0,0
116,Tulare,2021-03-15,0,0
117,Tuolumne,2021-03-15,0,0
119,Ventura,2021-03-15,0,0
120,Yolo,2021-03-15,0,1
121,Yuba,2021-03-15,0,0
122,Alameda,2021-03-14,0,0
123,Alpine,2021-03-14,0,0
124,Amador,2021-03-14,0,0
125,Butte,2021-03-14,0,0
126,Calaveras,2021-03-14,0,0
128,Colusa,2021-03-14,0,0
129,Contra Costa,2021-03-14,0,0
130,Del Norte,2021-03-14,0,0
131,El Dorado,2021-03-14,0,0
132,Fresno,2021-03-14,0,1
133,Glenn,2021-03-14,0,0
134,Humboldt,2021-03-14,0,0
135,Imperial,2021-03-14,0,8
136,Inyo,2021-03-14,0,0
137,Kern,2021-03-14,0,1
138,Kings,2021-03-14,0,0
139,Lake,2021-03-14,0,0
140,Lassen,2021-03-14,0,0
141,Los Angeles,2021-03-14,0,25
142,Madera,2021-03-14,0,0
143,Marin,2021-03-14,0,0
144,Mariposa,2021-03-14,0,0
145,Mendocino,2021-03-14,0,0
146,Merced,2021-03-14,0,1
147,Modoc,2021-03-14,0,0
148,Mono,2021-03-14,0,0
149,Monterey,2021-03-14,0,1
150,Napa,2021-03-14,0,0
151,Nevada,2021-03-14,0,0
152,Orange,2021-03-14,0,37
154,Placer,2021-03-14,0,-1
155,Plumas,2021-03-14,0,0
156,Riverside,2021-03-14,0,-3
157,Sacramento,2021-03-14,0,1
158,San Benito,2021-03-14,0,0
159,San Bernardino,2021-03-14,0,24
160,San Diego,2021-03-14,0,8
161,San Francisco,2021-03-14,0,0
162,San Joaquin,2021-03-14,0,-1
163,San Luis Obispo,2021-03-14,0,0
164,San Mateo,2021-03-14,0,1
165,Santa Barbara,2021-03-14,0,0
166,Santa Clara,2021-03-14,0,6
167,Santa Cruz,2021-03-14,0,1
168,Shasta,2021-03-14,0,-16
169,Sierra,2021-03-14,0,0
170,Siskiyou,2021-03-14,0,0
171,Solano,2021-03-14,0,0
172,Sonoma,2021-03-14,0,-1
173,Stanislaus,2021-03-14,0,-5
174,Sutter,2021-03-14,0,0
175,Tehama,2021-03-14,0,1
176,Trinity,2021-03-14,0,0
177,Tulare,2021-03-14,0,2
178,Tuolumne,2021-03-14,0,0
180,Ventura,2021-03-14,0,4
181,Yolo,2021-03-14,0,0
182,Yuba,2021-03-14,0,0
183,Alameda,2021-03-13,0,4
184,Alpine,2021-03-13,0,0
185,Amador,2021-03-13,0,0
186,Butte,2021-03-13,0,1
187,Calaveras,2021-03-13,0,0
189,Colusa,2021-03-13,0,0
190,Contra Costa,2021-03-13,0,3
191,Del Norte,2021-03-13,0,0
192,El Dorado,2021-03-13,0,0
193,Fresno,2021-03-13,0,6
194,Glenn,2021-03-13,0,0
195,Humboldt,2021-03-13,0,0
196,Imperial,2021-03-13,0,0
197,Inyo,2021-03-13,0,0
198,Kern,2021-03-13,0,8
199,Kings,2021-03-13,0,0
200,Lake,2021-03-13,0,0
201,Lassen,2021-03-13,0,0
202,Los Angeles,2021-03-13,1,42
203,Madera,2021-03-13,0,0
204,Marin,2021-03-13,0,0
205,Mariposa,2021-03-13,0,0
206,Mendocino,2021-03-13,0,1
207,Merced,2021-03-13,0,3
208,Modoc,2021-03-13,0,0
209,Mono,2021-03-13,0,0
210,Monterey,2021-03-13,0,3
211,Napa,2021-03-13,0,0
212,Nevada,2021-03-13,0,0
213,Orange,2021-03-13,0,22
215,Placer,2021-03-13,0,0
216,Plumas,2021-03-13,0,0
217,Riverside,2021-03-13,0,-6
218,Sacramento,2021-03-13,0,1
219,San Benito,2021-03-13,0,0
220,San Bernardino,2021-03-13,0,55
221,San Diego,2021-03-13,0,10
222,San Francisco,2021-03-13,0,3
223,San Joaquin,2021-03-13,0,-3
224,San Luis Obispo,2021-03-13,0,0
225,San Mateo,2021-03-13,0,0
226,Santa Barbara,2021-03-13,0,2
227,Santa Clara,2021-03-13,0,24
228,Santa Cruz,2021-03-13,0,4
229,Shasta,2021-03-13,0,-45
230,Sierra,2021-03-13,0,0
231,Siskiyou,2021-03-13,0,0
232,Solano,2021-03-13,0,0
233,Sonoma,2021-03-13,0,0
234,Stanislaus,2021-03-13,0,-6
235,Sutter,2021-03-13,0,1
236,Tehama,2021-03-13,0,0
237,Trinity,2021-03-13,0,0
238,Tulare,2021-03-13,0,0
239,Tuolumne,2021-03-13,0,0
241,Ventura,2021-03-13,0,7
242,Yolo,2021-03-13,0,0
243,Yuba,2021-03-13,0,0
244,Alameda,2021-03-12,0,0
245,Alpine,2021-03-12,0,0
246,Amador,2021-03-12,0,2
247,Butte,2021-03-12,0,-1
248,Calaveras,2021-03-12,0,0
250,Colusa,2021-03-12,0,0
251,Contra Costa,2021-03-12,0,0
252,Del Norte,2021-03-12,0,0
253,El Dorado,2021-03-12,0,2
254,Fresno,2021-03-12,0,8
255,Glenn,2021-03-12,0,0
256,Humboldt,2021-03-12,0,0
257,Imperial,2021-03-12,0,2
258,Inyo,2021-03-12,0,0
259,Kern,2021-03-12,0,11
260,Kings,2021-03-12,0,2
261,Lake,2021-03-12,0,1
262,Lassen,2021-03-12,0,0
263,Los Angeles,2021-03-12,1,93
264,Madera,2021-03-12,0,0
265,Marin,2021-03-12,0,1
266,Mariposa,2021-03-12,0,0
267,Mendocino,2021-03-12,0,1
268,Merced,2021-03-12,0,2
269,Modoc,2021-03-12,0,0
270,Mono,2021-03-12,0,0
271,Monterey,2021-03-12,0,0
272,Napa,2021-03-12,0,0
273,Nevada,2021-03-12,0,0
274,Orange,2021-03-12,0,28
276,Placer,2021-03-12,0,0
277,Plumas,2021-03-12,0,0
278,Riverside,2021-03-12,0,12
279,Sacramento,2021-03-12,0,5
280,San Benito,2021-03-12,0,0
281,San Bernardino,2021-03-12,0,48
282,San Diego,2021-03-12,0,12
283,San Francisco,2021-03-12,0,0
284,San Joaquin,2021-03-12,0,-13
285,San Luis Obispo,2021-03-12,0,0
286,San Mateo,2021-03-12,0,0
287,Santa Barbara,2021-03-12,0,-1
288,Santa Clara,2021-03-12,0,1
289,Santa Cruz,2021-03-12,0,2
290,Shasta,2021-03-12,0,-5
291,Sierra,2021-03-12,0,0
292,Siskiyou,2021-03-12,0,0
