,county,date,icu_covid_confirmed,icu_covid_suspected
0,Madera,2020-03-29,1,1
1,Calaveras,2020-03-29,0,0
2,Sonoma,2020-03-29,2,5
3,Tulare,2020-03-29,5,3
4,San Bernardino,2020-03-29,19,20
5,Yuba,2020-03-29,2,4
6,Tehama,2020-03-29,0,0
7,San Mateo,2020-03-29,16,10
8,Shasta,2020-03-29,0,0
9,Tuolumne,2020-03-29,0,0
10,El Dorado,2020-03-29,0,3
11,Sutter,2020-03-29,0,0
12,San Diego,2020-03-29,77,39
13,Los Angeles,2020-03-29,191,182
14,Modoc,2020-03-29,0,0
15,Santa Cruz,2020-03-29,0,0
16,Merced,2020-03-29,0,0
17,San Luis Obispo,2020-03-29,3,4
18,Lassen,2020-03-29,0,0
19,Stanislaus,2020-03-29,9,8
20,Riverside,2020-03-29,13,20
21,Santa Clara,2020-03-29,65,15
22,Mendocino,2020-03-29,0,0
23,Trinity,2020-03-29,0,0
24,Del Norte,2020-03-29,0,0
25,Placer,2020-03-29,4,1
26,Siskiyou,2020-03-29,0,0
27,Alameda,2020-03-29,20,16
28,Orange,2020-03-29,31,40
29,San Joaquin,2020-03-29,5,2
30,Kings,2020-03-29,1,0
31,Mono,2020-03-29,0,0
32,Amador,2020-03-29,0,0
33,Sacramento,2020-03-29,12,18
34,Humboldt,2020-03-29,0,0
35,Monterey,2020-03-29,1,2
36,Imperial,2020-03-29,1,2
37,Fresno,2020-03-29,3,14
38,Solano,2020-03-29,4,1
39,Butte,2020-03-29,0,0
40,Marin,2020-03-29,2,6
41,San Benito,2020-03-29,1,0
42,Santa Barbara,2020-03-29,9,3
43,Napa,2020-03-29,0,0
44,Kern,2020-03-29,8,8
45,Nevada,2020-03-29,1,0
46,Inyo,2020-03-29,0,0
47,Plumas,2020-03-29,0,1
48,Contra Costa,2020-03-29,8,15
49,Yolo,2020-03-29,1,1
50,Ventura,2020-03-29,5,19
51,Glenn,2020-03-29,0,0
52,San Francisco,2020-03-29,24,10
53,Colusa,2020-03-29,0,0
54,Lake,2020-03-29,0,1
55,Lassen,2020-03-30,0,0
56,Modoc,2020-03-30,0,0
57,San Diego,2020-03-30,72,23
58,Yolo,2020-03-30,1,2
59,San Bernardino,2020-03-30,27,33
60,Shasta,2020-03-30,0,0
61,Orange,2020-03-30,42,58
62,Butte,2020-03-30,2,1
63,San Luis Obispo,2020-03-30,3,4
64,Trinity,2020-03-30,0,0
65,Placer,2020-03-30,5,1
66,Imperial,2020-03-30,3,3
67,Marin,2020-03-30,4,2
68,Nevada,2020-03-30,2,5
69,Sutter,2020-03-30,0,0
70,Merced,2020-03-30,0,2
71,Siskiyou,2020-03-30,0,0
72,Mono,2020-03-30,0,0
73,Tulare,2020-03-30,4,6
74,Monterey,2020-03-30,4,0
75,Santa Clara,2020-03-30,74,23
76,Kern,2020-03-30,6,8
77,Colusa,2020-03-30,0,1
78,Santa Cruz,2020-03-30,0,0
79,Alameda,2020-03-30,27,18
80,Kings,2020-03-30,1,2
81,San Francisco,2020-03-30,18,7
82,Riverside,2020-03-30,22,33
83,Stanislaus,2020-03-30,9,5
84,Los Angeles,2020-03-30,245,244
85,Napa,2020-03-30,1,0
86,Lake,2020-03-30,0,1
87,Yuba,2020-03-30,2,4
88,Mendocino,2020-03-30,0,1
89,Ventura,2020-03-30,5,28
90,San Joaquin,2020-03-30,8,4
91,Santa Barbara,2020-03-30,11,7
92,Sonoma,2020-03-30,3,4
93,Plumas,2020-03-30,0,0
94,Calaveras,2020-03-30,0,1
95,Humboldt,2020-03-30,0,0
96,Amador,2020-03-30,0,0
97,Madera,2020-03-30,1,3
98,Tuolumne,2020-03-30,0,0
99,Solano,2020-03-30,6,0
100,El Dorado,2020-03-30,0,6
101,Fresno,2020-03-30,3,14
102,Contra Costa,2020-03-30,11,6
103,Del Norte,2020-03-30,0,0
104,Glenn,2020-03-30,0,0
105,San Benito,2020-03-30,1,0
106,Sacramento,2020-03-30,21,23
