,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
0,Madera,3/29/2020,1,6,0,1,8,7
1,Calaveras,3/29/2020,0,0,0,0,0,0
2,Sonoma,3/29/2020,7,20,0,5,12,27
3,Tulare,3/29/2020,6,13,0,3,7,19
4,San Bernardino,3/29/2020,33,123,0,20,65,156
5,Yuba,3/29/2020,2,12,0,4,2,14
6,Tehama,3/29/2020,0,0,0,0,2,0
7,San Mateo,3/29/2020,46,27,0,10,28,73
8,Shasta,3/29/2020,0,0,0,0,0,0
9,Tuolumne,3/29/2020,1,5,0,0,0,6
10,El Dorado,3/29/2020,0,6,0,3,3,6
11,Sutter,3/29/2020,0,0,0,0,0,0
12,San Diego,3/29/2020,121,211,0,39,205,332
13,Los Angeles,3/29/2020,489,1132,0,182,345,1621
14,Modoc,3/29/2020,0,0,0,0,0,0
15,Santa Cruz,3/29/2020,0,0,0,0,0,0
16,Merced,3/29/2020,1,7,0,0,3,8
17,San Luis Obispo,3/29/2020,7,12,0,4,948,19
18,Lassen,3/29/2020,0,2,0,0,0,2
19,Stanislaus,3/29/2020,20,48,0,8,25,68
20,Riverside,3/29/2020,44,78,0,20,46,122
21,Santa Clara,3/29/2020,141,72,0,15,70,213
22,Mendocino,3/29/2020,1,11,0,0,1,12
23,Trinity,3/29/2020,0,0,0,0,0,0
24,Del Norte,3/29/2020,1,2,0,0,3,3
25,Placer,3/29/2020,18,14,0,1,10,32
26,Siskiyou,3/29/2020,0,0,0,0,2,0
27,Alameda,3/29/2020,36,91,0,16,119,127
28,Orange,3/29/2020,74,167,0,40,131,241
29,San Joaquin,3/29/2020,34,35,0,2,7,69
30,Kings,3/29/2020,2,5,0,0,2,7
31,Mono,3/29/2020,0,1,0,0,2,1
32,Amador,3/29/2020,1,0,0,0,2,1
33,Sacramento,3/29/2020,36,27,0,18,50,63
34,Humboldt,3/29/2020,1,10,0,0,18,11
35,Monterey,3/29/2020,2,16,0,2,10,18
36,Imperial,3/29/2020,5,100,0,2,2,105
37,Fresno,3/29/2020,8,116,0,14,22,124
38,Solano,3/29/2020,7,27,0,1,28,34
39,Butte,3/29/2020,0,0,0,0,0,0
40,Marin,3/29/2020,7,13,0,6,11,20
41,San Benito,3/29/2020,1,1,0,0,1,2
42,Santa Barbara,3/29/2020,15,21,0,3,47,36
43,Napa,3/29/2020,0,26,0,0,5,26
44,Kern,3/29/2020,16,57,0,8,39,73
45,Nevada,3/29/2020,23,0,0,0,3,0
46,Inyo,3/29/2020,0,0,0,0,0,0
47,Plumas,3/29/2020,0,1,0,1,0,1
48,Contra Costa,3/29/2020,23,62,0,15,62,85
49,Yolo,3/29/2020,2,3,0,1,0,5
50,Ventura,3/29/2020,24,85,0,19,14,109
51,Glenn,3/29/2020,0,0,0,0,0,0
52,San Francisco,3/29/2020,50,73,0,10,61,123
53,Colusa,3/29/2020,0,0,0,0,0,0
54,Lake,3/29/2020,0,1,0,1,2,1
55,Lassen,3/30/2020,0,4,0,0,0,4
56,Modoc,3/30/2020,0,31,0,0,0,31
57,San Diego,3/30/2020,146,446,0,23,228,592
58,Yolo,3/30/2020,2,2,0,2,0,4
59,San Bernardino,3/30/2020,67,179,0,33,66,246
60,Shasta,3/30/2020,1,4,0,0,13,5
61,Orange,3/30/2020,98,251,0,58,131,349
62,Butte,3/30/2020,4,12,0,1,5,16
63,San Luis Obispo,3/30/2020,5,11,0,4,957,16
64,Trinity,3/30/2020,0,0,0,0,0,0
65,Placer,3/30/2020,19,19,0,1,29,38
66,Imperial,3/30/2020,19,109,0,3,4,128
67,Marin,3/30/2020,10,9,0,2,16,19
68,Nevada,3/30/2020,26,17,0,5,3,43
69,Sutter,3/30/2020,0,0,0,0,0,0
70,Merced,3/30/2020,1,9,0,2,11,10
71,Siskiyou,3/30/2020,0,0,0,0,3,0
72,Mono,3/30/2020,0,1,0,0,2,1
73,Tulare,3/30/2020,5,21,0,6,7,26
74,Monterey,3/30/2020,11,16,0,0,17,27
75,Santa Clara,3/30/2020,153,93,0,23,103,246
76,Kern,3/30/2020,18,123,0,8,51,141
77,Colusa,3/30/2020,0,1,0,1,5,1
78,Santa Cruz,3/30/2020,0,2,0,0,4,2
79,Alameda,3/30/2020,59,89,0,18,146,148
80,Kings,3/30/2020,2,12,0,2,0,14
81,San Francisco,3/30/2020,58,92,0,7,90,150
82,Riverside,3/30/2020,60,133,0,33,77,193
83,Stanislaus,3/30/2020,17,51,0,5,29,68
84,Los Angeles,3/30/2020,601,1277,0,244,456,1878
85,Napa,3/30/2020,3,8,0,0,9,11
86,Lake,3/30/2020,0,1,0,1,3,1
87,Yuba,3/30/2020,3,17,0,4,10,20
88,Mendocino,3/30/2020,2,11,0,1,8,13
89,Ventura,3/30/2020,25,82,0,28,15,107
90,San Joaquin,3/30/2020,28,30,0,4,53,58
91,Santa Barbara,3/30/2020,19,25,0,7,48,44
92,Sonoma,3/30/2020,7,22,0,4,29,29
93,Plumas,3/30/2020,0,1,0,0,0,1
94,Calaveras,3/30/2020,0,3,0,1,5,3
95,Humboldt,3/30/2020,1,8,0,0,10,9
96,Amador,3/30/2020,0,1,0,0,4,1
97,Madera,3/30/2020,1,5,0,3,4,6
98,Tuolumne,3/30/2020,1,2,0,0,3,3
99,Solano,3/30/2020,15,16,0,0,47,31
100,El Dorado,3/30/2020,0,9,0,6,9,9
101,Fresno,3/30/2020,10,88,0,14,24,98
102,Contra Costa,3/30/2020,25,54,0,6,90,79
103,Del Norte,3/30/2020,0,2,0,0,5,2
104,Glenn,3/30/2020,0,0,0,0,0,0
105,San Benito,3/30/2020,1,1,0,0,1,2
106,Sacramento,3/30/2020,45,86,0,23,58,131
107,Inyo,3/30/2020,0,0,0,0,0,0
108,San Mateo,3/30/2020,56,40,0,11,47,96
109,Tehama,3/30/2020,0,2,0,0,2,2
110,Kings,3/31/2020,1,3,0,2,4,4
111,Solano,3/31/2020,15,15,0,5,42,30
112,Sacramento,3/31/2020,53,110,0,31,66,163
113,Sonoma,3/31/2020,8,18,0,3,21,26
114,Kern,3/31/2020,14,63,0,6,46,77
115,Santa Barbara,3/31/2020,19,29,0,7,48,48
116,San Diego,3/31/2020,158,408,0,39,208,566
117,Stanislaus,3/31/2020,20,31,0,1,34,51
118,Fresno,3/31/2020,30,274,0,19,23,304
119,Plumas,3/31/2020,0,0,0,0,0,0
120,Sutter,3/31/2020,0,0,0,0,0,0
121,Nevada,3/31/2020,36,40,0,1,6,76
122,Contra Costa,3/31/2020,27,54,0,10,68,81
123,Mendocino,3/31/2020,0,1,0,0,7,1
124,Placer,3/31/2020,18,27,0,0,28,45
125,El Dorado,3/31/2020,10,9,0,6,12,19
126,Siskiyou,3/31/2020,0,0,0,0,4,0
127,Calaveras,3/31/2020,0,1,0,0,4,1
128,Colusa,3/31/2020,0,1,0,1,5,1
129,Imperial,3/31/2020,12,100,0,4,4,112
130,San Joaquin,3/31/2020,44,54,0,5,28,98
131,Amador,3/31/2020,0,0,0,0,4,0
132,San Francisco,3/31/2020,67,69,0,14,77,136
133,Los Angeles,3/31/2020,713,1239,0,239,445,1952
134,San Mateo,3/31/2020,60,23,0,5,37,83
135,Tulare,3/31/2020,6,14,0,5,9,20
136,Merced,3/31/2020,3,11,0,2,10,14
137,Butte,3/31/2020,4,20,0,3,2,24
138,Marin,3/31/2020,9,14,0,2,15,23
139,Santa Clara,3/31/2020,155,98,0,17,92,253
140,Glenn,3/31/2020,0,0,0,0,0,0
141,San Luis Obispo,3/31/2020,7,15,0,6,955,22
142,Shasta,3/31/2020,1,5,0,0,4,6
143,Trinity,3/31/2020,0,0,0,0,0,0
144,Lassen,3/31/2020,0,7,0,0,0,7
145,Napa,3/31/2020,1,5,0,1,12,6
146,Alameda,3/31/2020,56,94,0,17,77,150
147,San Bernardino,3/31/2020,82,231,0,48,63,313
148,Tuolumne,3/31/2020,0,37,0,0,4,37
149,Ventura,3/31/2020,21,90,0,24,12,111
150,Riverside,3/31/2020,80,155,0,59,75,235
151,Del Norte,3/31/2020,0,4,0,0,3,4
152,San Benito,3/31/2020,1,0,0,0,1,1
153,Inyo,3/31/2020,0,83,0,0,6,0
154,Mono,3/31/2020,0,1,0,0,2,1
