,county_name,date,total_doses
0,Stanislaus,3/16/2021,2
1,Alameda,3/15/2021,6028
2,Alpine,3/15/2021,19
3,Amador,3/15/2021,15
4,Butte,3/15/2021,881
5,Calaveras,3/15/2021,46
6,Colusa,3/15/2021,25
7,Contra Costa,3/15/2021,2993
8,Del Norte,3/15/2021,30
9,El Dorado,3/15/2021,168
10,Fresno,3/15/2021,1892
11,Glenn,3/15/2021,36
12,Humboldt,3/15/2021,53
13,Imperial,3/15/2021,107
14,Inyo,3/15/2021,35
15,Kern,3/15/2021,2149
16,Kings,3/15/2021,215
17,Lake,3/15/2021,23
18,Lassen,3/15/2021,20
19,Los Angeles,3/15/2021,29850
20,Madera,3/15/2021,303
21,Marin,3/15/2021,1109
22,Mariposa,3/15/2021,24
23,Mendocino,3/15/2021,30
24,Merced,3/15/2021,523
25,Modoc,3/15/2021,9
26,Mono,3/15/2021,1
27,Monterey,3/15/2021,1353
28,Napa,3/15/2021,278
29,Nevada,3/15/2021,223
30,Orange,3/15/2021,11660
31,Outside California,3/15/2021,2024
32,Placer,3/15/2021,594
33,Plumas,3/15/2021,9
34,Riverside,3/15/2021,10840
35,Sacramento,3/15/2021,2415
36,San Benito,3/15/2021,142
37,San Bernardino,3/15/2021,5083
38,San Diego,3/15/2021,7368
39,San Francisco,3/15/2021,6248
40,San Joaquin,3/15/2021,1633
41,San Luis Obispo,3/15/2021,1799
42,San Mateo,3/15/2021,2381
43,Santa Barbara,3/15/2021,1036
44,Santa Clara,3/15/2021,6316
45,Santa Cruz,3/15/2021,404
46,Shasta,3/15/2021,102
47,Siskiyou,3/15/2021,302
48,Solano,3/15/2021,596
49,Sonoma,3/15/2021,1478
50,Stanislaus,3/15/2021,1817
51,Sutter,3/15/2021,85
52,Tehama,3/15/2021,61
53,Trinity,3/15/2021,1
54,Tulare,3/15/2021,1226
55,Tuolumne,3/15/2021,80
56,Ventura,3/15/2021,1216
57,Yolo,3/15/2021,409
58,Yuba,3/15/2021,33
59,Alameda,3/14/2021,9641
60,Amador,3/14/2021,59
61,Butte,3/14/2021,112
62,Calaveras,3/14/2021,84
63,Colusa,3/14/2021,11
64,Contra Costa,3/14/2021,3736
65,Del Norte,3/14/2021,1
66,El Dorado,3/14/2021,546
67,Fresno,3/14/2021,1088
68,Glenn,3/14/2021,3
69,Humboldt,3/14/2021,83
70,Imperial,3/14/2021,137
71,Inyo,3/14/2021,430
72,Kern,3/14/2021,1770
73,Kings,3/14/2021,141
74,Lake,3/14/2021,11
75,Lassen,3/14/2021,7
76,Los Angeles,3/14/2021,29238
77,Madera,3/14/2021,109
78,Marin,3/14/2021,2012
79,Mariposa,3/14/2021,14
80,Mendocino,3/14/2021,61
81,Merced,3/14/2021,160
82,Modoc,3/14/2021,1
83,Mono,3/14/2021,4
84,Monterey,3/14/2021,515
85,Napa,3/14/2021,386
86,Nevada,3/14/2021,93
87,Orange,3/14/2021,15702
88,Outside California,3/14/2021,1915
89,Placer,3/14/2021,1147
90,Plumas,3/14/2021,11
91,Riverside,3/14/2021,3022
92,Sacramento,3/14/2021,4633
93,San Benito,3/14/2021,75
94,San Bernardino,3/14/2021,1971
95,San Diego,3/14/2021,10692
96,San Francisco,3/14/2021,7132
97,San Joaquin,3/14/2021,1565
98,San Luis Obispo,3/14/2021,320
99,San Mateo,3/14/2021,4393
100,Santa Barbara,3/14/2021,433
101,Santa Clara,3/14/2021,4529
102,Santa Cruz,3/14/2021,631
103,Shasta,3/14/2021,179
104,Siskiyou,3/14/2021,17
105,Solano,3/14/2021,991
106,Sonoma,3/14/2021,997
107,Stanislaus,3/14/2021,685
108,Sutter,3/14/2021,74
109,Tehama,3/14/2021,25
110,Tulare,3/14/2021,1548
111,Tuolumne,3/14/2021,81
112,Unknown,3/14/2021,118
113,Ventura,3/14/2021,1164
114,Yolo,3/14/2021,490
115,Yuba,3/14/2021,66
116,Alameda,3/13/2021,12046
117,Amador,3/13/2021,63
118,Butte,3/13/2021,146
119,Calaveras,3/13/2021,85
120,Colusa,3/13/2021,26
121,Contra Costa,3/13/2021,6031
122,Del Norte,3/13/2021,91
123,El Dorado,3/13/2021,743
124,Fresno,3/13/2021,5959
125,Glenn,3/13/2021,10
126,Humboldt,3/13/2021,771
127,Imperial,3/13/2021,896
128,Inyo,3/13/2021,502
129,Kern,3/13/2021,3417
130,Kings,3/13/2021,274
131,Lake,3/13/2021,161
132,Lassen,3/13/2021,12
133,Los Angeles,3/13/2021,42561
134,Madera,3/13/2021,731
135,Marin,3/13/2021,2547
136,Mariposa,3/13/2021,20
137,Mendocino,3/13/2021,559
138,Merced,3/13/2021,553
139,Modoc,3/13/2021,4
140,Mono,3/13/2021,6
141,Monterey,3/13/2021,1940
142,Napa,3/13/2021,414
143,Nevada,3/13/2021,174
144,Orange,3/13/2021,17988
145,Outside California,3/13/2021,2987
146,Placer,3/13/2021,1461
147,Plumas,3/13/2021,20
148,Riverside,3/13/2021,5496
149,Sacramento,3/13/2021,6421
150,San Benito,3/13/2021,138
151,San Bernardino,3/13/2021,4399
152,San Diego,3/13/2021,22583
153,San Francisco,3/13/2021,5426
154,San Joaquin,3/13/2021,2489
155,San Luis Obispo,3/13/2021,542
156,San Mateo,3/13/2021,5493
157,Santa Barbara,3/13/2021,2236
158,Santa Clara,3/13/2021,7817
159,Santa Cruz,3/13/2021,1244
160,Shasta,3/13/2021,170
161,Sierra,3/13/2021,13
162,Siskiyou,3/13/2021,327
163,Solano,3/13/2021,1311
164,Sonoma,3/13/2021,1972
165,Stanislaus,3/13/2021,3213
166,Sutter,3/13/2021,203
167,Tehama,3/13/2021,19
168,Trinity,3/13/2021,5
169,Tulare,3/13/2021,2518
170,Tuolumne,3/13/2021,58
171,Unknown,3/13/2021,93
172,Ventura,3/13/2021,2005
173,Yolo,3/13/2021,868
174,Yuba,3/13/2021,100
175,Alameda,3/12/2021,16913
176,Alpine,3/12/2021,20
177,Amador,3/12/2021,252
178,Butte,3/12/2021,933
179,Calaveras,3/12/2021,325
180,Colusa,3/12/2021,69
181,Contra Costa,3/12/2021,10440
182,Del Norte,3/12/2021,158
183,El Dorado,3/12/2021,1069
184,Fresno,3/12/2021,7391
185,Glenn,3/12/2021,395
186,Humboldt,3/12/2021,638
187,Imperial,3/12/2021,967
188,Inyo,3/12/2021,96
189,Kern,3/12/2021,5345
190,Kings,3/12/2021,826
191,Lake,3/12/2021,236
192,Lassen,3/12/2021,29
193,Los Angeles,3/12/2021,57052
194,Madera,3/12/2021,848
195,Marin,3/12/2021,2451
196,Mariposa,3/12/2021,62
197,Mendocino,3/12/2021,799
198,Merced,3/12/2021,1891
199,Modoc,3/12/2021,7
200,Mono,3/12/2021,7
201,Monterey,3/12/2021,2604
202,Napa,3/12/2021,858
203,Nevada,3/12/2021,848
204,Orange,3/12/2021,22445
205,Outside California,3/12/2021,5211
206,Oxford,3/12/2021,2
207,Placer,3/12/2021,2298
208,Plumas,3/12/2021,521
209,Riverside,3/12/2021,14230
210,Sacramento,3/12/2021,9977
211,San Benito,3/12/2021,393
212,San Bernardino,3/12/2021,8943
213,San Diego,3/12/2021,23693
214,San Francisco,3/12/2021,8772
215,San Joaquin,3/12/2021,5010
216,San Luis Obispo,3/12/2021,2551
217,San Mateo,3/12/2021,6995
218,Santa Barbara,3/12/2021,2729
219,Santa Clara,3/12/2021,12886
220,Santa Cruz,3/12/2021,2332
221,Shasta,3/12/2021,477
222,Sierra,3/12/2021,20
223,Siskiyou,3/12/2021,410
224,Skagit,3/12/2021,1
225,Solano,3/12/2021,2616
226,Sonoma,3/12/2021,4321
227,Stanislaus,3/12/2021,5297
228,Sutter,3/12/2021,334
229,Tehama,3/12/2021,228
230,Trinity,3/12/2021,319
231,Tulare,3/12/2021,3052
232,Tuolumne,3/12/2021,177
233,Unknown,3/12/2021,120
234,Ventura,3/12/2021,2245
235,Yolo,3/12/2021,1255
236,Yuba,3/12/2021,203
237,Alameda,3/11/2021,16860
238,Alpine,3/11/2021,35
239,Amador,3/11/2021,152
240,Butte,3/11/2021,1550
241,Calaveras,3/11/2021,590
242,Colusa,3/11/2021,255
